N	2gram	Medvedev_B_1	Problema
1	и в	1	30
2	в своей	1	22
3	не только	1	18
4	таким образом	1	13
5	и не	2	12
6	все же	1	9
7	никак не	1	8
8	так и	1	7
9	у нас	3	7
10	прежде всего	1	6
11	другой стороны	1	6
12	и на	1	6
13	с другой	1	6
14	а не	1	5
15	что в	1	5
16	будто бы	1	5
17	и о	1	5
18	крайней мере	1	4
19	об этом	1	4
20	отнюдь не	1	4
21	по крайней	1	4
22	далеко не	1	4
23	же не	1	4
24	было бы	1	4
25	еще не	1	3
26	в ней	2	3
27	в эпоху	1	3
28	как будто	1	3
29	в значительной	1	2
30	и нет	1	2
31	во всяком	1	2
32	больше чем	2	2
33	кроме того	1	2
34	точке зрения	1	2
35	не все	1	2
36	всяком случае	1	2
37	не то	2	2
38	его не	1	2
39	в области	1	2
40	можно было	2	2
41	и более	1	2
42	в данном	1	2
43	было и	1	1
44	и ее	1	1
45	не было	1	1
46	все это	2	1
47	сейчас в	1	1
48	более подробно	1	1
49	одной из	1	1
50	на самом	1	1
51	к ней	1	1
52	говорить об	1	1
53	стоит на	1	1
54	следовало бы	1	1
55	до конца	1	1
56	и потому	1	1
57	творчества и	1	1
58	не о	1	1
59	а о	1	1
60	не вполне	1	1
61	вопрос о	1	1
62	тем более	1	1
63	говорить не	1	1
64	представляется нам	1	1
65	как некоторого	1	1
