N	3gram	Vinokur_Vv_1	Komedia
1	до сих пор	5	9
2	в том что	12	9
3	в самом деле	5	6
4	для того чтобы	21	6
5	в свою очередь	1	6
6	в то же	5	4
7	о том что	12	4
8	то же время	5	4
9	с самого начала	1	4
10	по отношению к	4	3
11	с точки зрения	2	3
12	и т п	5	3
13	вместе с тем	3	3
14	в связи с	2	3
15	во всяком случае	3	3
16	до тех пор	1	3
17	и в самом	3	3
18	с одной стороны	4	3
19	тем не менее	8	3
20	то же самое	2	3
21	состоит в том	2	2
22	так или иначе	4	2
23	в этом случае	6	2
24	по сравнению с	3	2
25	бы то ни	1	2
26	в этом отношении	3	2
27	дошедших до нас	1	2
28	т е в	4	2
29	то ни было	1	2
30	в конце концов	2	2
31	с другой стороны	5	2
32	того же автора	1	2
33	с полным основанием	1	2
34	то обстоятельство что	1	2
35	но все же	3	2
36	потому что он	2	1
37	в обоих случаях	1	1
38	у меня в	1	1
39	и как раз	1	1
40	имеем в виду	1	1
41	не говоря уже	2	1
42	подобно тому как	1	1
43	это в свою	1	1
44	в соответствии с	2	1
45	одной стороны и	3	1
46	из двадцати четырех	1	1
47	точки зрения между	1	1
48	как это было	1	1
49	к одной из	1	1
50	говоря уже о	1	1
51	ни к одной	1	1
52	в зависимости от	1	1
53	в отличие от	3	1
54	до н э	6	1
55	он должен быть	1	1
56	по тому же	1	1
57	в руках у	1	1
58	представляет собой в	2	1
59	к ним в	1	1
60	каждом из них	1	1
61	с этой точки	1	1
62	по крайней мере	4	1
63	было до сих	1	1
64	в до н	2	1
65	в отношениях между	1	1
66	как раз в	1	1
67	отдать себе отчет	1	1
68	его отношение к	1	1
69	о чем они	1	1
70	в настоящее время	1	1
71	в том чтобы	5	1
72	в первом случае	2	1
73	по самой своей	2	1
74	себе отчет в	1	1
75	же самое что	2	1
76	зависимости от того	1	1
77	само собой разумеющимся	1	1
78	должен был быть	1	1
79	но вместе с	2	1
80	для нашего времени	1	1
81	в разной степени	1	1
82	этой точки зрения	1	1
83	собой в самом	1	1
84	по своему характеру	1	1
85	нашего времени и	1	1
86	можно сказать что	3	1
87	и без того	1	1
88	и никогда не	1	1
89	вопрос о том	5	1
90	к этому времени	2	1
91	мы имеем в	1	1
92	как мы знаем	1	1
93	с этой целью	1	1
94	гораздо ближе к	2	1
95	после того как	2	1
96	в самом его	1	1
97	самой своей природе	2	1
98	по этому поводу	2	1
99	к тому что	1	1
100	в каждом из	1	1
101	т е о	1	1
102	все это делает	1	1
103	и в этом	3	1
104	лицом к лицу	1	1
105	в том же	1	1
106	и т д	37	1
107	в свое время	2	1
