N	3gram	Propp_Isto_2	Problemy
1	до сих пор	6	7
2	по отношению к	3	5
3	сам по себе	1	5
4	в отличие от	1	4
5	не может быть	2	4
6	друг с другом	1	4
7	и т д	18	4
8	можно было бы	3	3
9	к тому же	2	3
10	как мы увидим	1	3
11	с другой стороны	2	3
12	том что он	1	2
13	и то же	1	2
14	тем не менее	1	2
15	но все же	4	2
16	на то что	2	2
17	друг от друга	1	2
18	в этих случаях	8	2
19	о том как	1	1
20	по данному вопросу	1	1
21	мере того как	2	1
22	иметь в виду	2	1
23	в виду что	1	1
24	и делают его	1	1
25	для наших целей	2	1
26	по мере того	2	1
27	так что он	1	1
28	т е что	1	1
29	что он не	4	1
30	но и в	2	1
31	а может быть	1	1
32	т д но	2	1
33	может быть даже	1	1
34	почти никогда не	1	1
35	то что было	1	1
36	т е в	1	1
37	они еще не	1	1
38	до конца и	1	1
39	с одной стороны	3	1
40	мы здесь не	1	1
41	смысле этого слова	1	1
42	в связи с	4	1
43	но в отличие	1	1
44	как один из	1	1
45	если мы не	1	1
46	так или иначе	1	1
47	и в каких	1	1
48	в пределах данного	1	1
49	то что он	1	1
50	в следующей главе	1	1
51	один из его	1	1
52	вместо того чтобы	2	1
53	приводит к себе	1	1
54	о том что	2	1
55	а в нем	1	1
56	может быть разрешен	1	1
57	он не боится	1	1
58	он прежде всего	1	1
59	на самом деле	2	1
60	и не хочет	1	1
61	мы можем сказать	1	1
62	не только не	1	1
63	в другом случае	1	1
64	после того как	2	1
65	и в нем	1	1
66	в том что	5	1
67	можем сказать что	1	1
68	мы увидим что	3	1
69	и в другом	1	1
