N	2gram	Vygotskiy__2	BTomashe
1	и не	10	2
2	все это	5	2
3	в ней	5	2
4	художественной функции	1	2
5	можно было	7	2
6	не то	1	2
7	крайней мере	1	1
8	художественного произведения	5	1
9	же не	1	1
10	за пределы	1	1
11	тем более	2	1
12	остановиться на	1	1
13	будто бы	1	1
14	об этом	3	1
15	и в	32	1
16	не вполне	2	1
17	и о	1	1
18	выходит за	1	1
19	произведении что	1	1
20	к ней	1	1
21	что все	9	1
22	что формалисты	1	1
23	с другой	3	1
24	в своей	3	1
25	теоретической и	1	1
26	на самом	5	1
27	на которой	1	1
28	как будто	7	1
29	не следует	1	1
30	из ее	1	1
31	точно и	2	1
32	и нет	1	1
33	как всякий	2	1
34	было бы	11	1
35	все же	4	1
36	всяком случае	2	1
37	по этим	1	1
38	а о	1	1
39	кроме того	1	1
40	никак не	4	1
41	такое определение	1	1
42	между ними	1	1
43	точке зрения	1	1
44	еще не	2	1
45	художественном произведении	5	1
46	и на	5	1
47	стоит на	1	1
48	прежде всего	1	1
49	в данном	4	1
50	и во	1	1
51	так и	3	1
52	заставляет думать	1	1
53	о них	1	1
54	не было	2	1
55	то как	3	1
56	его не	1	1
57	является только	1	1
58	из своей	1	1
59	совершенно не	4	1
60	далеко не	5	1
61	не о	1	1
62	до конца	3	1
63	основное значение	1	1
64	почти совершенно	1	1
65	а не	7	1
66	что в	20	1
67	в области	1	1
68	другой стороны	2	1
69	творчества и	3	1
70	и ее	3	1
71	формализма и	2	1
72	по крайней	1	1
73	отнюдь не	5	1
74	чем на	1	1
75	таким образом	21	1
76	и более	4	1
77	не только	12	1
78	во всяком	2	1
