N	2gram	Trubetskoy_1	Myshleni
1	точки зрения	13	26
2	таким образом	22	26
3	в том	11	24
4	и в	26	23
5	том что	7	21
6	с точки	6	18
7	в этом	15	17
8	того чтобы	5	17
9	то что	7	17
10	не только	10	16
11	так же	5	16
12	того что	3	15
13	для того	5	15
14	как и	1	14
15	может быть	10	14
16	но и	9	14
17	в его	5	14
18	что в	9	14
19	с помощью	1	13
20	не может	4	12
21	представляет собой	3	11
22	сказать что	2	11
23	как бы	12	11
24	в отношении	6	10
25	с другой	8	10
26	прежде всего	2	10
27	и с	10	9
28	между тем	2	9
29	в качестве	3	9
30	одной стороны	7	9
31	другой стороны	1	9
32	вместе с	15	9
33	и не	8	9
34	не является	1	9
35	то же	4	8
36	заключается в	1	8
37	самого начала	2	8
38	в процессе	2	8
39	с самого	3	8
40	и на	2	8
41	с одной	7	8
42	мы не	1	7
43	по отношению	1	7
44	в самом	4	7
45	в этой	4	7
46	с тем	18	7
47	в то	4	7
48	и ее	1	7
49	так как	9	7
50	что он	4	7
51	отношению к	3	7
52	же как	3	6
53	в сущности	1	6
54	все это	6	6
55	с этим	1	6
56	могли бы	1	6
57	в себе	6	6
58	в силу	5	6
59	лишь в	5	6
60	с этой	3	6
61	по сравнению	2	6
62	и его	1	6
63	о том	6	6
64	учения о	1	6
65	связь между	1	6
66	только в	4	6
67	между этими	2	6
68	мы можем	2	6
69	тем что	1	6
70	именно в	2	6
71	потому что	7	6
72	сравнению с	2	5
73	между собой	1	5
74	бы в	1	5
75	и как	3	5
76	но в	7	5
77	то время	1	5
78	на то	2	5
79	он не	4	5
80	и более	1	5
81	представить себе	1	5
82	если бы	3	5
83	для этого	2	5
84	по себе	1	5
85	всех тех	1	5
86	по своей	2	5
87	связан с	2	5
88	и т.д	6	5
89	и что	4	5
90	можно сказать	3	5
91	так и	6	5
92	что мы	2	5
93	и все	2	5
94	тем более	1	5
95	мы должны	6	5
96	из этого	2	5
97	в своих	1	5
98	в котором	4	4
99	время как	1	4
100	в чем	1	4
101	с его	2	4
102	но не	8	4
103	как в	1	4
104	от до	1	4
105	целый ряд	4	4
106	и к	5	4
107	все эти	6	4
108	что она	1	4
109	при этом	3	4
110	их в	1	4
111	что все	4	4
112	единое целое	1	4
113	было бы	1	4
114	ни в	1	4
115	в своей	1	4
116	не в	2	4
117	но вместе	2	4
118	этом отношении	2	4
119	с другом	5	4
120	к тому	6	4
121	для себя	1	4
122	приводит к	2	4
123	по мере	1	4
124	в пользу	2	4
125	во всей	1	4
126	мы видим	1	4
127	только что	2	4
128	для всех	2	4
129	в одном	3	4
130	как раз	1	4
131	до сих	5	4
132	а с	7	4
133	одну из	1	4
134	по существу	2	4
135	друг с	5	4
136	этого слова	1	4
137	сих пор	5	4
138	в результате	3	4
139	хотя бы	3	4
140	в свою	2	4
141	к этому	3	4
142	как на	8	4
143	смысле слова	1	3
144	отношения к	1	3
145	в сфере	1	3
146	человека и	1	3
147	в такой	1	3
148	самом деле	1	3
