N	3gram	Potebnia_M_3	Formalny
1	не может быть	3	14
2	на самом деле	1	12
3	в то же	5	7
4	то же время	5	7
5	и т д	3	6
6	и т п	2	5
7	с другой стороны	4	5
8	в самом деле	1	4
9	подобно тому как	2	4
10	в данном случае	1	4
11	для того чтобы	3	4
12	потому что он	3	3
13	а не в	1	3
14	по отношению к	5	3
15	то же самое	1	3
16	в этом отношении	2	3
17	вместе с тем	4	3
18	в художественном произведении	1	3
19	в том что	16	3
20	так же и	1	2
21	одним и тем	3	2
22	равно как и	1	2
23	нам кажется что	1	2
24	и со стороны	1	2
25	сами по себе	1	2
26	лишь тогда когда	1	2
27	может быть только	3	2
28	и тем же	3	2
29	слова и его	1	2
30	только то что	1	2
31	мы не можем	2	2
32	так и в	2	2
33	и художественное произведение	1	2
34	не только не	2	2
35	как бы ни	2	2
36	именно потому что	1	2
37	не может стать	1	2
38	вовсе не в	1	2
39	к тому что	2	2
40	тем не менее	3	2
41	то же что	4	2
42	смысле этого слова	7	2
43	как мы видели	1	2
44	формы и содержания	1	2
45	было бы невозможно	1	1
46	сводится к тому	1	1
47	и столь же	1	1
48	каков бы ни	1	1
49	была вложена в	1	1
50	в действительности и	1	1
51	бы ни был	1	1
52	к одной и	1	1
53	со своей стороны	1	1
54	внутренней формы слова	3	1
55	в том же	2	1
56	один и тот	1	1
57	том что это	1	1
58	вовсе не об	1	1
59	и произведения искусства	1	1
60	того как мы	1	1
61	сам по себе	5	1
62	между собою в	1	1
63	было бы уместно	1	1
64	каждой из этих	1	1
65	нужно прибавить что	1	1
66	потому что и	2	1
67	из того что	1	1
68	в собственном смысле	2	1
69	в поэтическом произведении	1	1
70	художественное произведение есть	2	1
71	в противном случае	1	1
72	со всех сторон	1	1
73	до сих пор	3	1
74	и в других	1	1
75	я и не	3	1
76	так или иначе	1	1
77	от того что	5	1
78	и что в	1	1
79	из виду что	1	1
80	не только в	4	1
81	с одной стороны	3	1
82	и тот же	1	1
83	только один из	1	1
84	если бы в	1	1
85	только тогда и	1	1
86	мере того как	3	1
87	не в том	5	1
88	те или другие	1	1
89	с нашей точки	1	1
90	а не как	1	1
91	бы оно ни	1	1
92	не видеть что	1	1
93	в таком случае	2	1
94	если бы например	2	1
95	в смысле совокупности	1	1
96	и той же	2	1
97	могут быть даны	1	1
98	все то что	1	1
99	потому что они	1	1
100	о том что	1	1
101	оно есть не	1	1
102	но столь же	1	1
103	форма и содержание	1	1
104	жизни и потому	2	1
105	может и не	1	1
106	вместе с этим	2	1
107	действительность есть уже	1	1
108	он был бы	1	1
109	том что этот	1	1
110	и в самом	2	1
111	но никак не	2	1
112	можно сказать что	2	1
113	с тем и	2	1
114	на то что	1	1
115	а вместе с	1	1
116	этого слова и	2	1
117	в предложении в	1	1
118	одной и той	2	1
119	сама по себе	2	1
120	и в том	2	1
121	друг с другом	1	1
122	как и в	2	1
123	по мере того	3	1
124	для меня не	1	1
125	есть одно из	2	1
126	этого слова в	2	1
