N	2gram	Tiupa_Anal_3	slovoVRo
1	и в	18	41
2	в нем	2	30
3	то есть	10	26
4	в романе	2	21
5	могут быть	2	19
6	во всех	2	17
7	не только	22	16
8	и не	12	16
9	точки зрения	3	16
10	но и	13	16
11	а не	9	15
12	то же	3	14
13	и на	4	14
14	в то	3	14
15	и его	13	14
16	в пределах	4	14
17	может быть	9	14
18	и др	1	14
19	не может	2	14
20	в сущности	5	13
21	в его	7	13
22	в этом	14	12
23	же время	3	12
24	как бы	10	12
25	так и	14	11
26	в большинстве	2	10
27	в той	2	10
28	себя в	4	9
29	все эти	2	9
30	таким образом	4	9
31	той или	3	9
32	или иной	5	9
33	как в	3	8
34	но в	2	8
35	на его	2	8
36	с точки	2	8
37	как мы	1	8
38	в особенности	3	8
39	слова в	1	8
40	прежде всего	5	8
41	отношение к	1	7
42	все же	4	7
43	в слове	5	7
44	в своей	1	7
45	не в	6	7
46	вовсе не	1	7
47	с ним	1	7
48	они могут	1	7
49	языков в	1	7
50	на фоне	1	7
51	все они	2	7
52	во всяком	2	7
53	того же	5	6
54	при этом	11	6
55	это не	2	6
56	в них	2	6
57	слова как	1	6
58	оно не	1	6
59	только в	2	6
60	большинстве случаев	1	6
61	и даже	8	6
62	а в	10	6
63	роман и	1	5
64	и к	4	5
65	в самом	5	5
66	так сказать	2	5
67	с другими	1	5
68	далеко не	4	5
69	всяком случае	2	5
70	все это	3	5
71	в основе	1	5
72	со своим	1	5
73	и мир	1	5
74	с другой	7	5
75	по преимуществу	2	4
76	в ней	2	4
77	еще не	6	4
78	с его	8	4
79	за пределы	1	4
80	перед нами	4	4
81	всех этих	1	4
82	не как	2	4
83	дистанции между	1	4
84	в каждом	3	4
85	связанных с	1	4
86	лишь в	5	4
87	входит в	2	4
88	на почве	1	4
89	как и	14	4
90	автора и	1	4
91	в их	6	4
92	и для	2	4
93	с ее	3	4
94	жанра в	1	4
95	ничего не	3	4
96	все его	1	4
97	один из	2	4
98	с одной	2	4
99	рядом с	1	4
100	одной стороны	2	4
101	и все	2	4
102	там где	2	4
103	и потому	2	4
104	и формы	1	4
105	и от	2	4
106	известной степени	3	4
107	другой стороны	5	4
108	иные моменты	1	4
109	или к	1	3
110	в первом	2	3
111	в зависимости	1	3
112	единство и	1	3
113	зависимости от	1	3
114	данном случае	3	3
115	в своем	4	3
116	не требует	1	3
117	бы и	2	3
118	момент его	1	3
119	из этих	3	3
120	в себе	2	3
121	ни были	1	3
122	и сам	4	3
123	и может	1	3
124	его в	3	3
125	было бы	3	3
126	лишь на	3	3
127	он не	6	3
128	и ее	2	3
129	социальных диалектов	1	3
130	от его	2	3
131	не должно	3	3
132	на всю	1	3
133	не могло	1	3
134	никогда не	5	3
135	произведения как	2	3
136	и здесь	2	3
137	не могут	1	3
138	к тому	6	3
139	романе в	1	3
140	к языку	1	3
141	образом в	1	3
142	формы и	1	3
143	о том	6	3
144	того что	1	3
145	в том	9	3
146	бы ни	1	3
147	взаимодействии с	1	3
148	в качестве	12	3
149	его и	1	3
150	для него	6	3
151	у него	1	3
152	двуголосое слово	1	3
153	именно в	3	3
154	в свою	5	3
155	не было	3	3
156	в истории	1	3
157	с этим	3	3
158	в данном	4	3
159	и следует	2	3
160	в иные	1	3
161	с этой	1	3
162	в результате	5	3
163	из существеннейших	2	3
164	хотя бы	1	3
165	одной из	1	3
166	с ними	1	3
167	из этого	1	3
168	в свое	2	3
169	а между	1	2
170	например в	2	2
171	своего и	1	2
172	связана с	1	2
173	на самом	1	2
174	то в	2	2
175	мы уже	1	2
176	той же	5	2
177	мы не	3	2
178	мы и	1	2
179	свою очередь	4	2
180	в сочетании	3	2
181	между собой	1	2
182	в широком	1	2
183	столь же	4	2
184	по своему	2	2
185	в ее	3	2
186	но не	7	2
187	что они	3	2
188	сих пор	1	2
189	как к	2	2
190	пределах одной	1	2
191	хотя и	2	2
192	произведения так	1	2
193	от этого	1	2
194	сливается с	1	2
195	в целом	3	2
196	в известном	1	2
197	не могла	2	2
198	время и	1	2
199	они в	1	2
200	и по	2	2
201	всех своих	1	2
202	те же	2	2
203	слов о	1	2
204	и иных	1	2
205	том что	12	2
206	в эту	1	2
207	однако этот	1	2
208	и той	2	2
209	высказывания и	1	2
210	войти в	1	2
211	относительно самостоятельных	1	2
212	даже в	2	2
213	до известной	3	2
214	дело не	3	2
215	или вовсе	1	2
216	автор и	1	2
217	общему мнению	1	2
218	у нас	1	2
219	правда не	1	2
220	и о	1	2
221	так в	3	2
222	роль в	3	2
223	с языком	1	2
224	не с	2	2
225	произведения не	1	2
226	иногда в	1	2
227	в другом	1	2
228	голоса в	1	2
229	одного из	1	2
230	свое произведение	1	2
231	можно сказать	4	2
232	а также	2	2
233	жизни но	1	2
234	или напротив	1	2
235	наконец в	1	2
236	слова по	1	2
237	известном смысле	1	2
238	и одновременно	1	2
239	здесь не	3	2
240	и роман	1	2
241	между тем	5	2
242	так что	1	2
243	связи с	1	2
244	уже не	5	2
245	и у	1	2
246	от других	1	2
247	или даже	1	2
248	характерно что	1	2
249	в одном	4	2
250	произведения и	2	2
251	с этими	1	2
252	для того	1	2
253	до сих	1	2
254	не есть	4	2
255	чем он	1	2
256	а с	1	2
257	жизнь в	1	2
258	от жанра	1	2
259	совершенно не	2	2
260	связь с	2	2
261	в частности	12	2
262	его как	3	2
263	такого рода	5	2
264	должно быть	1	2
265	в контексте	2	2
266	этом случае	1	2
267	не предполагает	2	2
268	того или	1	2
269	как раз	7	2
270	ибо он	1	2
271	не является	5	2
272	одна из	2	2
273	потому что	1	2
274	между ними	1	2
275	сказать что	2	2
276	они как	1	2
277	автора в	1	2
278	или иного	1	2
279	первом случае	1	2
280	к этому	3	2
281	как известно	1	1
282	роль этих	1	1
283	которого в	1	1
284	две реплики	1	1
285	в чужой	1	1
286	это игра	1	1
287	и есть	1	1
288	из самых	1	1
289	замысла говорящего	1	1
290	и до	1	1
291	из его	1	1
292	не имеют	1	1
293	с таким	1	1
294	а напротив	2	1
295	его не	3	1
296	со всех	1	1
297	и сюжеты	1	1
298	мы имеем	5	1
299	при анализе	1	1
300	что между	1	1
301	что уже	1	1
302	место в	1	1
303	и фактически	1	1
304	высказывания в	1	1
305	героев наконец	1	1
306	этого целого	1	1
307	ибо этот	1	1
308	целого в	2	1
309	жанров в	1	1
310	и он	2	1
311	предстает как	1	1
312	всех сторон	1	1
313	литературе и	1	1
314	он был	1	1
315	мы читаем	1	1
316	на их	1	1
317	там и	1	1
318	впрочем именно	1	1
319	непосредственно после	1	1
320	учета слушателя	1	1
321	но как	3	1
322	в противовес	2	1
323	со всеми	2	1
324	свою жизнь	2	1
325	не все	1	1
326	есть до	1	1
327	в общем	2	1
328	в гробовщике	2	1
329	в новом	2	1
330	произведение не	1	1
331	отличие от	2	1
332	и место	1	1
333	контексте целого	1	1
334	один и	1	1
335	соответствующего жанра	1	1
336	из уст	1	1
337	в значительной	2	1
338	в течение	1	1
339	первых двух	1	1
340	могли бы	2	1
341	что по	4	1
342	один ряд	1	1
343	и свою	1	1
344	в себя	2	1
345	к другому	1	1
346	отношения с	1	1
347	так или	1	1
348	без учета	1	1
349	бы не	1	1
350	в этой	6	1
351	вне пределов	1	1
352	в литературный	1	1
353	и тот	1	1
354	на то	1	1
355	вследствие этого	1	1
356	что она	2	1
357	как единого	1	1
358	в лирике	2	1
359	и частично	1	1
360	к миру	1	1
361	отказа от	1	1
362	чем у	1	1
363	нашего времени	3	1
364	поэтому оно	1	1
365	какой бы	1	1
366	одной и	2	1
367	так слово	1	1
368	в нее	1	1
369	ни был	1	1
370	человека в	1	1
371	значительной степени	2	1
372	подход к	2	1
373	совпадают с	1	1
374	а затем	1	1
375	бы быть	1	1
376	значимости в	1	1
377	заключается в	1	1
378	не умеет	1	1
379	здесь как	1	1
380	есть не	2	1
381	особенно в	1	1
382	чаще всего	1	1
383	в жизни	2	1
384	смерть и	1	1
385	только одно	1	1
386	о которых	2	1
387	несмотря на	2	1
388	как целого	1	1
389	на этот	1	1
390	прозе в	1	1
391	в один	1	1
392	и того	3	1
393	и становится	1	1
394	места в	1	1
395	но если	1	1
396	от своего	1	1
397	высказывания как	2	1
398	таким же	1	1
399	как все	1	1
400	к истории	1	1
401	и без	3	1
402	не столько	3	1
403	оно живет	1	1
404	в отличие	2	1
405	могла бы	2	1
406	бы мы	1	1
407	вот основные	1	1
408	одном из	1	1
409	в диалоге	1	1
410	пор совершенно	1	1
411	мир и	1	1
412	для данного	1	1
413	тем не	2	1
414	по крайней	4	1
415	произведения в	1	1
416	однако в	5	1
417	в устах	1	1
418	наивной и	1	1
419	же мы	1	1
420	то с	1	1
421	не менее	4	1
422	два полюса	1	1
423	с теми	1	1
424	свое время	2	1
425	обнаружить в	1	1
426	к изучению	1	1
427	которого он	2	1
428	героев и	1	1
429	мнения о	1	1
