N	3gram	Bakhtin_KF_1	Myshleni
1	в том что	2	21
2	с точки зрения	9	18
3	для того чтобы	1	10
4	в зависимости от	1	6
5	во всяком случае	1	6
6	не может быть	11	6
7	на то что	1	6
8	по отношению к	22	5
9	в конечном счете	1	4
10	лежит в основе	1	3
11	смысле этого слова	1	3
12	мы не можем	1	3
13	на том что	1	2
14	того что в	1	2
15	на самом деле	3	2
16	в этом смысле	3	2
17	в том же	1	2
18	хотя бы и	1	2
19	и в своем	1	2
20	не потому что	1	2
21	в этом ее	1	2
22	само по себе	1	2
23	то же самое	1	2
24	же самое что	1	2
25	вопрос о том	2	2
26	только тогда когда	1	2
27	но и от	1	1
28	оба эти момента	2	1
29	не может не	1	1
30	но ни в	1	1
31	и есть его	1	1
32	дело в том	1	1
33	отношению к которой	1	1
34	имеем в виду	2	1
35	в этом последнем	1	1
36	он вступает в	1	1
37	какого бы то	1	1
38	ибо он не	1	1
39	один и тот	1	1
40	несмотря на то	1	1
41	на основе его	1	1
42	он не может	1	1
43	но все это	1	1
44	должен быть представлен	1	1
45	бы то ни	2	1
46	это значило бы	2	1
47	и только это	1	1
48	том что есть	1	1
49	вместо того чтобы	1	1
50	тогда когда он	1	1
51	во всей его	2	1
52	во всем его	2	1
53	лишь в процессе	1	1
54	лишь постольку поскольку	1	1
55	по самому своему	1	1
56	как если бы	1	1
57	в том случае	1	1
58	и то что	1	1
59	в целом и	2	1
60	переведено на язык	1	1
61	не в том	1	1
62	в данный момент	3	1
63	то ни было	2	1
64	т.п но и	1	1
65	и тот же	1	1
66	отсюда следует что	1	1
67	во власти его	1	1
68	смысле слова в	1	1
69	и только в	2	1
70	с отвлеченной точки	1	1
71	дело не в	1	1
72	с ним и	1	1
73	и тем самым	1	1
74	в действительной жизни	1	1
75	мышления нет в	1	1
76	его никогда не	1	1
77	могла бы быть	3	1
78	и т.п но	1	1
79	не в одном	1	1
80	и все же	1	1
81	той или другой	1	1
82	пространство и время	1	1
83	никогда не может	1	1
84	включает в себя	2	1
85	как бы ни	1	1
86	той или иной	2	1
87	только в том	1	1
88	не существует все	1	1
89	когда мы говорим	1	1
90	то что уже	1	1
91	в том смысле	1	1
92	отвлеченной точки зрения	1	1
93	не только от	1	1
94	в известном смысле	1	1
95	в их единстве	3	1
96	при данных условиях	1	1
97	независимо от его	1	1
