N	3gram	Tiupa_Lite_2	FransuaR
1	в том числе	2	10
2	том числе и	1	7
3	в том что	5	6
4	той или иной	1	5
5	в отличие от	1	4
6	то есть в	1	4
7	с точки зрения	3	3
8	в этом отношении	3	3
9	и прежде всего	1	3
10	на самом деле	1	2
11	в основе своей	1	2
12	и вовсе не	1	2
13	с одной стороны	6	2
14	во всех этих	1	2
15	вовсе не является	1	2
16	со второй половины	1	2
17	в свое время	2	2
18	знает и не	1	1
19	однако и в	1	1
20	нет и не	1	1
21	и в полном	1	1
22	по отношению к	3	1
23	может быть наиболее	1	1
24	и не может	1	1
25	во всей своей	1	1
26	то что было	1	1
27	эти и подобные	1	1
28	в самом начале	1	1
29	но это и	1	1
30	тех или иных	1	1
31	это прежде всего	2	1
32	по нашему мнению	1	1
33	и наряду с	1	1
34	не могут быть	1	1
35	и т.п наконец	1	1
36	от земли и	1	1
37	в целом ряде	1	1
38	это и не	1	1
39	с другой стороны	4	1
40	не может быть	7	1
41	то же время	9	1
42	на что мы	1	1
43	имея в виду	1	1
44	в одном из	1	1
45	в себя и	1	1
46	и не является	1	1
47	в этой системе	1	1
48	для того чтобы	1	1
49	освобождает от всех	1	1
50	в то же	9	1
51	во многих отношениях	1	1
52	и подобные им	1	1
53	и др на	1	1
54	все то что	1	1
