N	3gram	Bakhtin_Fr_8	Myslijsy
1	по отношению к	1	8
2	в том что	6	7
3	не может быть	2	5
4	о том что	2	5
5	то же самое	1	4
6	до сих пор	8	4
7	и то что	1	4
8	и в этом	1	4
9	можно сказать что	2	4
10	для того чтобы	2	4
11	на самом деле	1	3
12	с точки зрения	2	3
13	вместе с тем	1	3
14	то же время	10	3
15	мы не можем	1	3
16	не только не	2	3
17	потому что в	1	3
18	в то же	10	3
19	значение то есть	1	2
20	таким образом что	1	2
21	и до сих	2	2
22	подобно тому как	1	2
23	же самое нужно	1	2
24	до известной степени	1	2
25	в данном случае	2	2
26	не в том	1	2
27	мы можем судить	1	2
28	и как бы	1	2
29	после того как	1	2
30	вопрос о том	1	2
31	в большинстве случаев	6	2
32	а следовательно и	1	1
33	исчезает и та	1	1
34	к другу и	1	1
35	дело в том	2	1
36	бы ни был	1	1
37	и по-видимому не	1	1
38	лишь один из	1	1
39	в таких например	1	1
40	к языку и	1	1
41	в настоящее время	3	1
42	то время когда	1	1
43	в том числе	3	1
44	о том как	1	1
45	во время своего	1	1
46	играет большую роль	1	1
47	и в той	1	1
48	слове и в	1	1
49	язык не был	1	1
50	никогда не были	1	1
51	самое нужно сказать	1	1
52	но и в	1	1
53	что все эти	1	1
54	в этом отношении	1	1
55	нужно сказать и	1	1
56	той же книге	3	1
57	но и эта	1	1
58	и др в	2	1
59	что все это	2	1
60	не подлежит сомнению	3	1
61	главным образом в	1	1
62	может быть и	1	1
63	сказать что в	1	1
64	если бы мы	1	1
65	можем судить о	1	1
66	с одной стороны	2	1
67	в связи с	3	1
68	если же мы	1	1
69	если бы в	1	1
70	как один из	1	1
71	еще не было	1	1
72	но при этом	1	1
73	и в отношении	1	1
74	влияние на другие	1	1
75	как и сама	1	1
76	сказать и о	1	1
77	их в своем	1	1
78	один из моментов	1	1
79	кроме того в	1	1
80	друг к другу	1	1
81	до настоящего времени	3	1
82	в своей памяти	1	1
83	с другой стороны	2	1
84	но если бы	1	1
85	в свое время	1	1
86	в той же	3	1
87	той или другой	1	1
88	такое же значение	1	1
89	таким образом в	1	1
90	заключается в том	1	1
91	в то время	2	1
92	то есть все	1	1
93	и вместе с	1	1
94	что в том	2	1
95	никогда не может	1	1
96	с самого начала	1	1
97	и в самом	1	1
98	как бы ни	1	1
99	никогда еще не	1	1
100	в ту же	1	1
101	речь идет о	1	1
102	том числе и	2	1
103	отвечая на вопрос	1	1
104	что это не	1	1
105	того как эта	1	1
106	судить о том	1	1
107	мы уже не	1	1
108	другу и к	1	1
109	конечно не в	1	1
110	все это совершенно	1	1
111	оно и не	1	1
112	и в слове	1	1
113	как и в	4	1
114	мы видели что	3	1
