N	2gram	Propp_Isto_5	formyVre
1	и в	25	50
2	в этом	10	25
3	в нем	7	24
4	человека в	3	17
5	и его	9	16
6	в литературе	1	16
7	прежде всего	6	15
8	как мы	5	14
9	и не	11	14
10	в его	12	13
11	вовсе не	2	13
12	по существу	2	12
13	человека и	2	11
14	то же	4	11
15	мы уже	4	11
16	таким образом	9	11
17	может быть	17	11
18	и как	3	10
19	но в	1	10
20	все эти	8	9
21	роль в	2	9
22	не только	13	9
23	в то	3	9
24	ничего не	2	9
25	же время	1	9
26	в том	6	9
27	в конце	1	9
28	в других	2	9
29	в особенности	3	9
30	и др	3	9
31	и т	20	8
32	того же	2	8
33	и на	8	8
34	в самом	1	8
35	но и	13	8
36	как и	7	8
37	жизни и	2	8
38	это время	2	7
39	не было	1	7
40	героя и	3	7
41	например в	5	6
42	между двумя	1	6
43	время в	2	6
44	во всех	2	6
45	как в	6	6
46	с этим	5	6
47	все же	10	6
48	это не	6	6
49	в их	1	6
50	так как	11	6
51	в ее	4	6
52	в дальнейшем	4	6
53	связи с	8	6
54	в жизни	1	6
55	у него	2	6
56	то что	7	6
57	в частности	7	6
58	не может	6	6
59	так же	5	6
60	и все	3	6
61	отношению к	2	5
62	время как	1	5
63	еще не	8	5
64	но не	5	5
65	отнюдь не	1	5
66	и у	1	5
67	не в	6	5
68	он не	4	5
69	всех этих	1	5
70	в основе	1	5
71	того чтобы	3	5
72	точки зрения	2	5
73	не могло	1	5
74	могут быть	6	5
75	но все	5	5
76	в пределах	4	5
77	в образе	5	5
78	если бы	2	5
79	для того	3	5
80	в связи	4	5
81	наряду с	4	5
82	в основном	4	5
83	что в	8	5
84	и другие	1	5
85	и это	4	4
86	мы и	2	4
87	в ней	5	4
88	в своем	1	4
89	конечно не	1	4
90	то время	1	4
91	но на	1	4
92	чтобы они	1	4
93	и с	3	4
94	том что	8	4
95	в котором	1	4
96	в процессе	1	4
97	не имеет	1	4
98	потому что	7	4
99	к себе	1	4
100	как человек	3	4
101	здесь не	1	4
102	или как	2	4
103	только в	7	4
104	характерно что	1	4
105	на этой	4	4
106	нет ничего	1	4
107	пространства и	1	4
108	все это	4	4
109	и для	2	4
110	том числе	1	4
111	не имеют	1	3
112	а как	2	3
113	есть не	1	3
114	мы не	5	3
115	большую роль	1	3
116	в виду	1	3
117	по отношению	2	3
118	себе и	1	3
119	в себе	1	3
120	его но	1	3
121	при этом	1	3
122	в xvii	1	3
123	его в	9	3
124	входит в	5	3
125	и других	2	3
126	с другими	4	3
127	здесь нет	1	3
128	и уже	1	3
129	в этих	6	3
130	их в	3	3
131	но они	1	3
132	этими двумя	1	3
133	друг друга	3	3
134	уже говорили	1	3
135	к тому	1	3
136	формы и	2	3
137	все его	2	3
138	что и	6	3
139	во всей	1	3
140	в форме	3	3
141	один из	2	3
142	мы видим	8	3
143	одной из	1	3
144	и ее	1	3
145	с одной	7	3
146	в качестве	7	3
147	только на	1	3
148	же в	2	3
149	в авантюрное	1	3
150	одно из	1	3
151	в одном	1	3
152	до сих	2	3
153	мы еще	1	3
154	что не	1	3
155	с тем	8	3
156	а не	2	3
157	человек в	1	3
158	в одно	2	3
159	вместе с	22	3
160	и потому	2	3
161	сих пор	2	3
162	или в	6	3
163	проходит через	1	3
164	а в	3	3
165	не знает	1	3
166	сказать что	2	3
167	они не	3	3
168	к этому	2	3
169	в таком	1	3
170	во всяком	1	3
171	также и	1	2
172	же как	4	2
173	она обычно	1	2
174	тех же	2	2
175	всего это	1	2
176	здесь и	1	2
177	той же	1	2
178	вопрос о	2	2
179	имеется и	3	2
180	на себя	3	2
181	они были	1	2
182	же что	1	2
183	на них	2	2
184	в различных	2	2
185	не без	1	2
186	на другой	1	2
187	оно уже	2	2
188	совсем не	1	2
189	происходит в	1	2
190	в истории	4	2
191	же и	1	2
192	стороны и	1	2
193	и к	1	2
194	от этого	4	2
195	в целом	3	2
196	как бы	2	2
197	вера в	1	2
198	все другие	1	2
199	и еще	1	2
200	не как	4	2
201	по всем	1	2
202	уже не	11	2
203	и по	2	2
204	но дело	1	2
205	что все	4	2
206	об этом	2	2
207	ясно что	5	2
208	было бы	1	2
209	на почве	1	2
210	из нее	2	2
211	нет в	1	2
212	были в	1	2
213	попадает в	2	2
214	превращение в	2	2
215	места в	1	2
216	для него	1	2
217	в своей	2	2
218	он должен	1	2
219	с точки	1	2
220	место в	1	2
221	оказывается что	2	2
222	в отличие	1	2
223	в которых	3	2
224	но он	2	2
225	человек по	1	2
226	по себе	2	2
227	самого начала	1	2
228	тогда когда	2	2
229	нем в	1	2
230	никогда не	3	2
231	с большой	2	2
232	но очень	1	2
233	к ней	1	2
234	в другую	2	2
235	во всем	2	2
236	мире и	1	2
237	в каком	1	2
238	здесь совершенно	1	2
239	числе и	1	2
240	оно не	1	2
241	здесь еще	3	2
242	здесь также	1	2
243	с самого	1	2
244	здесь как	2	2
245	во многом	1	2
246	можно только	1	2
247	ту же	2	2
248	и вообще	3	2
249	с ним	4	2
250	или иной	1	2
251	другую страну	2	2
252	единства и	1	2
253	а также	1	2
254	на основе	1	2
255	во втором	1	2
256	там где	6	2
257	того что	2	2
258	на своей	1	2
259	уже в	2	2
260	его и	2	2
261	истории этого	2	2
262	никто не	3	2
263	с этими	1	2
264	отношение к	1	2
265	отличие от	1	2
266	тем что	10	2
267	само собой	1	2
268	не были	1	2
269	и даже	1	2
270	даже не	1	2
271	и характер	1	2
272	с другой	9	2
273	не обязательно	1	2
274	я был	1	2
275	еще и	1	2
276	соответствии с	1	2
277	в некоторых	4	2
278	в соответствии	1	2
279	одной стороны	7	2
280	и стал	2	2
281	что мы	2	2
282	но оно	3	2
283	другой день	1	2
284	превращения и	1	2
285	его на	4	2
286	их к	1	2
287	к своему	1	2
288	в данном	3	2
289	слагается из	1	2
290	в течение	2	2
291	сохраняется в	1	2
292	в это	2	2
293	жизни или	1	2
294	но для	2	2
295	здесь в	1	2
296	в более	3	2
297	одна из	2	2
298	здесь конечно	1	2
299	где и	1	2
300	для нас	5	2
301	у них	1	2
302	мы должны	4	2
303	хотя бы	1	2
304	ее в	2	2
305	в дом	2	2
306	совершенно не	2	2
307	равно как	1	2
308	в свою	3	2
309	на следующий	1	2
310	нет но	1	2
311	в которой	4	2
312	можно назвать	1	2
313	одним из	2	1
314	частности от	1	1
315	до него	4	1
316	дел и	1	1
317	функции в	1	1
318	свою первоначальную	1	1
319	в преисподнюю	4	1
320	его здесь	1	1
321	он может	2	1
322	которого никто	1	1
323	и есть	1	1
324	тем же	1	1
325	фольклора и	1	1
326	располагается так	1	1
327	когда это	1	1
328	в зависимости	1	1
329	попали в	1	1
330	или ее	1	1
331	иногда довольно	1	1
332	мы имеем	14	1
333	бы в	1	1
334	с более	1	1
335	этого нет	1	1
336	теперь мы	1	1
337	совершенно так	1	1
338	и совсем	1	1
339	именно к	1	1
340	солнце не	1	1
341	меня вместо	1	1
342	не вполне	1	1
343	я не	1	1
344	из того	1	1
345	не совсем	6	1
346	для наших	1	1
347	что можно	1	1
348	видели как	1	1
349	зависимости от	1	1
350	и он	6	1
351	мотива но	1	1
352	и происходит	1	1
353	он сам	1	1
354	именно этого	1	1
355	черта его	2	1
356	служит для	1	1
357	не оставляют	1	1
358	процесс этот	1	1
359	самом деле	2	1
360	данном случае	2	1
361	то он	1	1
362	но как	1	1
363	этого мотива	8	1
364	совершенно ясно	4	1
365	тому времени	1	1
366	дня в	1	1
367	человек может	1	1
368	его развития	1	1
369	и я	1	1
370	что касается	1	1
371	перед нами	2	1
372	нами в	1	1
373	и наконец	1	1
374	и сам	2	1
375	возвращается на	1	1
376	себе не	1	1
377	увидим что	1	1
378	он на	2	1
379	развития это	1	1
380	таких произведениях	1	1
381	сливается с	1	1
382	животных и	2	1
383	них а	1	1
384	та же	1	1
385	что это	5	1
386	или во	1	1
387	по которым	2	1
388	в этой	3	1
389	частности с	1	1
390	и тот	1	1
391	в жертву	3	1
392	на то	2	1
393	как совершенно	1	1
394	силу и	2	1
395	же идет	1	1
396	связанные с	2	1
397	он ни	1	1
398	нужный момент	1	1
399	но вместе	3	1
400	здесь мы	5	1
401	героини с	1	1
402	человек а	1	1
403	главным образом	1	1
404	особенности в	2	1
405	в предыдущем	1	1
406	это было	2	1
407	и приходит	1	1
408	особенно в	2	1
409	вместе со	1	1
410	в египте	9	1
411	уже знаем	1	1
412	предметы в	1	1
413	и боги	1	1
414	в ином	3	1
415	по всему	1	1
416	люди не	1	1
417	о которых	2	1
418	авантюрное и	1	1
419	она и	1	1
420	его все	1	1
421	корни этого	1	1
422	которой он	2	1
423	очень важное	1	1
424	их этот	1	1
425	в вавилоне	3	1
426	и некоторые	1	1
427	уже видели	1	1
428	и тогда	1	1
429	лучше всего	1	1
430	не абсолютно	1	1
431	во время	7	1
432	этом случае	7	1
433	которым человек	1	1
434	и при	2	1
435	почти нет	1	1
436	таким же	2	1
437	всяком случае	1	1
438	на месте	1	1
439	они уже	1	1
440	миф о	5	1
441	на берег	2	1
442	не путем	1	1
443	должны были	1	1
444	мы проследим	1	1
445	попадают на	1	1
446	и более	1	1
447	что этот	2	1
448	формы как	1	1
449	указывали что	1	1
450	героем и	2	1
451	из которых	2	1
452	на три	1	1
453	в таких	3	1
454	она не	2	1
455	виду что	1	1
456	как о	1	1
457	дело не	1	1
458	правда в	1	1
459	он нашел	1	1
460	когда они	2	1
461	магический характер	2	1
462	него это	1	1
463	из ряда	1	1
464	в поздних	1	1
465	находится в	2	1
466	момент является	1	1
467	помощи которой	2	1
