N	2gram	Berdyaev_M_2	slovoVRo
1	и в	46	41
2	в нем	22	30
3	во всех	2	17
4	не только	18	16
5	и не	18	16
6	точки зрения	2	16
7	но и	15	16
8	а не	13	15
9	то же	5	14
10	и на	3	14
11	и его	5	14
12	в пределах	1	14
13	может быть	21	14
14	не может	15	14
15	в сущности	2	13
16	в его	5	13
17	в этом	20	12
18	до конца	4	12
19	как бы	8	12
20	так и	4	11
21	в той	1	10
22	себя в	4	9
23	все эти	1	9
24	той или	1	9
25	или иной	2	9
26	как в	7	8
27	но в	10	8
28	на его	2	8
29	с точки	1	8
30	может не	1	8
31	прежде всего	12	8
32	отношение к	8	7
33	в своей	5	7
34	не в	9	7
35	с ним	3	7
36	всех его	1	7
37	все они	1	7
38	того же	1	6
39	в плане	1	6
40	это не	5	6
41	в них	3	6
42	к своему	2	6
43	в отношении	5	6
44	оно не	2	6
45	только в	3	6
46	а в	2	6
47	отношении к	3	6
48	и к	7	5
49	в самом	5	5
50	он в	3	5
51	все это	1	5
52	в основе	2	5
53	со своим	2	5
54	и мир	2	5
55	к нему	2	5
56	с другой	1	5
57	еще более	2	5
58	на своем	1	5
59	по преимуществу	5	4
60	на мир	1	4
61	в ней	11	4
62	с его	4	4
63	за пределы	1	4
64	в которой	2	4
65	у толстого	1	4
66	в каждом	3	4
67	и с	3	4
68	лишь в	2	4
69	входит в	1	4
70	на почве	3	4
71	как и	13	4
72	и для	7	4
73	лежит в	1	4
74	ничего не	2	4
75	оценок и	1	4
76	один из	5	4
77	ли он	1	4
78	и все	5	4
79	и потому	7	4
80	и от	3	4
81	и часто	1	4
82	быть и	2	4
83	также и	4	3
84	жизни поэтому	1	3
85	почти всегда	1	3
86	от всякой	1	3
87	в своем	8	3
88	бы и	5	3
89	момент его	2	3
90	в себе	10	3
91	и сам	1	3
92	его в	3	3
93	было бы	1	3
94	он не	10	3
95	и ее	1	3
96	от его	2	3
97	которые в	2	3
98	она не	8	3
99	следовательно и	1	3
100	никогда не	18	3
101	в разных	2	3
102	и здесь	6	3
103	не могут	1	3
104	к тому	5	3
105	и единственный	1	3
106	и этим	2	3
107	формы и	1	3
108	о том	3	3
109	не выходит	1	3
110	и во	3	3
111	переходит в	8	3
112	нем и	1	3
