N	2gram	Tiupa_Disk_1	Vladivir
1	и в	16	30
2	в году	2	24
3	то что	5	20
4	в этом	15	20
5	в том	23	18
6	и не	11	18
7	в конце	1	13
8	что он	4	13
9	же с	1	13
10	там же	1	12
11	что в	4	12
12	не только	28	12
13	том что	19	12
14	а в	5	11
15	в его	7	11
16	как мы	2	11
17	сказать что	3	11
18	и вообще	2	10
19	не было	7	10
20	и даже	3	10
21	а также	8	10
22	все же	3	9
23	не может	9	9
24	не в	7	9
25	потому что	4	9
26	для него	4	9
27	в то	3	9
28	было бы	1	9
29	не мог	1	8
30	в связи	1	8
31	связи с	4	8
32	что же	2	8
33	вместе с	1	8
34	но и	14	8
35	но в	8	8
36	в своем	6	8
37	не менее	2	7
38	и все	2	7
39	точки зрения	3	7
40	то есть	20	7
41	как это	1	7
42	а не	22	7
43	никогда не	2	7
44	может быть	17	7
45	до конца	1	7
46	в себе	7	6
47	во всяком	2	6
48	еще и	1	6
49	и к	4	6
50	прежде всего	11	6
51	и его	2	6
52	всяком случае	1	6
53	хотя и	2	6
54	тем не	1	6
55	только в	7	6
56	о чем	2	6
57	об этом	2	6
58	также и	3	6
59	к этому	2	6
60	а именно	1	6
61	как и	16	5
62	того же	3	5
63	к концу	1	5
64	при этом	13	5
65	для себя	4	5
66	о его	1	5
67	так и	8	5
68	в своей	5	5
69	по себе	3	5
70	того что	3	5
71	с этим	3	5
72	в котором	5	5
73	и что	2	5
74	в результате	1	5
75	же касается	2	5
76	в основном	1	5
77	и то	1	5
78	он уже	1	5
79	как бы	5	5
80	в которой	1	4
81	на его	4	4
82	можно сказать	5	4
83	здесь не	1	4
84	крайней мере	2	4
85	что это	1	4
86	в нем	9	4
87	разного рода	2	4
88	и он	2	4
89	с этой	1	4
90	отношение к	4	4
91	в начале	2	4
92	то же	7	4
93	в целом	4	4
94	что его	1	4
95	мы должны	1	4
96	и о	4	4
97	содержит в	1	4
98	той же	1	4
99	и мы	1	4
100	это было	2	4
101	со стороны	7	4
102	в этой	2	4
103	в этих	1	4
104	именно в	3	4
105	и на	5	4
106	по крайней	2	4
107	он не	1	4
108	несмотря на	1	4
109	с его	4	4
110	я не	1	4
