N	3gram	Bakhtin_fo_1	Hudozhes
1	в том что	2	11
2	по отношению к	3	7
3	о том что	1	7
4	то же время	9	4
5	в то же	6	4
6	том что в	1	3
7	в самом деле	1	3
8	к чужой жизни	1	3
9	не может быть	3	3
10	как и в	2	3
11	с одной стороны	2	3
12	для того чтобы	5	3
13	в соответствии с	2	3
14	дело не только	1	2
15	и в этом	1	2
16	с точки зрения	2	2
17	до сих пор	3	2
18	и в то	5	2
19	и т п	8	2
20	так же как	2	2
21	уже одно это	1	2
22	в данном случае	1	2
23	в этом и	1	2
24	не только в	2	2
25	к тому же	2	2
26	на другой день	2	2
27	на том что	1	1
28	чужой жизни как	1	1
29	одних и тех	2	1
30	да и в	1	1
31	зрения на мир	1	1
32	самим собою в	1	1
33	той или иной	2	1
34	дело в том	2	1
35	же как и	2	1
36	следа в жизни	1	1
37	как раз и	2	1
38	и все же	1	1
39	жизни в ее	2	1
40	и в других	4	1
41	амуре и психее	3	1
42	характер это не	1	1
43	своей жизни в	1	1
44	никакого следа в	1	1
45	в этом отношении	3	1
46	том числе и	2	1
47	и тех же	2	1
48	с самим собою	3	1
49	с самим собой	2	1
50	для него всегда	1	1
51	человека в его	3	1
52	внешнее и внутреннее	2	1
53	в это время	1	1
54	в значительной степени	1	1
55	человек с которым	1	1
56	человеческой жизни и	1	1
57	в самом начале	1	1
58	на внешнее и	1	1
59	в один ряд	1	1
60	особенно в его	1	1
61	и все его	1	1
62	если бы эти	1	1
63	а также и	2	1
64	то время как	2	1
65	все более и	1	1
66	об амуре и	3	1
67	отношения к себе	1	1
68	оставляет места для	1	1
69	и т.п в	1	1
70	и в том	1	1
71	не оставляет места	1	1
72	так громко что	1	1
73	не могло быть	3	1
74	в то время	3	1
75	та или иная	1	1
76	в этом случае	1	1
77	человека в ее	1	1
78	и в самом	1	1
79	с самого начала	2	1
80	более и более	1	1
81	но все же	2	1
82	ни с чем	1	1
83	жизни в то	1	1
84	образ человека в	3	1
85	в жизни и	1	1
86	в том числе	4	1
87	своей личности и	1	1
88	человека и его	7	1
89	в своей жизни	1	1
