N	2gram	Tiupa_Hudo_1	formyVre
1	и в	14	46
2	в этом	11	22
3	и т	11	14
4	прежде всего	11	14
5	вовсе не	1	13
6	в романе	1	13
7	и его	5	12
8	во всех	1	11
9	не только	12	11
10	только в	5	11
11	т п	8	11
12	как бы	7	10
13	точки зрения	5	10
14	в том	12	10
15	но в	5	10
16	мы уже	4	9
17	не в	7	9
18	у него	9	9
19	но и	5	9
20	и не	2	9
21	и для	3	9
22	то же	9	8
23	как и	9	8
24	с точки	3	8
25	того чтобы	3	8
26	потому что	5	8
27	связи с	4	8
28	в его	8	8
29	из них	4	8
30	в связи	3	8
31	жизни и	5	8
32	и на	3	7
33	так сказать	2	7
34	всех этих	1	7
35	так и	13	7
36	может быть	5	7
37	в одном	1	7
38	то что	8	7
39	картину мира	3	7
40	как мы	3	6
41	еще не	7	6
42	все же	3	6
43	при этом	12	6
44	человека в	6	6
45	и с	4	6
46	его в	3	6
47	в основе	1	6
48	никогда не	6	6
49	так как	1	6
50	в особенности	1	6
51	все это	2	6
52	и все	4	6
53	но не	3	5
54	с этим	3	5
55	в своем	4	5
56	все эти	3	5
57	он не	4	5
58	в нем	3	5
59	должно быть	2	5
60	в то	8	5
61	в дальнейшем	1	5
62	и у	1	5
63	в пространстве	1	5
64	и др	1	5
65	в частности	5	5
66	в пределах	3	5
67	в смысле	1	5
68	что в	6	5
69	также и	1	4
70	человека и	1	4
71	в мире	3	4
72	и он	5	4
73	что они	1	4
74	как в	8	4
75	уже в	1	4
76	из этих	1	4
77	в себе	11	4
78	их в	1	4
79	том что	16	4
80	место в	1	4
81	же время	8	4
82	уже говорили	1	4
83	к себе	5	4
84	в образе	1	4
85	с ним	4	4
86	о том	12	4
87	его жизни	2	4
88	все его	1	4
89	к ряду	1	4
90	так что	2	4
91	с другом	1	4
92	а не	12	4
93	человеческой жизни	4	4
94	отнюдь не	3	4
95	в ряду	1	4
96	друг с	1	4
97	с этой	2	4
98	же в	3	4
99	жизни в	6	4
100	ему в	1	3
101	в виду	1	3
102	мы еще	1	3
103	для других	2	3
104	отношение к	1	3
105	нет и	1	3
106	хотя и	2	3
107	как уже	1	3
108	и как	1	3
109	весь мир	1	3
110	в этот	1	3
111	уже не	7	3
112	та же	4	3
113	т д	3	3
114	и по	3	3
115	на первый	1	3
116	в их	2	3
117	в которых	1	3
118	как можно	1	3
119	же самое	1	3
120	к тому	7	3
121	себя и	2	3
122	на основе	2	3
123	роль в	1	3
124	том как	3	3
125	жизнь и	1	3
126	в другом	2	3
127	а также	3	3
128	как у	1	3
129	того что	4	3
130	тот же	1	3
131	что он	9	3
132	во времени	1	3
133	в качестве	9	3
134	и они	1	3
135	для него	10	3
136	в прошлом	1	3
137	тем что	3	3
138	в форме	2	3
139	что на	2	3
140	и даже	3	3
141	не было	4	3
142	не на	1	3
143	о чем	1	3
144	в это	2	3
145	тем более	1	3
146	в этих	5	3
147	а в	7	3
148	в море	2	3
149	себе самому	3	3
150	всего в	1	3
151	и другие	1	3
152	смысле слова	1	2
153	как его	3	2
154	и так	2	2
155	характерное для	1	2
156	и до	1	2
157	оно было	2	2
158	эти не	1	2
159	в сущности	1	2
160	говорить о	3	2
161	жизни как	2	2
162	и т.п	1	2
163	совсем не	1	2
164	явлений и	1	2
165	если в	2	2
166	друг от	1	2
167	в одной	2	2
168	то в	4	2
169	и к	4	2
170	от этого	1	2
171	в этой	8	2
172	с одной	1	2
173	эпохи и	1	2
174	только один	1	2
175	как он	2	2
176	не могла	1	2
177	и вот	1	2
178	на земле	1	2
179	картины мира	4	2
180	на этом	3	2
181	по аналогии	1	2
