N	2gram	Vinokur_St_2	Morfolog
1	может быть	2	52
2	и т	9	49
3	т д	6	47
4	и пр	8	40
5	таким образом	10	20
6	не может	2	17
7	представляет собой	1	17
8	т е	10	16
9	в этих	3	16
10	с этим	3	14
11	действующих лиц	4	13
12	и в	29	13
13	в этом	21	13
14	и др	2	12
15	так как	2	12
16	связи с	4	11
17	заметить что	1	10
18	представляют собой	1	10
19	прежде всего	5	9
20	так и	9	9
21	в связи	1	9
22	то же	2	9
23	этом случае	1	9
24	и не	9	9
25	а не	5	9
26	а затем	2	8
27	при помощи	4	8
28	в результате	2	8
29	что и	2	8
30	с другой	4	8
31	по существу	2	8
32	представляет собою	1	7
33	все же	6	7
34	в тех	2	7
35	вопрос о	6	7
36	или же	1	7
37	но если	1	7
38	в качестве	5	7
39	г он	1	7
40	и здесь	3	6
41	в форме	1	6
42	а в	1	6
43	но не	3	6
44	не могут	1	6
45	в том	27	6
46	во время	2	6
47	а также	2	6
48	в поле	1	5
49	не менее	3	5
50	или в	1	5
51	мы не	1	5
52	в образе	3	5
53	потому что	9	5
54	и другие	2	5
55	один из	1	5
56	то что	11	5
57	ходе действия	1	5
58	как бы	5	5
59	как мы	1	4
60	на его	2	4
61	как и	2	4
62	на пути	1	4
63	так же	3	4
64	случае не	2	4
65	отношению к	1	4
66	вовсе не	6	4
67	точки зрения	5	4
68	раньше чем	4	4
69	там где	2	4
70	на этом	1	4
71	к началу	1	4
72	в некоторых	2	4
73	об этом	6	4
74	тем что	3	4
75	его в	2	4
76	тем не	2	4
77	что в	19	4
78	хотя и	4	4
79	с точки	2	4
80	по отношению	1	4
81	как в	3	4
82	ничего не	4	4
83	другой стороны	3	4
84	героя в	1	4
85	также и	2	4
86	несмотря на	2	4
87	было бы	5	4
88	в точности	1	4
89	не только	19	4
90	и как	2	4
91	прежде чем	1	3
92	что они	2	3
93	в один	2	3
94	кроме того	4	3
95	в какой	2	3
96	независимо от	1	3
97	в бою	1	3
98	того чтобы	6	3
99	целый ряд	1	3
100	в то	2	3
101	же в	1	3
102	но все	7	3
103	и для	1	3
104	ни в	3	3
105	не является	3	3
106	в начале	3	3
107	на самом	3	3
108	но и	19	3
109	на него	1	3
110	мы можем	1	3
111	в сущности	1	3
112	можно назвать	1	3
113	в руки	1	3
114	узнает о	1	3
115	в первом	1	3
116	только что	2	3
117	если бы	2	3
118	с того	1	3
119	в живых	1	3
120	а по	1	3
121	с собой	1	3
122	он не	9	3
123	в последнем	1	3
124	всего это	1	3
125	но в	8	3
126	обращаются с	1	3
127	самом деле	3	3
128	к месту	1	3
129	и по	3	3
130	из них	3	3
131	в пределах	1	3
132	а то	1	3
133	но это	3	3
134	том что	27	3
135	во втором	1	3
136	все эти	2	2
137	что многие	1	2
138	можно указать	1	2
139	лиц в	1	2
140	в в	1	2
141	б в	2	2
142	в свое	1	2
143	утверждать что	2	2
144	в другом	4	2
145	в обоих	3	2
146	о том	17	2
147	можно сказать	1	2
148	как например	2	2
149	вопрос в	1	2
150	затем уже	1	2
151	есть нечто	1	2
152	ночи на	1	2
153	настоящее время	1	2
154	что такое	2	2
155	хотя бы	3	2
156	что эта	3	2
157	как это	2	2
158	от него	1	2
159	относятся к	3	2
160	не существует	1	2
161	а на	1	2
162	если она	1	2
163	для него	4	2
164	с тем	7	2
165	самого себя	1	2
166	совсем не	1	2
167	нам еще	1	2
168	оно не	3	2
169	одной из	3	2
170	того что	5	2
171	в таких	1	2
172	представляют собою	1	2
173	с теми	1	2
174	из другой	1	2
175	элемент в	1	2
176	из его	2	2
177	и к	4	2
178	не имеет	2	2
179	действующим лицам	1	2
180	они и	1	2
181	и его	6	2
182	смысле слова	1	2
183	для того	7	2
184	в отдельных	1	2
185	не исключает	1	2
186	но эти	1	2
187	сказать что	2	2
188	что до	1	2
189	или с	2	2
190	а с	3	2
191	следует еще	2	2
192	не с	1	2
193	это было	2	2
194	более или	2	2
195	в настоящее	1	2
196	себя и	1	2
197	и что	6	2
198	только в	2	2
199	нельзя было	1	2
200	обоих случаях	1	2
201	в лесу	1	2
202	у нее	1	2
203	от других	1	2
204	ни к	1	2
205	по их	2	2
206	здесь не	1	2
207	в частности	4	2
208	ниже в	2	2
209	то время	1	2
210	или менее	2	2
211	к этому	4	2
212	в каком	2	2
213	что он	13	2
214	тем же	2	2
215	и более	2	2
216	одному из	1	2
217	точно так	1	2
218	так например	7	2
219	этот вопрос	2	2
220	можно было	1	2
221	одна из	1	2
222	но для	1	2
223	и тот	1	1
224	одним из	6	1
225	в которой	11	1
226	о которых	2	1
227	конечно в	2	1
228	в деревне	1	1
229	из этой	2	1
230	в полном	3	1
231	должен решаться	1	1
232	зная о	1	1
233	и все	1	1
234	или другие	1	1
235	ii и	1	1
236	основанный на	1	1
237	и с	4	1
238	входить в	1	1
239	бы в	1	1
240	для нас	1	1
241	одно и	1	1
242	в последней	1	1
243	же время	1	1
244	у царя	1	1
245	при сравнении	2	1
246	данном случае	1	1
247	тогда как	2	1
248	должны быть	1	1
249	то не	1	1
250	говорить о	1	1
251	важны для	1	1
252	что следовательно	1	1
253	я был	1	1
254	но он	3	1
255	друг к	1	1
256	в предисловии	3	1
257	самый способ	1	1
258	бы то	2	1
259	наши дни	1	1
260	русском языке	1	1
261	все как	1	1
262	особый смысл	1	1
263	даже не	1	1
264	больше чем	1	1
265	этом основании	1	1
266	не подходит	1	1
267	как на	9	1
268	является ли	1	1
269	по пути	2	1
270	действительно не	2	1
271	еще и	3	1
272	на своем	1	1
273	исторической действительности	1	1
274	и действительно	1	1
275	первом месте	1	1
276	и их	1	1
277	в каких	1	1
278	пр на	1	1
279	будет зависеть	1	1
280	есть но	1	1
281	исходить из	1	1
282	одновременно и	1	1
283	на то	2	1
284	где он	2	1
285	в этой	2	1
286	к концу	1	1
287	значение для	1	1
288	только о	2	1
289	сих пор	5	1
290	что это	3	1
291	не будем	1	1
292	конечно и	2	1
293	те или	1	1
294	здесь следует	1	1
295	не в	4	1
296	становится особенно	1	1
297	даже в	2	1
298	на самого	1	1
299	не так	1	1
300	очень много	1	1
301	на ряду	1	1
302	дело не	2	1
303	нисколько не	1	1
304	лиц по	1	1
305	рассматривать как	1	1
306	из важнейших	1	1
307	с другими	1	1
308	в голову	1	1
309	е не	1	1
310	что я	2	1
311	интересно что	3	1
312	что элементы	1	1
313	не дает	2	1
314	это иван	1	1
315	о необходимости	1	1
316	ничего общего	1	1
317	в их	3	1
318	между прочим	12	1
319	где я	2	1
320	как его	1	1
321	не выдерживает	1	1
322	в одном	6	1
323	в это	2	1
324	три дня	1	1
325	те же	1	1
326	по его	3	1
327	следует сказать	1	1
328	отношении между	1	1
329	другими формами	1	1
