N	4gram	Bakhtin_Pr_1	Dialekti
1	не что иное как	1	3
2	в то же время	3	3
3	в том смысле что	1	3
4	в то время как	1	3
5	не выходя за пределы	2	2
6	не говоря уже о	1	2
7	иметь в виду что	1	2
8	есть не что иное	1	2
9	с одной стороны и	1	1
10	том и в другом	1	1
11	не есть ли это	1	1
12	сами по себе не	1	1
13	и с точки зрения	1	1
14	что бы то ни	1	1
15	и в то же	2	1
16	не нуждается ни в	1	1
17	мы можем сказать что	1	1
18	и в том и	1	1
19	и его значение в	1	1
20	на самом же деле	1	1
21	не в том что	1	1
22	во что бы то	1	1
23	бы то ни стало	1	1
24	в том и в	1	1
25	именно в том что	1	1
26	и т д мы	1	1
