N	2gram	Medvedev_V_1	Mirosoze
1	у достоевского	1	42
2	может быть	22	30
3	не только	25	29
4	и в	26	28
5	не может	17	28
6	но и	10	25
7	а не	7	25
8	он не	2	24
9	в этом	26	20
10	о свободе	1	18
11	не было	7	18
12	у него	6	17
13	не в	6	16
14	потому что	1	16
15	в ней	2	15
16	в своей	4	15
17	переходит в	1	15
18	человека и	3	14
19	и есть	5	14
20	он был	1	14
21	никогда не	4	14
22	человека в	2	13
23	в нем	6	13
24	и он	2	12
25	и достоевский	2	12
26	и это	1	12
27	в самом	4	11
28	для него	8	11
29	и не	19	11
30	во имя	1	10
31	в своем	8	10
32	в творчестве	3	10
33	было бы	7	10
34	достоевского и	2	10
35	что в	10	10
36	прежде всего	13	10
37	что он	4	10
38	и потому	2	10
39	и все	1	10
40	достоевского в	1	9
41	с тем	3	9
42	но он	1	9
43	и его	6	9
44	в его	14	9
45	судьба человека	1	9
46	в котором	3	8
47	но не	2	8
48	не был	1	7
49	но в	2	7
50	в себе	6	7
51	в конце	3	7
52	в самой	1	7
53	того что	3	7
54	нет ничего	1	7
55	о достоевском	1	7
56	он сам	2	6
57	в которой	2	6
58	лишь в	2	6
59	в этой	4	6
60	только в	7	6
61	вместе с	7	6
62	все это	10	6
63	в том	15	6
64	нет и	3	5
65	если он	1	5
66	это не	7	5
67	как и	7	5
68	что есть	1	5
69	достоевский в	1	5
70	у нас	2	5
71	раскрывается в	1	5
72	не могут	7	5
73	то что	6	5
74	мира и	3	5
75	смысле слова	2	4
76	это и	6	4
77	и этот	2	4
78	отношение к	1	4
79	за пределы	1	4
80	привести к	1	4
81	толстой же	1	4
82	не как	1	4
83	и по	3	4
84	в них	4	4
85	в этих	1	4
86	точки зрения	3	4
87	в их	5	4
88	в которых	3	4
89	к ней	1	4
90	она не	3	4
91	что и	3	4
92	значит что	2	4
93	один из	5	4
94	человеческой личности	1	4
95	уже не	1	4
96	уже в	1	4
97	а в	3	4
98	тем что	1	4
99	и вместе	1	4
100	с этой	1	4
101	которых он	1	4
102	от него	1	4
103	вряд ли	1	3
104	его не	3	3
105	и мира	1	3
106	с его	3	3
107	с этим	3	3
108	когда он	3	3
109	этого мира	1	3
110	бы и	6	3
111	в братьях	1	3
112	идей и	3	3
113	и еще	1	3
114	этот процесс	2	3
115	свобода есть	1	3
116	на этом	1	3
117	заключает в	1	3
118	то есть	1	3
119	его в	3	3
120	в жизни	2	3
121	для них	1	3
122	духовной жизни	1	3
123	том что	8	3
124	русских писателей	2	3
125	л толстого	5	3
126	не имеет	1	3
127	к тому	4	3
128	в ее	4	3
129	все его	2	3
130	толстой и	1	3
131	в него	1	3
132	конечно не	1	3
133	и их	3	3
134	братьях карамазовых	1	3
135	человека а	1	3
136	себя и	1	3
137	плоти и	1	3
138	это значит	1	3
139	должно быть	2	3
140	романов достоевского	1	3
141	для нас	1	3
142	хотя бы	19	3
143	будто бы	2	3
144	в свете	1	3
145	творческие силы	1	3
146	от природы	1	3
147	есть и	1	3
148	на своем	1	3
149	с новыми	1	2
150	одним из	5	2
151	также и	2	2
152	чтобы не	2	2
153	связана с	2	2
154	а как	2	2
155	вопрос о	1	2
156	время как	1	2
157	в виду	4	2
158	не все	1	2
159	по отношению	7	2
160	себе и	2	2
161	относится к	2	2
162	в истории	1	2
163	т е	18	2
164	как в	1	2
165	своем творчестве	3	2
166	все же	5	2
167	и как	3	2
168	и к	3	2
169	и у	2	2
170	под ним	1	2
171	он в	1	2
172	все эти	6	2
173	бы не	2	2
174	приводит к	5	2
175	самого себя	2	2
176	как он	2	2
177	если бы	3	2
178	приходят к	1	2
179	не значит	1	2
180	я бы	2	2
181	входит в	1	2
182	на протяжении	1	2
183	в ином	1	2
184	а майкову	1	2
185	романы достоевского	1	2
186	все герои	1	2
187	начинает с	1	2
188	в дневнике	2	2
