N	2gram	Nazirov_Tr_1	IolandNe
1	и с	7	3
2	и не	7	2
3	творчества достоевского	1	2
4	в этом	9	2
5	он не	2	2
6	ничего не	2	2
7	что в	4	2
8	только что	1	1
9	все эти	3	1
10	то и	2	1
11	о жизни	2	1
12	что роман	1	1
13	для него	3	1
14	того чтобы	1	1
15	мертвого дома	2	1
16	того что	1	1
17	пушкина и	1	1
18	когда его	1	1
19	и о	1	1
20	не так	2	1
21	знать и	1	1
22	с литературными	1	1
23	что при	1	1
24	вплоть до	1	1
25	от нее	1	1
26	в целом	4	1
27	это было	1	1
28	эпизод с	3	1
29	во многом	1	1
30	так и	5	1
31	и дети	2	1
32	видит в	1	1
33	могло бы	1	1
34	и сам	3	1
35	стало быть	1	1
36	по поводу	2	1
37	с жизнью	1	1
38	ненависть к	2	1
39	и еще	1	1
40	это был	2	1
41	униженных и	16	1
42	а также	1	1
43	из униженных	1	1
44	бы в	1	1
45	из подполья	1	1
46	и в	18	1
47	теперь я	1	1
48	не случайно	2	1
49	и оскорбленных	17	1
50	все это	4	1
51	из мертвого	2	1
52	на котором	1	1
53	более чем	1	1
54	тем что	2	1
55	и др	1	1
56	а по	1	1
57	он с	1	1
58	я не	4	1
59	никогда не	2	1
60	в них	1	1
