N	2gram	Nazirov_Tr_1	Otkroven
1	у него	6	22
2	и в	18	19
3	у достоевского	5	19
4	но и	4	13
5	и не	7	13
6	в этом	9	12
7	из подполья	1	11
8	не в	2	11
9	не только	8	11
10	может быть	7	11
11	а не	1	11
12	человека и	1	10
13	вопрос о	2	10
14	в нем	4	10
15	и все	4	10
16	в самой	1	9
17	прежде всего	4	9
18	не было	1	9
19	в человеке	1	9
20	никогда не	2	9
21	потому что	2	9
22	он был	2	8
23	и он	3	8
24	ивана карамазова	2	7
25	он всегда	4	7
26	в его	3	7
27	человек не	1	7
28	он не	2	7
29	лишь в	1	7
30	до конца	2	7
31	но он	1	7
32	от него	1	7
33	человеческой личности	2	6
34	как и	5	6
35	все это	4	6
36	отношение к	2	5
37	в том	2	5
38	в самом	2	5
39	в этой	4	5
40	для него	3	5
41	в россии	1	5
42	достоевского и	1	5
43	все герои	1	5
44	о его	2	5
45	для достоевского	2	5
46	то что	4	5
47	человеке о	1	4
48	достоевского все	1	4
49	он сам	7	4
50	в преступлении	2	4
51	с его	2	4
52	все в	1	4
53	достоевского не	1	4
54	все эти	3	4
55	на земле	1	4
56	в самую	2	4
57	что не	1	4
58	не может	5	4
59	в романах	1	4
60	т е	1	4
61	достоевский не	4	4
62	того чтобы	1	4
63	и его	6	4
64	что в	4	4
65	и есть	1	3
66	в бесах	9	3
67	достоевского в	3	3
68	быть может	1	3
69	о том	2	3
70	еще не	4	3
71	к нему	3	3
72	преступлении и	2	3
73	и великий	2	3
74	того что	1	3
75	со злом	1	3
76	что он	6	3
77	и ее	2	3
78	в себе	4	3
79	записках из	3	3
80	в записках	2	3
81	и вот	1	3
82	не могут	2	3
83	это было	1	3
84	это не	5	3
85	никто не	3	3
86	могут быть	1	3
87	как бы	7	3
88	романах достоевского	2	3
89	с ним	3	3
90	и от	1	3
91	до самой	1	3
92	хотя бы	1	3
93	и наказании	2	3
94	и с	7	2
95	и то	2	2
96	в ее	2	2
97	достоевского к	1	2
98	мысль о	1	2
99	от самого	1	2
100	за все	1	2
101	на западе	1	2
102	умирает в	1	2
103	так и	5	2
104	и о	1	2
105	по себе	1	2
106	вместо того	1	2
107	и на	7	2
108	что и	2	2
109	в истории	1	2
110	в своем	3	2
111	все же	5	2
112	и потому	1	2
113	добро и	1	2
114	в которой	1	2
115	что достоевский	4	2
116	он в	1	2
117	так что	2	2
118	уже в	3	2
119	зла в	2	2
120	в душе	2	2
121	одно из	1	2
122	этом мире	1	2
123	тем что	2	2
124	в другом	1	2
125	из мертвого	2	2
126	его в	2	2
