N	3gram	Medvedev_F_2	Problemy
1	с точки зрения	7	13
2	в этом смысле	2	10
3	то же время	5	9
4	в то же	5	9
5	в его целом	1	6
6	в том что	2	6
7	и в этом	5	5
8	в одной плоскости	1	5
9	в зависимости от	3	5
10	но в то	1	5
11	в конце концов	2	5
12	на самом деле	3	4
13	а не как	1	4
14	не может быть	10	4
15	как раз и	3	3
16	не входит в	2	3
17	же время не	1	3
18	и т п	9	3
19	сами по себе	2	3
20	дело идет о	2	3
21	в этом отношении	7	3
22	во всяком случае	5	3
23	с другой стороны	3	3
24	но все же	2	2
25	в самом деле	5	2
26	до сих пор	1	2
27	уже не как	1	2
28	и не может	3	2
29	и в то	3	2
30	в той же	1	2
31	бы то ни	1	2
32	только то что	1	2
33	т п все	1	2
34	во всей его	1	2
35	т е в	1	2
36	в данном случае	1	2
37	идет не об	1	2
38	все эти определения	2	2
39	в структуре произведения	1	2
40	что он есть	1	2
41	для него нет	1	2
42	в большинстве случаев	3	2
43	все же не	1	2
44	и входит в	1	2
45	и не входит	2	2
46	в самом предмете	2	1
47	той же степени	1	1
48	теперь мы должны	1	1
49	же это за	1	1
50	говорит он основной	1	1
51	зависимости от различных	1	1
52	то ни стало	2	1
53	а вовсе не	1	1
54	тем что оно	2	1
55	в свою очередь	1	1
56	он не может	1	1
57	что в самом	1	1
58	большей или меньшей	1	1
59	же степени как	1	1
60	но менее всего	1	1
61	же время и	1	1
62	ведь в противном	1	1
63	новые и новые	1	1
64	создано так что	1	1
65	нам кажется что	1	1
66	в этом случае	1	1
67	в плане художественного	1	1
68	что же касается	1	1
69	художественной структуры как	1	1
70	во что бы	1	1
71	то и другое	2	1
72	уже в первый	1	1
73	и в других	1	1
74	реальность в основе	1	1
75	в неразрывной связи	1	1
76	в этой статье	2	1
77	не было бы	1	1
78	прежде и больше	1	1
79	в литературе о	1	1
80	но он не	1	1
81	прежде всего необходимо	1	1
82	что в нем	2	1
83	с самим собою	1	1
84	на этот вопрос	1	1
85	в нем как	1	1
86	в противном случае	1	1
87	центр тяжести в	1	1
88	в процессе этого	2	1
89	по крайней мере	1	1
90	раз и навсегда	1	1
91	так и в	3	1
92	может быть и	3	1
93	и до известной	1	1
94	что бы то	1	1
95	материал на котором	1	1
96	если же мы	1	1
97	мы полагаем что	1	1
98	из него как	1	1
99	материал до конца	1	1
100	но вовсе не	1	1
101	же что и	1	1
102	иной чем в	1	1
103	существенного от несущественного	1	1
104	взаимодействие с другими	1	1
105	тем что он	1	1
106	в высшей степени	4	1
107	совпадает с самим	1	1
108	как один из	1	1
109	в этом рассказе	1	1
110	настоящая глава посвящена	1	1
111	не могут быть	4	1
112	в большей или	1	1
113	или меньшей степени	1	1
114	не в том	3	1
115	не тем что	1	1
116	но именно в	1	1
117	к конкретному материалу	2	1
118	можно допустить и	1	1
119	могут быть поняты	1	1
120	до настоящего времени	1	1
121	и больше всего	1	1
122	именно в том	1	1
123	что же это	1	1
124	не то чем	1	1
125	что они не	1	1
126	не совпадает с	1	1
127	и во всяком	1	1
128	до крайней степени	1	1
129	того или иного	4	1
130	зависимости от характера	1	1
131	более или менее	1	1
132	неразрывной связи с	1	1
133	таким образом в	1	1
134	т е все	1	1
135	один из возможных	1	1
136	по себе а	2	1
137	не была бы	1	1
138	все новые и	1	1
139	имеем в виду	1	1
140	она не может	1	1
141	на другого человека	1	1
142	автора и в	1	1
143	это и есть	1	1
144	рядом с этим	1	1
145	он есть а	1	1
146	с самого начала	2	1
147	но все эти	1	1
148	в художественном произведении	1	1
149	но что же	1	1
150	в настоящее время	1	1
151	мы имеем в	1	1
152	во всех сферах	1	1
153	то чем является	1	1
154	к тому что	2	1
155	было бы сказать	1	1
156	в сущности не	1	1
157	до известной степени	3	1
158	одной плоскости в	1	1
159	сама по себе	1	1
160	и всякое иное	1	1
161	тем что в	1	1
162	для того чтобы	3	1
163	это объясняется не	1	1
164	что и в	1	1
165	совершенно в той	1	1
166	не укладывающиеся в	1	1
167	это не так	1	1
168	и т д	5	1
169	как мы видели	4	1
