N	2gram	Potebnia_M_2	SlovoVZh
1	не может	12	16
2	может быть	23	14
3	как бы	9	13
4	и его	2	13
5	таким образом	11	12
6	и в	24	12
7	по отношению	2	11
8	в нашем	2	11
9	и не	19	10
10	если бы	11	9
11	так как	10	9
12	прежде всего	7	8
13	сказать что	2	7
14	для нас	31	7
15	в ней	3	6
16	в том	18	6
17	только в	11	6
18	при этом	13	6
19	в нем	9	6
20	слова и	3	6
21	в процессе	1	6
22	должна быть	1	5
23	то же	12	5
24	можно сказать	1	5
25	мы ни	1	5
26	как в	10	5
27	но в	4	5
28	и др	1	5
29	в жизни	2	5
30	а не	18	5
31	как и	7	5
32	что мы	11	5
33	и следовательно	2	5
34	том что	8	5
35	никогда не	4	5
36	поэтическое произведение	1	5
37	хотя бы	2	5
38	то что	20	5
39	на самом	2	4
40	к нему	1	4
41	за пределы	2	4
42	в этом	8	4
43	все же	5	4
44	в самом	4	4
45	уже не	4	4
46	не только	15	4
47	ни было	3	4
48	отношение к	1	4
49	от того	5	4
50	так и	5	4
51	с другой	6	4
52	что не	5	4
53	не в	13	4
54	его в	3	4
55	дело в	1	4
56	жизни и	1	4
57	и на	8	4
58	здесь не	1	3
59	самом деле	2	3
60	формы и	1	3
61	в котором	4	3
62	еще не	4	3
63	мы не	11	3
64	и вообще	3	3
65	о том	5	3
66	бы то	1	3
67	но и	9	3
68	между тем	6	3
69	того что	7	3
70	и наконец	1	3
71	имеет в	1	3
72	все эти	2	3
73	только на	1	3
74	конечно не	1	3
75	в себе	10	3
76	слово в	1	3
77	для него	10	3
78	он должен	1	3
79	не к	1	3
80	внутренней речи	1	3
81	и по	2	3
82	то ни	1	3
83	и с	1	3
84	до сих	4	3
85	ни в	1	3
86	в некоторых	4	3
87	в них	5	3
88	и уже	5	3
89	так же	2	3
90	в такой	1	3
91	тем не	6	3
92	этой точки	1	3
93	как к	1	3
94	и более	1	3
95	по себе	15	3
96	сих пор	4	3
97	не менее	5	3
98	все это	2	3
99	но для	1	3
100	и проч	10	3
101	и для	3	3
102	это как	1	3
103	с ним	5	3
104	или не	5	3
105	отношении к	2	3
106	в каком	3	3
107	как не	3	2
108	и то	3	2
109	как это	2	2
110	словами и	1	2
111	но тем	3	2
112	в себя	2	2
113	и самое	1	2
114	и совершенно	1	2
115	ко всем	2	2
116	те же	3	2
117	со всех	1	2
118	слово взятое	1	2
119	со словом	1	2
120	мы в	3	2
121	и здесь	2	2
122	и та	1	2
123	с его	2	2
124	но мы	3	2
125	и что	4	2
126	между собой	1	2
127	в чем	7	2
128	тем как	2	2
129	но конечно	1	2
130	которые мы	3	2
131	для других	1	2
132	в его	2	2
133	что и	11	2
134	относится к	3	2
135	нашего сознания	1	2
136	независимо от	9	2
137	с чисто	1	2
138	в формах	2	2
139	его к	1	2
140	дело с	1	2
141	в какой	2	2
142	и потому	2	2
143	что слово	2	2
144	и так	1	2
145	сливается с	1	2
146	в самое	1	2
147	бы не	5	2
148	с одной	4	2
149	уже в	5	2
150	тому же	1	2
151	имеем в	1	2
152	в душе	23	2
153	он не	1	2
154	перестает быть	2	2
155	не так	3	2
156	допустим что	2	2
157	к ним	1	2
158	мы можем	12	2
159	но что	2	2
160	из него	1	2
161	форма в	1	2
162	одно и	2	2
163	но все	2	2
164	некоторых языках	1	2
165	в особенности	1	2
166	на все	3	2
167	влияние на	4	2
168	с другими	5	2
169	это не	3	2
170	может стать	2	2
171	и дает	1	2
172	оно не	3	2
173	делает его	1	2
174	остаются вне	2	2
175	себя и	2	2
176	одной стороны	3	2
177	можем сказать	1	2
178	зависит от	2	2
179	самое слово	1	2
180	другой стороны	2	2
181	его как	1	2
182	была бы	1	2
183	там где	4	2
184	и слово	1	2
185	имеет место	2	2
186	связь с	1	2
187	ни на	1	2
188	вместе с	11	2
189	можно найти	1	2
190	но не	12	2
191	общего с	2	2
192	место в	4	2
193	быть только	2	2
194	вместе со	2	2
195	с этой	1	2
196	с точки	1	2
197	тесную связь	1	2
198	в условиях	1	2
199	такой же	4	2
200	основного тона	1	2
201	тогда когда	10	2
202	слова так	2	2
203	в то	6	2
204	и притом	3	2
205	на него	3	2
206	за его	1	2
207	известной степени	1	2
208	слова но	2	2
209	ничего не	1	2
210	а к	2	2
211	этих двух	1	2
212	и все	3	2
213	все они	1	2
214	в этих	3	2
215	есть уже	1	2
216	но это	3	2
217	между ними	2	2
218	от всех	1	2
219	стороны и	1	2
220	могут быть	8	2
221	и вполне	1	2
222	на это	1	2
223	что в	16	2
224	как на	3	2
225	не есть	6	2
226	к этому	2	2
227	а между	4	1
228	и это	2	1
229	ту же	1	1
230	например в	3	1
231	как мы	1	1
232	и о	1	1
233	чтобы не	1	1
234	словом так	1	1
235	но чтобы	1	1
236	сам по	4	1
237	свою очередь	6	1
238	есть форма	1	1
239	при чтении	2	1
240	нам кажется	4	1
241	тем же	3	1
242	так относится	1	1
243	с первого	2	1
244	только то	1	1
245	с самого	2	1
246	то время	4	1
247	нем но	1	1
248	множественного числа	1	1
249	проч и	1	1
250	не имеют	2	1
251	случае оно	2	1
252	с таким	3	1
253	обойтись без	1	1
254	мы уже	1	1
255	было в	2	1
256	так называемую	1	1
257	это событие	2	1
258	на которую	1	1
259	исключительно при	1	1
260	себе как	1	1
261	между их	1	1
262	остается только	2	1
263	это только	1	1
264	подумать что	1	1
265	что уже	1	1
266	а эта	1	1
267	единство и	1	1
268	и всякого	1	1
269	на что	1	1
270	к другу	1	1
271	событием и	1	1
272	в содержании	1	1
273	не отвечает	1	1
274	само слово	1	1
275	то она	1	1
276	слова из	1	1
277	непосредственное выражение	1	1
278	всех сторон	1	1
279	так не	1	1
280	к общему	4	1
281	определенным образом	1	1
282	что давно	1	1
283	но при	1	1
284	что каждый	1	1
285	др и	1	1
286	на них	1	1
287	становятся все	1	1
288	на их	1	1
289	столь же	5	1
290	мы понимаем	1	1
291	во всех	7	1
292	притом с	1	1
293	и во	3	1
294	образом мы	2	1
295	то мы	2	1
296	все в	1	1
297	друг к	1	1
298	то в	1	1
299	которой было	1	1
300	и легче	1	1
301	сознания не	1	1
302	в общем	2	1
303	себе и	1	1
304	и целых	1	1
305	явлениями и	1	1
306	и степень	1	1
307	крайней мере	5	1
308	что они	5	1
309	именно в	1	1
310	сама по	2	1
311	слов и	1	1
312	степень их	1	1
313	в слово	2	1
314	в одной	1	1
315	если она	1	1
316	что именно	1	1
317	не зная	2	1
318	можно подумать	1	1
319	она как	1	1
320	что здесь	1	1
321	как например	3	1
322	предметы и	1	1
323	слова должно	1	1
324	все остальные	5	1
325	перед нами	1	1
326	следует ли	1	1
327	хотя и	3	1
328	и понимания	1	1
329	тот же	5	1
330	на другие	6	1
331	явления в	1	1
332	более или	8	1
333	себе не	4	1
334	бы показать	1	1
335	как нечто	1	1
336	о самом	1	1
337	его место	1	1
