N	2gram	Propp_Isto_7	VelikijI
1	и не	4	20
2	и в	24	16
3	так как	8	9
4	то что	7	9
5	еще не	8	8
6	что они	3	7
7	на земле	2	7
8	а не	8	7
9	и потому	1	7
10	на себя	2	5
11	но и	11	5
12	того что	6	5
13	хотя и	3	5
14	все это	8	5
15	как бы	4	5
16	и есть	1	4
17	в образе	3	4
18	в его	1	4
19	в этом	12	4
20	что он	21	4
21	потому что	9	4
22	в нем	6	4
23	так и	5	4
24	что не	2	4
25	как и	6	4
26	что мы	3	4
27	в котором	2	4
28	в ней	1	4
29	в силах	1	4
30	и все	6	4
31	все что	1	4
32	от этого	1	3
33	этого мира	1	3
34	и что	10	3
35	должна быть	1	3
36	хотя бы	1	3
37	то это	5	3
38	как не	1	3
39	в чем	5	3
40	с его	3	3
41	во всех	7	3
42	что и	8	3
43	в том	7	3
44	тот же	2	3
45	но в	5	3
46	по этому	2	3
47	все эти	2	3
48	и они	1	3
49	его во	1	3
50	за ним	1	3
51	от которого	1	3
52	в конце	3	3
53	тех которые	1	3
54	в своей	1	3
55	в жизни	1	3
56	ни в	2	3
57	в них	3	3
58	должно быть	1	3
59	если не	4	3
60	в этих	13	3
61	что во	2	3
62	в первый	1	3
63	что я	1	3
64	не в	9	3
65	тому что	2	3
66	но это	3	3
67	не имеет	4	3
68	никогда не	4	3
69	первый раз	1	3
70	превращается в	3	3
71	что ты	1	3
72	к тому	1	3
73	жизни и	1	3
74	что в	13	3
75	оно не	1	3
76	и это	2	2
77	и то	1	2
78	не имел	1	2
79	от своей	1	2
80	но мы	1	2
81	и сам	1	2
82	и т	17	2
83	можно было	1	2
84	и за	1	2
85	его не	2	2
86	мы не	4	2
87	когда в	1	2
88	и новые	1	2
89	с ним	5	2
90	под этим	1	2
91	ее и	1	2
92	и во	1	2
93	вслед за	1	2
94	которые не	2	2
95	не с	1	2
96	духа и	1	2
97	только в	6	2
98	те которые	1	2
99	конечно не	2	2
100	уже не	2	2
101	не только	21	2
102	превращаются в	1	2
103	не так	2	2
104	земли и	1	2
105	не могли	1	2
106	тем что	6	2
107	на том	2	2
108	не будет	2	2
109	это не	10	2
110	т д	16	2
111	а с	1	2
112	прежде всего	2	2
113	с тем	1	2
114	мы и	1	2
115	один из	7	2
116	не могут	2	2
117	которой они	2	2
118	с тобой	1	2
119	за богов	1	2
120	одна из	7	2
121	что их	1	2
122	почему в	1	2
123	том что	10	2
124	тот кто	5	2
125	людей так	1	2
126	для нас	6	2
127	от него	3	2
128	в форме	2	2
129	они и	1	2
130	ее в	3	2
131	до того	1	2
132	а в	10	2
133	но не	6	2
134	всего в	1	2
135	небо это	1	1
136	от этой	1	1
137	кто бы	2	1
138	как мы	3	1
139	для себя	1	1
140	в ее	2	1
141	царем и	1	1
142	сам великий	1	1
143	и говорит	4	1
144	дает людям	3	1
145	том свете	1	1
146	свое место	2	1
147	не имеют	2	1
148	скрыть от	1	1
149	если они	1	1
150	то же	8	1
151	это он	1	1
152	и которые	1	1
153	живет в	1	1
154	ней мы	1	1
155	из всего	2	1
156	праведных и	1	1
157	что уже	1	1
158	вопрос о	3	1
159	превратившись в	1	1
160	основана на	1	1
161	составные части	1	1
162	который был	1	1
163	находится в	1	1
164	не царем	1	1
165	его способность	1	1
166	я не	1	1
167	и ее	2	1
168	же что	2	1
169	зависимости от	1	1
170	вражда к	1	1
171	теми которые	1	1
172	царство свое	3	1
173	в их	4	1
174	и на	2	1
175	он был	1	1
176	после того	4	1
177	бы то	1	1
178	все в	2	1
179	тысячи и	1	1
180	к нему	7	1
181	ее к	1	1
182	на составные	1	1
183	ее от	1	1
184	от них	1	1
185	если в	2	1
186	сила а	1	1
187	тогда как	3	1
188	себе и	3	1
189	не просто	2	1
190	во что	1	1
191	происхождение и	1	1
192	ты с	1	1
193	его на	2	1
194	как в	12	1
195	и пусть	1	1
196	в своем	1	1
197	все же	9	1
198	но с	1	1
199	д и	1	1
200	еще больше	1	1
201	мы видим	10	1
202	с ними	1	1
203	мы увидим	6	1
204	ли он	4	1
205	царство и	2	1
206	утверждают что	1	1
207	и свою	1	1
208	и хотя	1	1
209	все новые	1	1
210	и так	2	1
211	духа в	1	1
212	со своей	2	1
213	в самом	2	1
214	в которой	2	1
215	что это	6	1
216	бы ни	1	1
217	в целом	1	1
218	их не	2	1
219	конца мира	1	1
220	богом и	1	1
221	тоже не	3	1
222	в этой	1	1
223	в известном	1	1
224	им в	2	1
225	он делает	1	1
226	вот в	1	1
227	я в	1	1
228	уже в	3	1
229	то и	4	1
230	под землей	2	1
231	в виде	1	1
232	и если	3	1
233	это право	1	1
234	или даже	2	1
235	тебе все	1	1
236	и вот	1	1
237	вовсе не	4	1
238	не для	1	1
239	отношение к	5	1
240	так часто	1	1
241	но что	1	1
242	у него	10	1
243	не случайно	3	1
244	и по	3	1
245	в руки	1	1
246	бы от	1	1
247	ее на	4	1
248	на нее	1	1
249	для того	1	1
250	то ни	1	1
251	в состоянии	4	1
252	видно и	2	1
253	и с	1	1
254	а его	3	1
255	себя не	1	1
256	с другой	9	1
257	есть не	1	1
258	это одна	1	1
259	близок к	2	1
260	бытия в	1	1
261	и тем	2	1
262	говорит о	2	1
263	построения для	1	1
264	них и	1	1
265	она и	1	1
266	был в	2	1
267	ничем не	2	1
268	их было	1	1
269	не всегда	4	1
270	и уже	1	1
271	для чего	1	1
272	о чем	1	1
273	и было	1	1
274	мировой истории	1	1
275	него не	1	1
276	и вновь	1	1
277	их на	2	1
278	вместе с	7	1
279	так же	6	1
280	к сонму	1	1
281	как это	2	1
282	мне от	1	1
283	в лице	1	1
284	вот к	1	1
285	этому же	1	1
286	в которых	1	1
287	он говорит	2	1
288	что тот	2	1
289	не понимает	1	1
290	а потом	2	1
291	есть еще	2	1
292	это значит	2	1
293	так хорошо	1	1
294	и смерти	1	1
295	с этой	6	1
296	и нет	2	1
297	можно ли	1	1
298	как можно	1	1
299	проявляется и	1	1
300	есть знак	2	1
301	к ним	2	1
302	и другое	2	1
303	гораздо шире	1	1
304	о мире	1	1
305	и остается	1	1
306	тому кто	2	1
307	не по	2	1
308	сознании и	1	1
309	но она	1	1
310	мы все	1	1
311	ты хочешь	1	1
312	и от	2	1
313	в день	1	1
314	людям и	1	1
315	нельзя не	1	1
316	мира и	1	1
317	это как	2	1
318	он за	1	1
319	ничего не	5	1
320	человек и	1	1
321	в разных	1	1
322	того как	3	1
323	может быть	14	1
324	в третьем	1	1
325	как она	1	1
326	видим что	3	1
327	во всем	2	1
328	в мировом	1	1
329	вот что	1	1
330	там он	1	1
331	на него	2	1
332	в сознании	1	1
333	наших дней	1	1
334	но вот	2	1
335	связь с	2	1
336	может и	1	1
337	хотели бы	1	1
338	другой стороны	8	1
339	слова очень	1	1
340	религии и	1	1
341	но все	4	1
342	есть и	4	1
343	тебя на	1	1
344	к этому	2	1
345	дух в	1	1
346	его с	1	1
347	всего что	1	1
348	и другие	9	1
349	и эта	2	1
350	это в	1	1
351	им и	1	1
352	силы на	1	1
353	она не	2	1
354	они не	2	1
