N	3gram	Tiupa_Anal_1	Mirosoze
1	не может быть	16	8
2	для того чтобы	3	4
3	что иное как	5	3
4	до сих пор	1	3
5	к тому что	1	3
6	есть не что	3	3
7	не что иное	4	3
8	я никогда не	1	2
9	а не в	3	2
10	и той же	1	2
11	это означает что	2	2
12	подобно тому как	3	2
13	также и в	1	2
14	и та же	1	2
15	одна и та	1	2
16	о том что	3	2
17	одной и той	1	2
18	по отношению к	5	2
19	как и в	1	2
20	никогда не бывает	1	2
21	и те же	1	2
22	в том что	9	2
23	как и во	1	2
24	только личность но	1	1
25	принадлежит к тем	1	1
26	том что он	2	1
27	так и не	1	1
28	только тогда когда	1	1
29	с точки зрения	4	1
30	а не к	1	1
31	сам по себе	1	1
32	с ним как	1	1
33	и быть может	1	1
34	себя и не	1	1
35	но и в	2	1
36	на что не	1	1
37	между тем как	1	1
38	он обращен к	1	1
39	в этом отношении	2	1
40	во всех своих	1	1
41	не сам по	1	1
42	в той мере	2	1
43	отношения к самому	1	1
44	и тогда когда	1	1
45	стороны одной и	1	1
46	той мере в	2	1
47	смысле этого слова	1	1
48	смысла жизни и	1	1
49	всего может быть	1	1
50	в xx веке	1	1
51	и должно быть	1	1
52	во втором случае	1	1
53	по природе своей	2	1
54	одни и те	1	1
55	ни на что	1	1
56	решение вопроса о	1	1
57	внутрь себя и	1	1
58	я не могу	1	1
59	мере в какой	2	1
60	как бы не	1	1
61	второе решение вопроса	1	1
62	в крепость как	1	1
63	означает что в	2	1
64	и отличается от	1	1
65	с самим собой	1	1
66	между тем в	1	1
67	не только личность	1	1
68	сила не может	1	1
69	той или иной	6	1
70	из себя в	1	1
71	было не до	1	1
72	друг друга а	1	1
73	ведет к тому	1	1
74	приводит нас к	1	1
75	по своей природе	1	1
