N	3gram	Propp_Russ_1	Formalny
1	с точки зрения	3	13
2	в настоящее время	3	10
3	и т д	9	8
4	на самом деле	1	6
5	в свою очередь	2	6
6	и т п	1	4
7	по отношению к	1	4
8	во всяком случае	1	4
9	может быть и	2	3
10	а н веселовского	3	3
11	мы не можем	3	2
12	в большинстве случаев	2	2
13	и в этом	1	2
14	в целом ряде	1	2
15	как мы видели	1	2
16	быть и не	1	2
17	и наконец в	1	2
18	что бы ни	1	2
19	в связи с	4	2
20	и пр и	1	2
21	как мы увидим	5	2
22	можно говорить о	1	1
23	так же как	1	1
24	к вопросу об	1	1
25	что также не	1	1
26	мы увидим что	1	1
27	в этом отношении	1	1
28	в это время	2	1
29	при этом не	1	1
30	и в том	1	1
31	в противном случае	1	1
32	они ничего не	1	1
33	что и в	1	1
34	еще далеко не	1	1
35	иногда и в	1	1
36	и в нашем	1	1
37	к тому что	4	1
38	ничего общего с	1	1
39	в том что	15	1
40	же как и	1	1
41	направления в их	1	1
42	состоит в том	8	1
43	значения и смысла	1	1
44	но вместе с	1	1
45	в этой роли	1	1
46	как мы знаем	1	1
47	в отличие от	1	1
48	на самом же	1	1
49	и состоит в	1	1
50	т е на	1	1
51	самом же деле	1	1
52	но все же	2	1
53	существует независимо от	1	1
54	мы видим что	1	1
55	не только на	2	1
56	мы уже знаем	1	1
57	вместе с тем	6	1
58	тем не менее	3	1
59	т е в	1	1
60	и как бы	1	1
61	мы наблюдаем в	1	1
62	но для каждого	1	1
63	в данном случае	1	1
64	что было в	1	1
65	в этот поток	1	1
