N	3gram	Medvedev_S_1	StatiiOP
1	в том что	2	11
2	по крайней мере	1	4
3	во всяком случае	1	4
4	в конце концов	2	3
5	не в том	2	3
6	в связи с	1	3
7	то же время	1	3
8	в то же	1	3
9	в этой области	1	2
10	с одной стороны	1	2
11	и в этом	1	2
12	а с другой	1	2
13	не может не	1	1
14	в те же	1	1
15	то же самое	1	1
16	в этих мелочах	1	1
17	в наше время	1	1
18	что в них	1	1
19	то что в	1	1
20	в лучшем случае	1	1
21	по существу это	1	1
22	ни на что	1	1
23	дело не в	2	1
24	благодаря тому что	1	1
25	должно было бы	1	1
