N	2gram	Berdyaev_N_1	Istorich
1	и в	16	26
2	так же	2	18
3	то что	4	16
4	не только	5	15
5	может быть	7	14
6	что в	9	14
7	же как	2	13
8	но и	3	12
9	и пр	3	11
10	власть над	1	11
11	так и	2	10
12	и его	1	10
13	что он	1	10
14	так как	1	9
15	и не	11	9
16	а в	2	8
17	в этом	7	7
18	он не	8	7
19	как и	7	7
20	в этих	1	7
21	во время	1	7
22	их в	1	7
23	нас к	1	7
24	как в	3	7
25	превращается в	1	7
26	совершенно так	1	6
27	еще не	3	6
28	не всегда	1	6
29	могут быть	2	6
30	к нему	1	6
31	потому что	4	6
32	а не	17	6
33	не может	16	6
34	вместе с	2	6
35	это и	2	5
36	мы уже	1	5
37	то это	1	5
38	но не	2	5
39	но в	2	5
40	уже не	2	5
41	и только	1	5
42	в силу	1	5
43	с собой	1	5
44	но все	1	5
45	и с	2	5
46	это не	4	5
47	не в	6	5
48	и у	1	5
49	на нем	1	5
50	и что	2	5
51	в его	1	5
52	раньше чем	1	5
53	у него	2	5
54	тем что	1	5
55	до сих	1	5
56	сих пор	1	5
57	мы должны	1	5
58	вопрос о	3	4
59	на себя	1	4
60	в этот	1	4
61	он в	1	4
62	но он	1	4
63	в своей	3	4
64	что этот	1	4
65	о том	4	4
66	и даже	2	4
67	с другой	3	4
68	а на	1	4
69	а по	1	4
70	все что	1	4
71	в человеческом	1	4
72	другой стороны	2	4
73	из этих	1	3
74	все эти	2	3
75	что она	2	3
76	том что	2	3
77	с миром	1	3
78	и более	1	3
79	как это	2	3
80	не имеет	4	3
81	во всем	1	3
82	к себе	1	3
83	есть только	1	3
84	все еще	1	3
85	она не	3	3
86	в образе	1	3
87	в религии	2	3
88	а также	1	3
89	о природе	1	3
90	в том	8	3
91	только в	1	3
92	переходит в	1	3
93	не на	1	3
94	что мы	1	3
95	наряду с	3	3
96	по существу	2	3
97	но это	6	3
98	уже нет	1	3
99	на смену	1	3
100	к этой	1	3
101	он также	1	2
102	что образ	1	2
103	он может	1	2
104	в средние	3	2
105	и есть	10	2
106	не хочет	1	2
107	должна быть	3	2
108	связана с	2	2
109	к ним	3	2
110	в этой	1	2
111	в истории	3	2
112	с этим	2	2
113	в своем	1	2
114	хотя и	2	2
115	говорит что	1	2
116	конечно не	3	2
117	в себе	2	2
118	в нем	5	2
119	не к	2	2
120	в одну	2	2
121	лишь в	6	2
122	хотя бы	2	2
123	было бы	1	2
124	из них	1	2
125	этого не	1	2
126	с тем	3	2
127	земли и	1	2
128	и их	1	2
129	установить что	1	2
130	все это	5	2
131	по себе	1	2
132	не менее	4	2
133	не по	1	2
134	небом и	1	2
135	так много	1	2
136	одна из	2	2
137	по своей	1	2
138	в области	1	2
139	от того	1	2
140	у нас	1	2
141	не могут	1	2
142	во все	1	2
143	не есть	3	2
144	формы и	2	2
145	никогда не	6	2
146	вопрос этот	1	2
147	и на	2	2
148	и во	1	2
149	их не	1	2
150	себя в	2	2
151	уже в	1	2
152	есть в	2	2
153	ни в	6	2
154	не случайно	1	2
155	возможно что	1	2
156	мы опять	1	2
157	такого рода	2	2
158	есть и	1	2
159	но для	2	2
160	это уже	1	2
161	только одна	1	2
162	и все	4	2
163	вот этот	1	2
164	сказать что	3	2
165	средние века	7	2
166	на это	1	2
167	вступление в	1	1
168	силы и	2	1
169	переход от	1	1
170	не имеют	2	1
171	был и	1	1
172	к созданию	2	1
173	в зависимости	1	1
174	явление он	1	1
175	мы не	2	1
176	есть вопрос	1	1
177	время как	2	1
178	но она	2	1
179	зависимости от	1	1
180	в ней	5	1
181	на них	1	1
182	в чем	1	1
183	во всех	3	1
184	то он	1	1
185	к богу	2	1
186	в эти	1	1
187	культуру и	1	1
188	себе и	1	1
189	другой же	1	1
190	было то	1	1
191	что нет	1	1
192	на человека	1	1
193	и к	5	1
194	духа и	3	1
195	мир и	2	1
196	это показывает	1	1
197	к чему	1	1
198	думать что	2	1
199	особое место	1	1
200	дальше и	1	1
201	не могла	2	1
202	жизнью и	1	1
203	вообще не	1	1
204	одному из	1	1
205	том чтобы	2	1
206	подобно тому	3	1
207	людей и	1	1
208	в нее	1	1
209	этом он	1	1
210	вера в	1	1
211	них не	1	1
212	знает что	1	1
213	и которые	1	1
