N	3gram	Bakhtin_Pr_3	SlovoVZh
1	по отношению к	1	11
2	не может быть	1	7
3	можно сказать что	4	5
4	в том что	3	4
5	и не может	1	3
6	тем не менее	2	3
7	может быть и	2	3
8	до сих пор	5	3
9	с другой стороны	1	2
10	то же самое	1	2
11	с точки зрения	2	2
12	в зависимости от	2	2
13	но тем не	1	2
14	мы можем сказать	1	2
15	ни на один	1	2
16	тех или иных	1	1
17	в так называемой	1	1
18	это один и	1	1
19	один и тот	1	1
20	из него но	1	1
21	а между тем	2	1
22	мы ни на	1	1
23	и тому же	2	1
24	следует отметить что	1	1
25	или хотя бы	1	1
26	имеем дело с	1	1
27	мы имеем дело	1	1
28	и др все	2	1
29	ровно ничего не	1	1
30	все более и	1	1
31	более или менее	3	1
32	друг к другу	1	1
33	во всяком случае	1	1
34	мы не найдем	1	1
35	так как уже	1	1
36	в этом смысле	1	1
37	самом же деле	1	1
38	нуждается в особом	1	1
39	в нем и	1	1
40	очень важным моментом	1	1
41	является и так	1	1
42	убедиться в этом	1	1
43	равно как и	1	1
44	подчеркнем еще раз	2	1
45	становятся все более	1	1
46	сказать что и	1	1
47	но и в	1	1
48	здесь мы должны	1	1
49	на самом же	1	1
50	в истории литературы	1	1
51	о том что	2	1
52	в этом отношении	1	1
53	на один миг	1	1
54	в творчестве достоевского	5	1
55	с самого начала	3	1
56	то что я	1	1
57	более и более	1	1
58	и прежде всего	5	1
59	можно было бы	1	1
60	то же время	5	1
61	как мы уже	3	1
62	зависимости от ранга	1	1
63	включает в себя	1	1
64	при этом свое	1	1
65	может быть только	1	1
66	по крайней мере	1	1
67	в то же	5	1
68	записок из подполья	1	1
69	еще раз подчеркнуть	1	1
70	один миг не	1	1
71	и в нем	1	1
72	чтобы убедиться в	1	1
73	том что все	1	1
74	еще раз что	2	1
75	но в процессе	1	1
76	как и в	3	1
77	но в то	1	1
78	таким образом во	1	1
79	одному и тому	2	1
80	в этом достаточно	1	1
81	к вопросу о	1	1
82	и так называемый	1	1
83	и тот же	1	1
