N	3gram	Bakhtin_Fr_4	Poddanst
1	в то же	8	7
2	то же время	8	7
3	не только в	2	4
4	в том что	1	4
5	с точки зрения	2	3
6	с одной стороны	2	3
7	в том числе	3	2
8	одной стороны и	1	2
9	и в то	4	2
10	но и в	3	2
11	и если бы	1	2
12	в полной мере	1	2
13	как она есть	1	1
14	в ней и	1	1
15	далеко не все	1	1
16	более или менее	3	1
17	и не может	1	1
18	в эту эпоху	1	1
19	в отличие от	1	1
20	в последующие века	1	1
21	за то что	1	1
22	и то что	1	1
23	касается не только	1	1
24	в противоречии с	1	1
25	в различных формах	1	1
26	и будущее в	1	1
27	и вот как	1	1
28	с другой стороны	3	1
29	не может быть	1	1
30	и не столько	1	1
31	но в то	1	1
32	и философской мысли	1	1
33	в большинстве случаев	5	1
34	для того чтобы	3	1
35	тех кто не	1	1
36	том числе и	2	1
