N	3gram	Bakhtin_KF_1	Otkroven
1	для того чтобы	1	3
2	и в этом	3	2
3	в этом мире	1	2
4	никогда не было	1	2
5	а не в	2	2
6	не может быть	11	2
7	смысле этого слова	1	1
8	и не быть	2	1
9	на своем я	1	1
10	не в том	1	1
11	потому что в	1	1
12	это не есть	3	1
13	и все эти	2	1
14	не растворяется в	1	1
15	и все же	1	1
16	не было и	1	1
17	во всяком случае	1	1
18	в отношении ко	1	1
19	само по себе	1	1
20	люди а не	1	1
21	любви к человеку	1	1
22	в том что	2	1
23	он ни был	2	1
24	на то что	1	1
25	бы он ни	2	1
26	и не в	1	1
27	в том случае	1	1
28	и то что	1	1
29	но и тут	1	1
30	бы и не	2	1
31	вместо того чтобы	1	1
32	и в ее	1	1
33	и вложена в	1	1
34	все что есть	1	1
35	и в его	1	1
36	и вопрос о	1	1
37	не есть просто	1	1
