N	3gram	Tiupa_Vved_1	StatiiOP
1	в том что	3	11
2	не может быть	3	5
3	в этом смысле	1	4
4	по крайней мере	1	4
5	в этом отношении	4	4
6	во всяком случае	1	4
7	с другой стороны	1	4
8	о том что	4	4
9	состоит в том	2	3
10	не в том	1	3
11	в связи с	1	3
12	то же время	3	3
13	не только в	2	3
14	на то что	1	3
15	в то же	4	3
16	но это не	1	3
17	связано с тем	1	2
18	тем о которых	1	2
19	но и в	2	2
20	это не так	1	2
21	в том чтобы	2	2
22	с одной стороны	5	2
23	и в этом	1	2
24	а с другой	2	2
25	тем не менее	3	2
26	можно сказать что	1	1
27	следует заметить что	1	1
28	одна из этих	1	1
29	а не в	1	1
30	более или менее	2	1
31	на самом деле	3	1
32	то же самое	1	1
33	не было и	1	1
34	них как бы	1	1
35	здесь следует признать	1	1
36	именно то что	1	1
37	можно было бы	2	1
38	для одного из	1	1
39	а то и	2	1
40	она тем что	1	1
41	в поле зрения	1	1
42	но в целом	1	1
43	в том же	1	1
44	объясняется тем что	1	1
45	несет на себе	1	1
46	по большей части	3	1
47	то что он	1	1
48	на котором он	1	1
49	в этом направлении	1	1
50	в той или	1	1
51	в этом и	1	1
52	на том как	1	1
53	на этом пути	1	1
54	может быть не	3	1
55	в свою очередь	4	1
56	к этому времени	1	1
57	и в самом	1	1
58	в каждой из	1	1
59	той или иной	2	1
60	речь идет о	1	1
61	но на самом	1	1
62	становится очевидным что	1	1
63	к этому роду	1	1
64	благодаря тому что	1	1
65	значении этого термина	1	1
66	как мы видели	2	1
67	то есть с	1	1
