N	2gram	Tiupa_Narr_1	Vladivir
1	и в	19	40
2	то что	11	28
3	и не	20	25
4	не только	32	25
5	у него	4	24
6	то есть	19	24
7	в том	18	18
8	но и	23	18
9	том что	14	18
10	что в	3	17
11	также и	1	17
12	в этом	17	16
13	не может	10	14
14	в его	9	14
15	вовсе не	1	13
16	точки зрения	10	13
17	только в	4	13
18	в конце	1	12
19	а именно	3	12
20	сказать что	4	12
21	таким образом	1	11
22	потому что	1	11
23	никогда не	3	11
24	о том	6	11
25	едва ли	1	11
26	как раз	2	10
27	и его	5	10
28	ни в	3	10
29	и потому	2	10
30	тем не	3	10
31	прежде всего	4	10
32	в году	1	10
33	не есть	3	10
34	в себе	8	9
35	и с	4	9
36	не менее	3	9
37	что это	3	9
38	уже не	5	9
39	под названием	1	9
40	и то	1	9
41	для него	2	8
42	может быть	25	8
43	как мы	3	8
44	так же	2	8
45	в этой	5	8
46	он не	3	8
47	а также	7	8
48	а не	12	8
49	в своем	2	8
50	как и	7	7
51	там же	1	7
52	а в	11	7
53	в то	3	7
54	к тому	7	7
55	хотя и	3	7
56	того что	1	7
57	что и	1	7
58	несмотря на	2	7
59	что все	1	7
60	и как	5	7
61	и здесь	1	6
62	не будет	3	6
63	так и	9	6
64	в смысле	1	6
65	по себе	5	6
66	об этом	1	6
67	то в	6	6
68	если не	4	6
69	не мог	4	6
70	и даже	3	6
71	с точки	2	6
72	хотя бы	4	6
73	и от	1	6
74	да и	4	6
75	оно есть	1	6
76	и на	3	6
77	но это	1	6
78	все эти	2	5
79	для нас	1	5
80	для себя	1	5
81	отнюдь не	5	5
82	у нас	1	5
83	совсем не	1	5
84	дело в	1	5
85	отношения к	2	5
86	содержит в	1	5
87	тому же	5	5
88	ничего не	2	5
89	тем что	3	5
90	некоторого рода	2	5
91	или менее	2	5
92	более или	2	5
93	мы уже	1	5
94	тоже не	1	5
95	с другой	8	5
96	в ней	3	5
97	что он	6	5
98	можно было	2	5
99	в данном	5	5
100	не было	2	5
101	еще не	7	4
102	говорит о	2	4
103	и все	2	4
104	даже в	2	4
105	как это	6	4
106	все же	7	4
107	а с	3	4
108	но не	5	4
109	здесь в	1	4
110	не с	3	4
111	не имеет	2	4
112	мог бы	3	4
113	что если	1	4
114	такого рода	7	4
115	то же	4	4
116	однако и	1	4
117	в котором	1	4
118	от того	1	4
119	в результате	2	4
120	но в	6	4
121	если оно	1	4
122	по существу	2	4
123	было бы	4	4
124	точно так	2	4
125	указать на	1	4
126	в самом	1	4
127	церкви и	1	3
128	в связи	2	3
129	в качестве	21	3
130	бы то	3	3
131	здесь не	4	3
132	тех кто	1	3
133	при этом	9	3
134	и для	2	3
135	нельзя сказать	1	3
136	только о	2	3
137	к нему	5	3
138	в нем	4	3
139	не в	14	3
140	и вообще	1	3
141	не так	1	3
142	которое в	1	3
143	само по	1	3
144	же в	4	3
145	но все	4	3
146	независимо от	2	3
147	в виду	1	3
148	сводится к	3	3
149	и только	2	3
150	оно не	2	3
151	все то	2	3
152	этом смысле	1	3
153	то ни	3	3
154	ни с	1	3
155	в таком	2	3
156	на самом	1	3
157	процесс в	1	3
158	мы видели	1	3
159	что этот	1	3
160	отличие от	5	3
161	это не	2	3
162	в чем	1	3
163	не все	5	3
164	не столько	4	3
165	это было	1	3
166	мы имеем	2	3
167	если бы	1	3
168	даже не	3	3
169	отличается от	4	3
170	но о	3	3
171	одной стороны	7	3
172	и тем	4	3
173	же как	3	3
174	году в	1	3
175	именно в	6	3
176	с одной	7	3
177	в отличие	5	3
178	в россии	1	3
179	однако здесь	1	3
180	далеко не	5	3
181	собственно говоря	1	3
182	и у	1	3
183	уже в	3	3
184	перед нами	4	3
185	из этих	3	3
186	и эта	1	3
187	же самое	1	3
188	как бы	4	3
189	что каждый	1	2
190	в юности	2	2
191	что на	2	2
192	жизни а	2	2
193	и наконец	1	2
194	же время	4	2
195	данном случае	4	2
196	в другом	1	2
197	что несмотря	1	2
198	мы и	1	2
199	сам по	1	2
200	и сейчас	2	2
201	того же	1	2
202	от этого	1	2
203	здесь и	2	2
204	которая в	2	2
205	связи с	4	2
206	должна быть	2	2
207	а то	1	2
208	возможна только	1	2
209	другого для	1	2
210	истории в	3	2
211	в какой	2	2
212	тем самым	6	2
213	мы не	1	2
214	то и	1	2
215	только то	1	2
216	точке зрения	1	2
217	себя внимание	3	2
218	может показаться	1	2
219	в это	1	2
220	по его	1	2
221	его в	2	2
222	он сам	2	2
223	таком случае	2	2
224	по своей	3	2
225	же не	4	2
226	одной из	4	2
227	есть не	1	2
228	при всем	2	2
229	с этой	1	2
230	что касается	2	2
231	свидетельствует о	1	2
232	иметь в	1	2
233	в начале	1	2
234	в сущности	3	2
235	как не	1	2
236	он ни	1	2
237	в нашей	1	2
238	на себя	3	2
239	к своему	1	2
240	нам представляется	1	2
241	всей своей	2	2
242	и к	1	2
243	на него	3	2
244	он прошел	1	2
245	в целом	1	2
246	в мире	9	2
247	но как	2	2
248	к его	1	2
249	не на	2	2
250	в силу	4	2
251	но уже	1	2
252	то чему	1	2
253	но на	1	2
254	есть прежде	1	2
255	в книге	1	2
256	в церкви	4	2
257	является как	1	2
258	это же	1	2
259	и за	1	2
260	наряду с	2	2
261	мы будем	1	2
262	в их	1	2
263	а о	1	2
264	или иначе	3	2
265	не понимает	1	2
266	совершенно не	2	2
267	на первый	2	2
268	другой стороны	4	2
269	с таким	1	2
270	не существует	3	2
271	этом отношении	3	2
272	не могут	1	2
273	является для	1	2
274	она не	2	2
275	легко может	1	2
276	должен был	1	2
277	еще раз	1	2
278	роль в	2	2
279	нет ничего	1	2
280	не как	2	2
281	быть и	1	2
282	с его	6	2
283	ко второму	1	2
284	в настоящем	1	2
285	все и	1	2
286	то по	1	2
287	могло быть	1	2
288	обращает на	3	2
289	и всю	1	2
290	с такой	1	2
291	бытия и	1	2
292	не о	3	2
293	который в	2	2
294	которых он	1	2
295	так или	2	2
296	и такого	1	2
297	никогда и	1	2
298	не является	8	2
299	со стороны	9	2
300	из них	3	2
301	за границу	3	2
302	ни на	1	2
303	но еще	1	2
304	что мы	2	2
305	является в	1	2
306	и по	1	2
307	он уже	2	2
308	и более	1	2
309	как говорит	3	2
310	а если	2	2
311	той или	4	2
312	что по	2	1
313	есть субъективная	1	1
314	не такое	1	1
315	его от	1	1
316	отталкивается от	1	1
317	может не	3	1
318	с ее	3	1
319	ему не	1	1
320	в первую	1	1
321	может и	1	1
322	входя в	1	1
323	какой бы	1	1
324	это вообще	1	1
325	когда мы	2	1
326	была в	1	1
327	оно стремится	1	1
328	но она	1	1
329	существует сам	1	1
330	опоры на	1	1
331	исходя из	2	1
332	о ней	3	1
333	все те	4	1
334	возможны но	1	1
335	есть тоже	1	1
336	можно сказать	5	1
337	место в	1	1
338	а тут	1	1
339	но он	1	1
340	и оно	1	1
341	это то	1	1
342	в литературе	2	1
343	жизни и	3	1
344	в плане	1	1
345	что они	3	1
346	не простая	1	1
347	и определяет	1	1
348	вполне адекватно	1	1
349	этом последнем	1	1
350	в один	1	1
351	как таковое	1	1
352	к этим	1	1
353	и является	1	1
354	для всего	1	1
355	из многочисленных	2	1
356	личности в	2	1
357	это определение	1	1
358	лишь постольку	1	1
359	вот этот	1	1
360	ни слова	1	1
361	предполагает наличие	1	1
362	мира но	1	1
363	личный опыт	1	1
364	времени когда	1	1
365	известном смысле	2	1
