1	до сих пор	5	9
2	в том что	4	9
3	для того чтобы	1	6
4	о том что	3	4
5	с самого начала	2	4
6	к тому же	1	4
7	и т п	1	3
8	то же самое	3	3
9	тем не менее	6	3
10	вместе с тем	2	3
11	до тех пор	1	3
12	если бы он	1	3
13	о том как	1	3
14	с одной стороны	4	3
15	в связи с	3	3
16	по отношению к	3	3
17	то ни было	2	2
18	в этой связи	1	2
19	с другой стороны	5	2
20	то время как	3	2
21	в этом случае	1	2
22	в этом отношении	1	2
23	именно потому что	1	2
24	наряду с этим	1	2
25	что и в	1	2
26	в то время	3	2
27	но все же	3	2
28	обстоит дело с	2	2
29	бы то ни	2	2
30	не мешает ему	1	2
31	том что она	1	1
32	говоря уже о	1	1
33	друг с другом	3	1
34	и здесь не	1	1
35	в первом случае	1	1
36	и для нас	1	1
37	в которой мы	1	1
38	и в пределах	1	1
39	же самое что	2	1
40	он нисколько не	1	1
41	одной стороны и	1	1
42	ли не самым	1	1
43	после того как	1	1
44	со стороны его	1	1
45	между ними происходит	1	1
46	мотивов которые он	1	1
47	по этому поводу	2	1
48	что речь идет	1	1
49	но столь же	1	1
50	ни одной из	1	1
51	в том чтобы	1	1
52	но и здесь	1	1
53	едва ли не	1	1
54	в зависимости от	2	1
55	что происходит с	1	1
56	к тому что	1	1
57	точку зрения что	1	1
58	в отличие от	2	1
59	и т д	22	1
60	он отправляется в	1	1
61	знаем их в	1	1
62	равно как и	1	1
63	здесь мы видим	1	1
64	не говоря уже	1	1
65	и между ними	1	1
66	мы знаем их	2	1
67	за это время	1	1
68	более или менее	5	1
69	в соответствии с	1	1
70	если бы не	1	1
71	должен был быть	1	1
72	образом и здесь	1	1
73	и для этого	1	1
74	это не так	1	1
75	вопрос о том	2	1
76	на то что	4	1
77	таким образом и	1	1
78	и что их	1	1
79	он умер и	1	1
80	может быть только	1	1
81	и в этом	1	1
82	не менее и	1	1
83	подобно тому как	1	1
84	не было и	1	1
85	что он отправляется	1	1
86	за то что	1	1
