N	2gram	Propp_Morf_1	Literetu
1	не только	4	24
2	при этом	1	19
3	в качестве	5	17
4	но и	4	17
5	в том	6	16
6	а не	11	16
7	в частности	2	15
8	том что	4	14
9	тогда как	2	13
10	может быть	52	13
11	и не	12	12
12	в этом	14	12
13	состоит в	2	11
14	прежде всего	9	11
15	в русской	1	10
16	то что	8	10
17	в целом	3	8
18	не в	3	8
19	и в	13	8
20	только в	2	8
21	как это	3	8
22	как бы	3	7
23	в себе	1	7
24	не менее	5	7
25	в его	1	7
26	уже не	2	7
27	в рамках	1	6
28	как и	3	6
29	точки зрения	2	6
30	того что	3	6
31	связи с	10	6
32	себя в	1	6
33	одним из	1	5
34	то же	7	5
35	отличие от	1	5
36	как в	3	5
37	не столько	1	5
38	в то	3	5
39	а также	4	5
40	же в	2	5
41	что он	4	5
42	не может	14	5
43	в данном	1	5
44	с этой	1	5
45	с его	2	5
46	в своей	1	4
47	еще не	3	4
48	но не	4	4
49	в этой	2	4
50	все же	7	4
51	представляет собой	17	4
52	в силу	1	4
53	с собой	3	4
54	и его	1	4
55	ведет к	1	4
56	данном случае	1	4
57	так и	6	4
58	еще в	1	4
59	в формах	1	4
60	и тем	2	4
61	из них	3	4
62	друг друга	3	4
63	как раз	1	4
64	в связи	9	4
65	со стороны	3	4
66	это не	6	4
67	например в	2	3
68	тех же	4	3
69	и есть	2	3
70	также и	4	3
71	самого себя	2	3
72	что его	2	3
73	по отношению	4	3
74	более чем	1	3
75	бы не	1	3
76	таким образом	21	3
77	его в	2	3
78	далеко не	5	3
79	несмотря на	4	3
80	но в	2	3
81	дело в	1	3
82	одна из	4	3
83	в основе	1	3
84	в области	1	3
85	в виду	1	3
86	в пределах	3	3
87	приводит к	2	3
88	один из	5	3
89	потому что	3	3
90	одно из	1	3
91	у него	1	3
92	и даже	1	3
93	с другой	8	3
94	еще и	1	3
95	и др	10	3
96	что в	8	3
97	а в	7	3
98	во всяком	2	3
99	и то	1	2
100	самом деле	4	2
101	е годы	1	2
102	от самого	1	2
103	из его	2	2
104	должна быть	1	2
105	та же	2	2
106	в сущности	3	2
107	а для	1	2
108	то это	3	2
109	нет не	1	2
110	в е	1	2
111	и нет	1	2
112	следующим образом	3	2
113	этой цели	1	2
114	все эти	2	2
115	из этих	1	2
116	во многих	1	2
117	в нашей	1	2
118	подобно тому	6	2
119	на этом	3	2
120	здесь как	1	2
121	для нее	1	2
122	было бы	3	2
123	бы на	1	2
124	что такое	3	2
125	как все	1	2
126	всяком случае	2	2
127	с точки	2	2
128	в россии	2	2
129	тем не	5	2
130	однако в	2	2
131	даже в	1	2
132	вплоть до	1	2
133	дело не	2	2
134	как будто	2	2
135	этом отношении	1	2
136	могут быть	16	2
137	к тому	4	2
138	в поле	4	2
139	читателя в	1	2
140	ту же	2	2
141	имеется в	3	2
142	в другом	2	2
143	о том	2	2
144	с одной	1	2
145	обращается к	1	2
146	между тем	5	2
147	во втором	3	2
148	хотя бы	4	2
149	только на	1	2
150	что не	1	2
151	для него	1	2
152	а потому	1	2
153	от тех	1	2
154	тем что	4	2
155	одной стороны	1	2
156	этого не	2	2
157	из наиболее	1	2
158	не на	2	2
159	одну из	1	2
160	так называемых	2	2
161	все более	1	2
162	или нет?	1	2
163	тому как	5	2
164	можно было	2	2
165	это уже	3	2
166	не является	3	2
167	все они	1	2
168	не есть	1	2
169	отношению к	4	2
170	которая не	1	2
171	на самом	4	1
172	всего это	1	1
173	показать что	4	1
174	от исследователя	1	1
175	между двумя	1	1
176	свое место	1	1
177	можно лишь	1	1
178	и этот	1	1
179	ни были	1	1
180	и за	2	1
181	который в	2	1
182	лицо которое	3	1
183	значимости для	1	1
184	и подобные	1	1
185	по собственному	1	1
186	мы не	8	1
187	до него	1	1
188	как особого	2	1
189	вопрос о	7	1
190	есть нечто	3	1
191	ему в	1	1
192	которое в	1	1
193	отступление от	1	1
194	это время	1	1
195	он был	1	1
196	он сам	1	1
197	бы то	3	1
198	в различных	2	1
199	в чем	1	1
200	тем как	1	1
201	но как	2	1
202	было указано	1	1
203	ответ на	1	1
204	отношение к	1	1
205	основная задача	1	1
206	что они	2	1
207	он или	1	1
208	обнаруживается что	1	1
209	первый взгляд	3	1
210	в одной	1	1
211	не ощущается	1	1
212	для всех	1	1
213	о жизни	1	1
214	более и	1	1
215	предметы и	1	1
216	перед нами	10	1
217	в особый	1	1
218	мы можем	2	1
219	могли бы	1	1
220	как уже	2	1
221	и как	5	1
222	имеет в	1	1
223	как таковое	2	1
224	то в	3	1
225	в которой	3	1
226	как то	2	1
227	в нашем	3	1
228	если мы	5	1
229	право на	2	1
230	после чего	2	1
231	на то	2	1
232	его если	1	1
233	он не	3	1
234	свою собственную	1	1
235	в начале	3	1
236	прочим и	1	1
237	и вот	1	1
238	и более	1	1
239	чтобы в	1	1
240	постольку поскольку	1	1
241	и по	2	1
242	так например	3	1
243	или иных	1	1
244	не должно	1	1
245	но все	3	1
246	бы они	2	1
247	в каждом	1	1
248	то ни	3	1
249	а затем	4	1
250	а то	3	1
251	и с	1	1
252	бы быть	1	1
253	а по	3	1
254	материала и	1	1
255	большинстве случаев	3	1
256	это было	3	1
257	образом если	1	1
258	чаще всего	7	1
259	в итоге	2	1
260	из первых	2	1
261	в них	1	1
262	служит в	1	1
263	следует считаться	1	1
264	их как	2	1
265	мы имеем	9	1
266	с тем	2	1
267	не всегда	9	1
268	с такой	1	1
269	должно быть	1	1
270	и некоторые	1	1
271	такой же	1	1
272	в один	3	1
273	на первый	3	1
274	в этих	13	1
275	в г	1	1
276	простейший случай	1	1
277	этой связи	1	1
278	это делает	1	1
279	что от	1	1
280	не от	2	1
281	в которых	2	1
282	сама собой	1	1
283	для изучения	1	1
284	если бы	2	1
285	ни было	2	1
286	быть не	1	1
287	вовсе не	4	1
288	есть всегда	1	1
289	героем и	1	1
290	а от	1	1
291	нет необходимости	6	1
292	можно указать	1	1
293	она не	2	1
294	и начинает	1	1
295	он говорил	1	1
296	не имеет	2	1
297	самого начала	1	1
298	у кого	1	1
299	во время	6	1
300	и сама	1	1
301	на него	3	1
302	говорить о	3	1
303	из такой	1	1
304	есть путь	1	1
305	иметь в	1	1
306	это еще	1	1
307	это мы	1	1
308	на котором	3	1
309	а во	1	1
310	к концу	1	1
311	другой стороны	4	1
312	к исторической	1	1
313	тех или	1	1
314	для нас	2	1
315	в каком	2	1
316	с другом	1	1
317	перед ним	1	1
318	в момент	1	1
319	требуют от	1	1
320	и другим	3	1
321	и говорит	1	1
322	что при	2	1
323	ничего общего	1	1
324	на вопрос	2	1
325	как мы	6	1
326	подобных случаях	4	1
327	затруднительное положение	1	1
328	людей в	1	1
329	мысль о	1	1
330	с самого	1	1
331	вопрос что	2	1
332	как с	1	1
333	с известными	1	1
334	или в	4	1
335	собой в	2	1
336	мог бы	1	1
337	с этого	2	1
338	собой и	1	1
339	другой не	2	1
340	и здесь	5	1
341	и что	2	1
342	всех подобных	1	1
343	можно сказать	2	1
344	теми или	1	1
345	самому себе	1	1
346	к нему	3	1
347	во всех	4	1
348	том или	1	1
349	путь к	2	1
350	на одном	1	1
351	да в	1	1
352	во всей	1	1
353	что же	2	1
354	вслед за	5	1
355	целого а	1	1
356	из моментов	1	1
357	сверх того	1	1
358	дома в	2	1
359	как объект	1	1
360	герой в	1	1
361	быть названа	1	1
362	одной из	1	1
363	что даже	1	1
364	в какой	3	1
365	со всеми	1	1
366	с какой	1	1
367	но впоследствии	1	1
368	не можем	1	1
369	и у	1	1
370	в большинстве	3	1
371	наконец даже	1	1
372	мы получим	1	1
373	в виде	2	1
374	кажется что	1	1
375	от других	2	1
376	за ним	1	1
377	не так	1	1
378	в одном	1	1
379	никто не	3	1
380	так как	16	1
381	как такового	1	1
382	герой как	1	1
383	герой и	3	1
384	никем не	1	1
385	перейти к	2	1
386	представляют собой	11	1
387	к месту	2	1
388	из двух	2	1
389	что и	7	1
390	другого и	1	1
391	невозможно да	1	1
392	до сих	1	1
393	может и	1	1
394	сюда же	3	1
395	человека а	1	1
396	я был	1	1
397	а с	2	1
398	себя и	2	1
399	в некоторых	3	1
400	на основании	1	1
401	а на	3	1
402	не делает	1	1
403	а сам	1	1
404	стремится к	1	1
405	в рассказе	1	1
406	однако и	1	1
407	легко и	1	1
408	ниже в	2	1
409	или с	3	1
410	если не	1	1
411	для этой	3	1
412	они все	1	1
413	проходит через	1	1
414	между собою	2	1
415	в последней	1	1
416	к разработке	1	1
417	в особенности	1	1
418	формы не	1	1
419	в той	1	1
420	и на	1	1
421	пример в	1	1
422	одновременно с	1	1
423	на эту	1	1
424	является продолжением	1	1
425	эту мысль	1	1
426	мотив в	1	1
427	в первой	1	1
428	по существу	12	1
429	многих других	1	1
430	в состоянии	1	1
431	тех пор	1	1
432	в это	1	1
433	стремления к	1	1
434	с ее	1	1
435	как например	2	1
436	сих пор	1	1
437	только для	1	1
438	о его	1	1
439	между прочим	1	1
440	этом и	1	1
441	персонажей как	1	1
442	но для	2	1
443	уже было	1	1
444	см ниже	2	1
445	можно назвать	3	1
446	из ряда	3	1
447	из которых	3	1
448	совершается в	2	1
449	потому не	1	1
450	в отдельных	3	1
451	от него	1	1
452	и все	1	1
453	собственно говоря	1	1
454	предоставляется возможность	1	1
455	и однако	1	1
456	у которого	1	1
457	как явление	1	1
458	только что	2	1
459	или не	3	1
460	будет сказано	1	1
461	и вдруг	1	1
462	целый ряд	3	1
463	в ходе	4	1
464	между ними	1	1
465	не знает	1	1
466	сказать что	2	1
467	состоит из	1	1
468	совершенно не	1	1
469	из этого	1	1
470	бы во	1	1
471	но эти	1	1
472	к этой	1	1
473	он лишь	1	1
474	к этому	3	1
475	они не	1	1
