N	3gram	Losev_Prob_3	SlovoVZh
1	не может быть	5	7
2	можно сказать что	2	5
3	дело в том	3	4
4	в том что	9	4
5	тем не менее	10	3
6	бы то ни	4	3
7	может быть и	3	3
8	этой точки зрения	2	3
9	до сих пор	2	3
10	имеет в виду	1	3
11	бы мы ни	1	3
12	и не в	1	3
13	то ни было	3	3
14	в художественном произведении	1	3
15	и то же	4	2
16	на самом деле	2	2
17	с другой стороны	5	2
18	да и вообще	1	2
19	то же самое	7	2
20	с точки зрения	2	2
21	художественного произведения и	1	2
22	в ней как	1	2
23	но отнюдь не	1	2
24	одно и то	3	2
25	в данном случае	7	2
26	в настоящее время	2	2
27	формы и содержания	1	2
28	с одной стороны	1	2
29	тех или иных	4	1
30	том что всякий	1	1
31	это один и	1	1
32	со словами и	1	1
33	каких бы то	1	1
34	наметить хотя бы	1	1
35	но в ней	1	1
36	и в этом	6	1
37	в чем не	2	1
38	с большим трудом	1	1
39	на второй план	1	1
40	за пределы слова	1	1
41	все же не	1	1
42	произведения и его	1	1
43	и связи с	1	1
44	ровно ничего не	2	1
45	то время как	4	1
46	одним и тем	1	1
47	более или менее	1	1
48	друг к другу	1	1
49	во всяком случае	6	1
50	художественном произведении как	1	1
51	в самом деле	1	1
52	самом же деле	4	1
53	но если бы	1	1
54	по себе не	1	1
55	же как и	2	1
56	герой нашего времени	1	1
57	в то время	4	1
58	хотя бы только	1	1
59	только в результате	1	1
60	ни в чем	2	1
61	его значение и	1	1
62	равно как и	1	1
63	сам по себе	6	1
64	но сами по	1	1
65	сами по себе	6	1
66	то что мы	1	1
67	как на нечто	1	1
68	для нас и	1	1
69	во всех языках	1	1
70	сказать что и	1	1
71	но и в	2	1
72	на самом же	4	1
73	о том что	3	1
74	только то что	2	1
75	ничего общего с	2	1
76	не обходится без	1	1
77	но несмотря на	1	1
78	что не только	1	1
79	она как бы	1	1
80	имеет бесконечное количество	1	1
81	можно было бы	3	1
82	и та общность	1	1
83	уже не есть	3	1
84	или может быть	1	1
85	по себе в	1	1
86	при таком понимании	1	1
87	по крайней мере	5	1
88	в то же	4	1
89	бы даже и	1	1
90	отнюдь не является	2	1
91	в процессе живого	1	1
92	не есть только	1	1
93	и в частности	2	1
94	ясно что слово	1	1
95	в том и	1	1
96	сама по себе	8	1
97	так же как	1	1
98	в виду не	1	1
99	и в своем	1	1
100	для нас не	3	1
101	как и в	1	1
102	и тем же	1	1
103	сих пор мы	1	1
104	к тому же	1	1
105	едва ли кто-нибудь	1	1
106	к вопросу о	1	1
