1	так и в	2	3
2	и в частности	1	2
3	бросается в глаза	1	2
4	в отличие от	3	2
5	в том что	9	2
6	точно так же	3	2
7	и в самом	2	2
8	о том что	7	2
9	то что он	1	1
10	может быть в	1	1
11	как своего рода	1	1
12	вместе с ними	1	1
13	на вопрос о	1	1
14	бы и в	1	1
15	с самого начала	1	1
16	что в таком	1	1
17	смысле этого слова	2	1
18	и не быть	1	1
19	не могут быть	1	1
20	и то что	1	1
21	один из авторов	1	1
22	по сравнению с	1	1
23	что я вижу	1	1
24	в применении к	2	1
25	все это говорит	1	1
26	и т п	15	1
27	у него есть	1	1
28	в связи с	1	1
29	том что он	1	1
30	в чем же	1	1
31	и в этом	1	1
32	отнюдь не является	1	1
33	непременно должно быть	1	1
34	не только о	1	1
35	в одном из	2	1
36	во всяком случае	6	1
37	ни разу не	1	1
38	сильнее и сильнее	1	1
39	не может быть	8	1
40	она как будто	2	1
41	несмотря на все	1	1
42	вместо того чтобы	1	1
43	имеет в виду	2	1
44	тем не менее	2	1
45	отметить что в	1	1
46	в самом деле	7	1
47	ту же мысль	2	1
48	и вместе с	1	1
49	все сильнее и	1	1
50	в конце концов	3	1
51	в этом романе	1	1
52	как и в	4	1
53	только один раз	1	1
54	это и есть	1	1
55	не только не	3	1
56	что при таком	1	1
