N	3gram	Potebnia_M_2	Hudozhes
1	в отличие от	1	7
2	то же время	2	6
3	в то же	2	6
4	более или менее	8	5
5	с другой стороны	2	5
6	в том что	7	5
7	состоит в том	1	4
8	и того же	6	3
9	одно и то	2	3
10	одного и того	6	3
11	и то же	2	3
12	тем не менее	5	3
13	в этом смысле	2	3
14	в таком случае	2	2
15	с одной стороны	3	2
16	в свою очередь	6	2
17	внутренней и внешней	1	2
18	для того чтобы	2	2
19	сама по себе	2	2
20	не в состоянии	4	1
21	бы ни был	1	1
22	того времени когда	1	1
23	в себе никаких	1	1
24	нами не как	1	1
25	а не с	2	1
26	друг другу и	1	1
27	это было бы	1	1
28	подобно тому как	4	1
29	в этом случае	1	1
30	и для него	1	1
31	форма в которой	1	1
32	том случае если	1	1
33	в таких случаях	1	1
34	при этом что	1	1
35	бы то ни	1	1
36	в каждом человеке	1	1
37	из того что	1	1
38	состоит не в	2	1
39	заключает в себе	4	1
40	могли бы быть	1	1
41	потому что из	1	1
42	отчет в том	1	1
43	с этой точки	1	1
44	по крайней мере	5	1
45	в том случае	1	1
46	в себе никакого	1	1
47	тогда как в	2	1
48	но в таком	1	1
49	в одном и	1	1
50	себе отчет в	1	1
51	то ни было	1	1
52	и свою собственную	1	1
53	и том же	1	1
54	в той мере	1	1
55	во втором случае	1	1
56	не могут быть	3	1
57	все же оно	1	1
58	и как бы	1	1
59	в его сознании	1	1
60	в сравнении с	2	1
61	в связи с	1	1
62	как более или	1	1
63	может быть названо	2	1
64	в чем состоит	2	1
65	в то время	4	1
66	она могла бы	1	1
67	а в том	1	1
68	в душе хотя	1	1
69	но на деле	2	1
70	обратим внимание на	1	1
71	в одном случае	1	1
72	при этом и	1	1
73	о том что	1	1
74	то есть в	1	1
75	и тем самым	1	1
76	и в самом	1	1
77	собственно говоря и	1	1
78	и в слове	1	1
79	мере в какой	1	1
80	может и не	1	1
81	друг от друга	1	1
82	внутреннее и внешнее	1	1
83	той мере в	1	1
84	одном и том	1	1
85	то что они	1	1
86	в себе в	1	1
87	том что он	1	1
88	не может быть	2	1
89	как и в	1	1
90	в том в	1	1
