N	2gram	Bakhtin_Pr_2	Retstnzi
1	не может	24	4
2	и в	45	3
3	в центре	1	2
4	достоевского и	2	2
5	один из	2	2
6	на нее	1	1
7	то же	5	1
8	с другими	7	1
9	не из	1	1
10	в ней	7	1
11	и истории	1	1
12	превращается у	1	1
13	может быть	18	1
14	персонажей и	1	1
15	в выборе	1	1
16	из этих	1	1
17	и не	42	1
18	в его	22	1
19	себе все	1	1
20	от контекста	1	1
21	подхода к	1	1
22	он в	1	1
23	связи с	1	1
24	конечно и	2	1
25	лежащие в	1	1
26	не только	16	1
27	с точки	9	1
28	в каждом	4	1
29	не менее	2	1
30	для него	9	1
31	ни один	3	1
32	если бы	2	1
33	тому что	1	1
34	из контекста	1	1
35	лучше всего	1	1
36	нет и	3	1
37	можно и	1	1
38	к тому	1	1
39	в особенности	2	1
40	несмотря на	1	1
41	и все	1	1
42	в то	5	1
43	в конкретном	1	1
44	вещей и	1	1
45	бы в	5	1
46	художественного произведения	1	1
47	но и	15	1
48	вполне понятно	1	1
49	точки зрения	19	1
50	влияния на	1	1
51	и на	7	1
52	мы видим	2	1
53	и должно	1	1
54	же время	3	1
55	по своим	2	1
56	а не	10	1
