N	2gram	Bakhtin_sl_2	Myslijsy
1	то есть	26	42
2	и в	39	39
3	в языке	2	33
4	может быть	37	27
5	в том	5	26
6	только в	5	25
7	не может	20	22
8	что в	3	22
9	не только	24	21
10	так как	4	21
11	а не	14	21
12	в нем	19	20
13	но и	21	20
14	и не	22	18
15	языка и	9	17
16	что язык	2	16
17	том что	5	16
18	в этом	16	15
19	не в	9	15
20	по отношению	4	13
21	в себе	2	13
22	таким образом	8	13
23	так и	15	13
24	отношению к	4	13
25	и язык	4	11
26	мы не	2	10
27	как в	13	10
28	по себе	5	10
29	и что	1	10
30	то что	2	10
31	что не	1	10
32	речи и	3	10
33	но в	6	9
34	как и	6	9
35	тогда когда	2	9
36	могут быть	7	9
37	для нас	5	9
38	мысли и	1	9
39	тем что	1	9
40	но не	6	8
41	в слове	6	8
42	точки зрения	8	8
43	язык в	6	8
44	в одном	2	8
45	того что	1	8
46	вместе с	2	8
47	язык как	3	7
48	в ней	3	7
49	в истории	11	7
50	с этим	2	7
51	мысли то	1	7
52	это не	5	7
53	в этих	7	7
54	в нас	1	7
55	себе представить	1	7
56	с другой	5	7
57	должно быть	1	7
58	и т	35	6
59	языка с	2	6
60	то же	4	6
61	независимо от	2	6
62	все же	6	6
63	и как	3	6
64	при этом	7	6
65	и по	1	6
66	не менее	4	6
67	того как	2	6
68	тем не	1	6
69	языка в	6	6
70	что и	3	6
71	еще не	7	6
72	как бы	7	6
73	во всех	12	5
74	несмотря на	1	5
75	возможно только	1	5
76	и его	33	5
77	что при	1	5
78	если же	1	5
79	язык и	7	5
80	между тем	3	5
81	в его	7	5
82	для всех	4	5
83	языка как	7	5
84	вовсе не	10	5
85	друг друга	1	5
86	души и	1	5
87	зависит от	1	5
88	языка не	4	5
89	и потому	7	5
90	быть только	1	5
91	но это	3	5
92	и для	5	5
93	из себя	3	5
94	язык не	4	5
95	а в	4	5
96	другой стороны	1	5
97	в таком	4	5
98	все остальные	1	4
99	увидим что	1	4
100	т д	2	4
101	в каждом	1	4
102	мы видели	2	4
103	и языка	4	4
104	т п	33	4
105	однако в	2	4
106	бы быть	1	4
107	в то	4	4
108	никогда не	7	4
109	же время	4	4
110	и притом	1	4
111	во всем	4	4
112	не могут	5	4
113	смысле в	1	4
114	свою очередь	2	4
115	слов и	3	4
116	с нею	1	4
117	и других	4	4
118	для него	7	4
119	в более	2	4
120	не было	2	4
121	и даже	7	4
122	к духу	1	4
123	прежде всего	8	4
124	притом не	1	4
125	там где	6	4
126	слова и	8	4
127	в смысле	4	4
128	и воля	2	4
129	от него	5	4
130	в свою	3	4
131	языка то	3	4
132	в своих	1	4
133	того же	1	3
134	должна быть	3	3
135	вопрос об	1	3
136	тем как	1	3
137	сама по	3	3
138	что как	1	3
139	в своем	6	3
140	хотя и	2	3
141	в самом	1	3
142	что слово	1	3
143	он не	2	3
144	прежде чем	1	3
145	в мире	1	3
146	той же	3	3
147	и с	9	3
148	а его	1	3
149	и тем	1	3
150	в них	6	3
151	в этой	1	3
152	и при	2	3
153	в своей	1	3
154	и без	1	3
155	с точки	3	3
156	она не	6	3
157	для того	2	3
158	самого начала	1	3
159	на него	2	3
160	словом но	1	3
161	в сознании	1	3
162	оно не	8	3
163	и это	1	3
164	с самого	1	3
165	с ним	7	3
166	в создании	1	3
167	о предмете	1	3
168	мы увидим	2	3
169	но как	2	3
170	с одной	5	3
171	из которого	1	3
172	языка а	5	3
173	только на	1	3
174	или даже	3	3
175	языка но	4	3
176	одно из	1	3
177	и их	5	3
178	представить себе	1	3
179	эти явления	1	3
180	с другим	1	3
181	связи с	3	3
182	все более	1	3
183	но оно	2	3
184	со словом	5	3
185	одной стороны	5	3
186	из самого	1	3
187	только для	1	3
188	и от	3	3
189	она может	2	3
190	развития и	1	3
191	и все	5	3
192	сказать что	3	3
193	во всяком	3	3
194	этого в	1	2
195	в применении	1	2
196	и обособление	1	2
197	одним из	2	2
198	словом и	8	2
199	и есть	1	2
200	во-первых в	1	2
201	а как	1	2
202	языков как	1	2
203	есть не	1	2
204	в сущности	6	2
205	становится объектом	2	2
206	проявляется в	1	2
207	то мы	1	2
208	одним словом	2	2
209	то он	1	2
210	слов не	1	2
211	значение и	1	2
212	не все	2	2
213	за пределы	2	2
214	более и	1	2
215	и слова	5	2
216	сознания в	1	2
217	могли бы	1	2
218	в целом	1	2
219	бы только	2	2
220	на то	1	2
221	но на	1	2
222	с первыми	1	2
223	так сказать	6	2
224	мы можем	1	2
225	и более	2	2
226	из него	2	2
227	словом или	1	2
228	но все	5	2
229	значительной степени	6	2
230	на все	1	2
231	то все	1	2
232	мог бы	1	2
233	истории языка	1	2
234	но уже	1	2
235	о которых	1	2
236	чем в	2	2
237	в один	1	2
238	одного и	1	2
239	язык но	3	2
240	нет языка	1	2
241	в их	2	2
242	утверждения что	1	2
243	слова в	13	2
244	но он	2	2
245	без него	1	2
246	к языку	1	2
247	от нас	2	2
248	эти формы	4	2
249	дело в	2	2
250	к новым	1	2
251	на себе	1	2
252	того чтобы	2	2
253	только не	1	2
254	следовательно и	1	2
255	к ней	2	2
256	ее с	1	2
257	все то	1	2
258	самостоятельности и	1	2
259	нем есть	1	2
260	и самое	1	2
261	как мы	7	2
262	то она	1	2
263	с ее	2	2
264	в собственном	3	2
