N	2gram	Berdyaev_V_1	Freidism
1	и не	20	23
2	прежде всего	2	18
3	в его	4	15
4	в этом	4	15
5	может быть	1	13
6	все эти	3	11
7	как и	4	11
8	то что	9	11
9	как бы	5	11
10	как мы	1	10
11	так и	4	10
12	с ним	2	10
13	и потому	7	10
14	но в	3	10
15	во всех	3	9
16	и в	16	9
17	с его	3	9
18	еще не	8	8
19	и все	4	8
20	в своей	3	8
21	влечение к	1	8
22	то же	1	8
23	все это	5	8
24	только в	2	8
25	не только	2	8
26	так как	9	8
27	все что	4	8
28	что он	4	8
29	во всяком	2	7
30	к нему	1	7
31	отношение к	1	7
32	тот же	3	7
33	один из	2	7
34	в самом	1	7
35	ни в	3	7
36	и с	1	6
37	вовсе не	1	6
38	хотя бы	3	6
39	для него	2	6
40	в ней	4	6
41	того что	5	6
42	никогда не	3	6
43	и ее	1	6
44	связь с	1	5
45	в этой	1	5
46	что в	3	5
47	не в	3	5
48	но мы	2	5
49	а в	2	5
50	в себя	2	5
51	но и	5	5
52	могут быть	2	5
53	в чем	3	5
54	для того	1	5
55	и на	1	5
56	в которой	1	4
57	все же	1	4
58	говорить о	4	4
59	и для	3	4
60	не было	3	4
61	в жизни	3	4
62	в нем	4	4
63	мы не	2	4
64	того чтобы	2	4
65	потому что	4	4
66	но не	2	4
67	это только	1	4
68	в этих	3	4
69	то ни	1	4
70	зависимости от	1	4
71	конечно не	2	4
72	в последнем	2	4
73	и за	2	4
74	уже не	2	4
75	с ними	1	4
76	в котором	4	4
77	в мир	1	4
78	себя и	1	4
79	к тому	3	4
80	на этом	1	4
81	я не	1	4
82	и вот	1	3
83	бы то	1	3
84	вражда к	1	3
85	вместе с	1	3
86	в сознании	1	3
87	это как	1	3
88	человек на	1	3
89	нет никакого	1	3
90	в искусстве	1	3
91	конечно в	1	3
92	о которой	1	3
93	как в	1	3
94	ее в	2	3
95	человека и	6	3
96	жизни и	3	3
97	он был	1	3
98	что все	4	3
99	в них	3	3
100	одна из	2	3
101	у него	1	3
102	не могут	2	3
103	и что	3	3
104	она не	1	3
105	тому что	3	3
106	человека к	1	3
107	на него	1	3
108	и есть	4	3
109	и по	1	3
110	на себя	5	3
111	и внешней	1	3
112	и от	1	3
113	но это	3	3
114	в я	1	2
115	они и	2	2
116	что бы	1	2
117	самого себя	2	2
118	для нас	2	2
119	конце концов	1	2
120	от этого	3	2
121	так же	1	2
122	из всего	1	2
123	для себя	1	2
124	и современная	1	2
125	себя с	1	2
126	и теперь	2	2
127	и вообще	1	2
128	его и	2	2
129	что это	1	2
130	и другие	1	2
131	в конце	3	2
132	как это	1	2
133	в их	1	2
134	а потому	1	2
135	ко всякому	1	2
136	всех людей	3	2
137	но все	1	2
138	и самое	1	2
139	ничем не	1	2
140	в ее	1	2
141	человека как	2	2
142	скрыть от	1	2
143	как не	3	2
144	но как	1	2
145	в стихии	2	2
146	они не	1	2
147	от этих	2	2
148	в силах	4	2
149	освободиться от	1	2
150	в первый	3	2
151	в прошлом	2	2
152	с которыми	1	2
153	да и	2	2
154	оно не	3	2
155	а с	2	2
156	не существует	1	2
157	же что	1	2
158	что и	3	2
159	мы видим	1	2
160	и смерти	1	2
161	в процессе	1	2
162	это желание	1	2
163	роль в	1	2
164	их в	3	2
165	в своих	1	2
166	тому кто	1	2
167	есть и	1	2
168	и до	1	2
169	это не	2	2
170	а не	7	2
171	них и	1	2
172	к этому	1	2
173	с другой	1	2
174	и они	3	2
175	и то	2	2
176	и уже	1	2
177	что оно	1	2
178	уже в	1	2
179	себе и	1	2
180	в виду	1	2
181	человека в	1	2
182	что мы	4	2
183	в своем	1	2
184	том что	2	2
185	жизни но	1	2
186	любовь к	3	1
187	действии и	1	1
188	может и	1	1
189	по сравнению	1	1
190	но она	1	1
191	сравнению с	1	1
192	мы слышим	2	1
193	бы в	1	1
194	человеком как	1	1
195	вопрос о	1	1
196	это все	2	1
197	это мы	2	1
198	и ведет	1	1
199	по смыслу	1	1
200	в противоположность	1	1
201	часто он	1	1
202	бы сделать	1	1
203	не всегда	1	1
204	в двух	1	1
205	его с	1	1
206	которого они	1	1
207	что они	7	1
208	жизни с	1	1
209	природной необходимости	1	1
210	ней дана	1	1
211	т д	2	1
212	о своем	1	1
213	не был	1	1
214	не к	2	1
215	которая в	1	1
216	для них	2	1
217	крайней мере	1	1
218	это символ	1	1
219	жизни от	1	1
220	их для	1	1
221	все тот	2	1
222	во что	1	1
223	только себя	1	1
224	отказаться от	1	1
225	в виде	1	1
226	и которые	1	1
227	к ее	1	1
228	не по	1	1
229	презрения к	1	1
230	на два	1	1
231	они будут	4	1
232	любви в	1	1
233	и так	1	1
234	человеческой души	1	1
235	и во	2	1
236	далее и	1	1
237	но теперь	2	1
238	уже на	2	1
239	о возможности	1	1
240	свое дело	1	1
241	гораздо шире	1	1
242	бы ни	1	1
243	бы и	3	1
244	жизнь в	1	1
245	в одном	1	1
246	это тот	1	1
247	религии и	1	1
248	на которых	1	1
249	который он	1	1
250	меня в	1	1
251	его к	2	1
252	за то	3	1
253	превращается в	3	1
254	ней мы	1	1
255	что человек	1	1
256	цель ее	1	1
257	теперь его	1	1
258	то есть	1	1
259	и т	2	1
260	было еще	2	1
261	в том	3	1
262	не так	2	1
263	у них	1	1
264	не имеют	1	1
265	мира с	1	1
266	и начало	1	1
267	не с	2	1
268	не хотим	1	1
269	мы и	2	1
270	материалом для	2	1
271	только несколько	1	1
272	человек был	1	1
273	единого в	1	1
274	переход к	1	1
275	то и	1	1
276	в целом	1	1
277	достоинства и	1	1
278	любви к	1	1
279	были в	1	1
280	что на	1	1
281	теперь еще	1	1
282	что было	2	1
283	в высшую	1	1
284	и чем	1	1
285	я в	1	1
286	мы указывали	1	1
287	природы и	1	1
288	во всем	1	1
289	вот в	1	1
290	у самого	1	1
291	находится в	1	1
292	весь мир	1	1
293	основана на	1	1
294	мы в	1	1
295	в истории	8	1
296	ничего не	1	1
297	нет и	2	1
298	можно ли	1	1
299	и быть	1	1
300	художественный образ	1	1
301	тем что	2	1
302	всего что	1	1
303	их и	1	1
304	то это	3	1
305	утверждают что	1	1
306	в форме	2	1
307	так ли	1	1
308	наших дней	1	1
309	и тем	1	1
310	но прежде	1	1
311	этого слова	1	1
312	по крайней	1	1
313	будто бы	1	1
314	ни стало	1	1
315	значение в	1	1
