N	3gram	Vinokur_St_2	TeoriaLi
1	по отношению к	1	8
2	в отличие от	2	7
3	в том что	16	6
4	то же время	1	6
5	в то же	1	6
6	в данном случае	1	5
7	более или менее	2	4
8	с другой стороны	3	3
9	тем не менее	2	3
10	в свою очередь	1	3
11	в этом смысле	1	3
12	в сочетании с	2	2
13	с точки зрения	2	2
14	но он не	1	2
15	не могло быть	1	2
16	и то же	1	2
17	так или иначе	1	2
18	одно и то	1	2
19	не только не	2	2
20	том что в	2	1
21	а между тем	1	1
22	на себя внимание	2	1
23	дело в том	4	1
24	в настоящее время	1	1
25	в том числе	1	1
26	в этом случае	1	1
27	в одной из	2	1
28	что он не	4	1
29	бы то ни	2	1
30	с которыми он	1	1
31	говорит что он	1	1
32	точно так же	1	1
33	и др в	1	1
34	именно в этом	1	1
35	как раз в	2	1
36	в значительной степени	2	1
37	обращает на себя	3	1
38	то ни было	2	1
39	в отношении к	1	1
40	принадлежат к числу	1	1
41	в известном смысле	1	1
42	по большей части	1	1
43	своем отношении к	1	1
44	не может сомневаться	1	1
45	не только к	1	1
46	в связи с	1	1
47	в первую очередь	1	1
48	так же как	3	1
49	вследствие того что	1	1
50	на вопрос о	1	1
51	относится не только	1	1
52	в то время	1	1
53	имея в виду	1	1
54	при этом и	1	1
55	прежде всего к	1	1
56	о том что	11	1
57	в том-то и	1	1
58	между тем в	1	1
59	в статье о	1	1
60	мере в какой	2	1
61	к одному из	1	1
62	той мере в	2	1
63	в той мере	2	1
64	дело не в	1	1
65	для того чтобы	5	1
66	том что он	5	1
67	к тому же	2	1
68	он не только	1	1
