1	по отношению к	7	13
2	в том что	7	13
3	не может быть	1	9
4	тем не менее	2	6
5	с другой стороны	5	5
6	в этом смысле	1	4
7	само по себе	1	4
8	не в том	1	4
9	в свою очередь	4	4
10	не только в	1	3
11	так и в	1	3
12	и как бы	1	3
13	с точки зрения	2	3
14	сама по себе	2	3
15	и той же	2	3
16	а между тем	1	3
17	одной и той	2	3
18	в то же	3	3
19	с одной стороны	2	3
20	то же время	3	3
21	что и в	1	3
22	а в том	2	3
23	подобно тому как	2	3
24	но с другой	1	2
25	должно бы быть	1	2
26	дело в том	2	2
27	том что по	2	2
28	что иное как	1	2
29	не нуждается в	1	2
30	в сравнении с	2	2
31	не могут быть	1	2
32	но дело в	1	2
33	и может быть	1	2
34	в применении к	1	2
35	не что иное	1	2
36	друг от друга	1	2
37	одного и того	3	2
38	для того чтобы	1	2
39	и того же	3	2
40	в таком случае	1	2
41	по крайней мере	4	2
42	как и в	4	2
43	на этот вопрос	1	2
44	как бы ни	1	2
45	не только не	3	2
46	с тех пор	1	1
47	таким же образом	1	1
48	говоря уже о	1	1
49	мы будем иметь	1	1
50	что каждая из	1	1
51	по себе а	1	1
52	и в этой	1	1
53	было бы ошибочно	1	1
54	как если бы	1	1
55	не только к	2	1
56	между тем как	1	1
57	и по поводу	1	1
58	в связи с	1	1
59	лицом к лицу	1	1
60	до сих пор	1	1
61	к лицу с	1	1
62	и в слове	1	1
63	лишь в том	1	1
64	том что при	1	1
65	в эту минуту	1	1
66	во всяком случае	2	1
67	в этом отношении	3	1
68	не говоря уже	1	1
69	рода но и	1	1
70	обратить внимание на	1	1
71	и даже отчасти	1	1
72	мысли и чувства	1	1
73	со стороны его	1	1
74	было бы сказать	1	1
75	всяком случае не	1	1
76	в ответ на	2	1
77	себе еще не	1	1
78	в каждом из	1	1
79	с тем же	1	1
80	в каждом отдельном	1	1
81	но едва ли	1	1
82	в одном из	1	1
83	на самом деле	1	1
84	с этой стороны	1	1
85	между тем в	1	1
86	вопрос о том	1	1
87	каждом из этих	1	1
88	слова были бы	1	1
89	таким образом в	1	1
90	в первом случае	1	1
91	что несмотря на	2	1
92	о том что	5	1
93	в произведении искусства	1	1
94	сам по себе	1	1
95	в начале жизни	1	1
96	и все же	1	1
97	тогда как между	1	1
98	по себе еще	1	1
99	заключается в том	1	1
100	легко может быть	1	1
