N	3gram	Nazirov_Tr_1	Hudozhes
1	в отличие от	2	7
2	то же время	5	6
3	в то же	5	6
4	в том что	2	5
5	тем не менее	1	3
6	в этом мире	1	2
7	к тому что	1	2
8	добро и зло	1	1
9	друг перед другом	1	1
10	в виду не	1	1
11	ивана карамазова в	1	1
12	в этом случае	1	1
13	у достоевского в	1	1
14	позиции в мире	1	1
15	преступлении и наказании	2	1
16	что он не	1	1
17	точно так же	2	1
18	говорит о его	1	1
19	и не быть	1	1
20	в этом состоит	1	1
21	не могут быть	1	1
22	и как бы	2	1
23	и пусть пусть	1	1
24	в связи с	1	1
25	не только к	1	1
26	черт ивана карамазова	1	1
27	это и есть	1	1
28	в преступлении и	2	1
29	о том что	2	1
30	и в самом	2	1
31	том что он	1	1
32	не может быть	1	1
33	как и в	1	1
