N	3gram	Medvedev_V_1	Analitik
1	в том что	5	7
2	по отношению к	7	7
3	с другой стороны	8	5
4	о том что	3	5
5	мы имеем дело	1	4
6	по крайней мере	2	4
7	в свою очередь	1	4
8	в данном случае	1	3
9	то же время	5	3
10	не только не	2	3
11	а всего лишь	3	3
12	той или иной	1	3
13	в то же	5	3
14	к тому же	1	3
15	в этом отношении	13	3
16	подобно тому как	2	2
17	тот или иной	1	2
18	с одной стороны	2	2
19	сама по себе	1	2
20	во всяком случае	1	2
21	а в том	1	2
22	в конечном счете	5	2
23	можно сказать что	4	2
24	совершенно очевидно что	1	2
25	если бы он	1	1
26	имеются все основания	1	1
27	и может быть	1	1
28	а между тем	1	1
29	хотя и не	1	1
30	во сне из	1	1
31	с ними в	1	1
32	в той или	1	1
33	вступает с ними	1	1
34	к этому же	1	1
35	а потому и	1	1
36	не говоря уже	1	1
37	одной из этих	1	1
38	в самом деле	1	1
39	в этом смысле	1	1
40	как если бы	1	1
41	до сих пор	1	1
42	говоря уже о	1	1
43	в таком случае	1	1
44	в зависимости от	5	1
45	хотя бы и	5	1
46	что он не	1	1
47	таким образом в	2	1
48	во сне не	2	1
49	этому же типу	1	1
50	на этот вопрос	1	1
51	определяющую роль в	1	1
52	со всех сторон	1	1
53	именно в этом	1	1
54	эти пока еще	1	1
55	ту или иную	1	1
56	том что мы	1	1
57	в том чтобы	2	1
58	художественного целого или	1	1
59	не только в	2	1
60	быть определена как	1	1
61	в применении к	1	1
62	в результате чего	2	1
63	не могут быть	1	1
64	имеем дело с	1	1
65	так или иначе	1	1
66	не в том	2	1
67	уже по одному	2	1
68	в связи с	3	1
69	читателя зрителя слушателя	1	1
70	лицом к лицу	1	1
71	для того чтобы	3	1
72	того или иного	1	1
73	не может быть	8	1
74	но с другой	1	1
75	в этом же	1	1
76	в одном из	3	1
77	вопрос о том	1	1
78	в статье о	1	1
79	между тем это	1	1
80	в каждом отдельном	2	1
81	дело не в	1	1
82	может быть определена	1	1
83	не ограничивается простым	1	1
