N	3gram	Tiupa_Hudo_1	VeschiIm
1	не может быть	3	18
2	бы то ни	1	9
3	то ни было	1	9
4	не что иное	1	8
5	что иное как	1	8
6	в том что	7	6
7	по крайней мере	1	6
8	и то же	3	5
9	есть не что	1	5
10	содержит в себе	1	5
11	тем не менее	3	5
12	в свою очередь	2	5
13	одно и то	3	5
14	в то же	5	4
15	то же время	5	4
16	с точки зрения	3	4
17	подобно тому как	1	3
18	и в то	1	3
19	из того что	1	3
20	вбирает в себя	1	3
21	более или менее	5	3
22	только то что	1	3
23	сама по себе	2	3
24	есть как бы	1	3
25	можно говорить о	1	2
26	заключается в том	1	2
27	так или иначе	3	2
28	можно сказать что	3	2
29	с самим собою	1	2
30	к тому что	2	2
31	этой точки зрения	1	2
32	в основе своей	1	2
33	она могла бы	1	2
34	вещи но и	1	2
35	в себя смысл	1	2
36	с этой точки	1	2
37	не только к	1	2
38	о том что	1	1
39	а в том	1	1
40	себя и что	1	1
41	это и есть	1	1
42	а не сама	1	1
43	превращая его в	1	1
44	таким образом что	1	1
45	в этом смысле	3	1
46	так же как	1	1
47	о том о	1	1
48	и потому что	1	1
49	в самом начале	1	1
50	с одной стороны	2	1
51	имя как раз	1	1
52	в одном и	1	1
53	к другому человеку	1	1
54	слова в отличие	1	1
55	бы вбирает в	1	1
56	том о чем	1	1
57	именно потому что	1	1
58	в этом случае	1	1
59	для себя и	1	1
60	самим собою в	1	1
61	еще и потому	1	1
62	тех или иных	2	1
63	с другой стороны	5	1
64	может быть и	2	1
65	чего бы то	1	1
66	того же типа	1	1
67	в себе в	1	1
68	вещей но в	1	1
69	предстают перед нами	1	1
70	только о том	1	1
71	и прежде всего	1	1
72	и того же	2	1
73	что он не	1	1
74	внутренней и внешней	2	1
75	как бы вбирает	1	1
76	в то время	1	1
77	человек имеет дело	1	1
78	ту же самую	1	1
79	одного и того	2	1
80	строго говоря и	1	1
81	относится не только	1	1
82	в самом общем	1	1
83	тот или иной	2	1
84	я в свою	1	1
85	в себе никаких	1	1
86	личности а не	1	1
87	объединяет их в	1	1
88	для того чтобы	2	1
89	том что он	1	1
90	один из видов	1	1
91	таким образом и	1	1
92	в отношении к	1	1
93	это было бы	1	1
94	во втором случае	1	1
95	как раз в	1	1
