N	4gram	Tiupa_Hudo_1	Myshleni
1	заключается в том что	1	13
2	одно и то же	3	6
3	одного и того же	2	5
4	с этой точки зрения	1	4
5	состоит в том что	4	3
6	в том числе и	1	2
7	с логической точки зрения	1	2
8	бы они ни были	1	1
9	в русском языке обозначают	1	1
10	одном и том же	1	1
11	не содержит в себе	1	1
12	мы имеем дело с	1	1
13	точно так же как	1	1
14	бы то ни было	1	1
15	даже в том случае	1	1
16	едва ли не первым	1	1
17	и те и другие	1	1
18	в том случае если	1	1
19	а с другой стороны	1	1
20	в том что он	1	1
21	оно состоит в том	1	1
22	не что иное как	1	1
23	с точки зрения логики	1	1
24	в том отношении что	1	1
