N	3gram	Tiupa_Narr_1	Psycholo
1	в том что	8	9
2	не может быть	5	8
3	в самом деле	1	7
4	в том чтобы	1	7
5	о том что	6	7
6	само по себе	1	5
7	этой точки зрения	2	5
8	подобно тому как	2	5
9	с другой стороны	4	5
10	с одной стороны	7	5
11	с этой точки	1	4
12	так же как	2	4
13	как и в	1	4
14	не в состоянии	1	3
15	что в этом	1	3
16	до сих пор	1	3
17	в отличие от	5	3
18	к тому чтобы	1	3
19	точно так же	2	3
20	в конечном счете	2	3
21	все то что	1	3
22	состоит в том	3	2
23	может быть сведена	1	2
24	более или менее	2	2
25	в этом смысле	1	2
26	то же самое	1	2
27	то есть к	1	2
28	с точки зрения	2	2
29	в таком случае	2	2
30	в этом отношении	3	2
31	то или иное	2	2
32	тех или иных	1	2
33	быть сведена к	1	2
34	по себе не	1	2
35	так и в	1	2
36	то есть в	2	2
37	совершенно очевидно что	1	2
38	на самом деле	1	2
39	тем не менее	3	2
40	по себе а	1	2
41	и того же	1	1
42	не может не	2	1
43	в основе своей	4	1
44	и столь же	1	1
45	мы имеем дело	2	1
46	дело в том	1	1
47	самой по себе	1	1
48	не только о	2	1
49	и в особенности	1	1
50	может показаться что	1	1
51	есть прежде всего	1	1
52	в том числе	6	1
53	том что он	1	1
54	в том же	1	1
55	же как и	1	1
56	он не может	1	1
57	как своего рода	1	1
58	точку зрения на	1	1
59	имеет место только	1	1
60	мы не имеем	1	1
61	сами по себе	2	1
62	в различные эпохи	1	1
63	независимо от того	1	1
64	в той мере	1	1
65	том или ином	2	1
66	во всей его	1	1
67	может быть только	1	1
68	не то что	2	1
69	и то что	1	1
70	ту или иную	2	1
71	речь идет не	1	1
72	но в таком	1	1
73	приходит к очень	1	1
74	все равно что	1	1
75	в первом случае	2	1
76	не только в	2	1
77	и не быть	1	1
78	в себя и	2	1
79	в известном смысле	2	1
80	и не было	1	1
81	подход к изучению	1	1
82	которая может быть	1	1
83	в том или	2	1
84	в связи с	2	1
85	то что он	1	1
86	мере в какой	1	1
87	речь идет о	2	1
88	принципиальное различие между	1	1
89	один и тот	1	1
90	что они хотят	1	1
91	и над ними	1	1
92	только то что	1	1
93	идет не только	1	1
94	что оно есть	1	1
95	в свою очередь	3	1
96	вместить в себя	1	1
97	в обеих областях	1	1
98	существенную роль в	1	1
99	том что по	1	1
100	что иное как	2	1
101	включает в себя	1	1
102	можно сказать что	4	1
103	поскольку речь идет	1	1
104	одного и того	1	1
105	и не дает	1	1
106	не что иное	2	1
107	той мере в	1	1
108	к тому же	4	1
109	в нем не	1	1
110	том числе и	4	1
111	кто иной как	1	1
112	и тот же	1	1
