N	3gram	Vinokur_Ku_1	UchenyiS
1	не может быть	3	4
2	с другой стороны	6	3
3	то же время	2	3
4	в то же	2	3
5	в самом деле	7	2
6	смысле этого термина	2	2
7	в этом смысле	3	2
8	до сих пор	4	2
9	хотя бы и	2	2
10	в этом отношении	5	2
11	в том что	15	2
12	в противном случае	1	2
13	по крайней мере	5	2
14	тех или иных	1	2
15	том что она	1	1
16	но прежде всего	1	1
17	сводится к следующему	1	1
18	что он называет	1	1
19	или иначе связанные	1	1
20	так или иначе	2	1
21	не в том	4	1
22	то что еще	1	1
23	не случайно и	1	1
24	она все же	1	1
25	иначе связанные с	1	1
26	это было бы	1	1
27	более или менее	3	1
28	имеем в виду	1	1
29	в сторону от	2	1
30	же в самом	1	1
31	в этом случае	2	1
32	и в то	1	1
33	все же остается	1	1
34	само по себе	1	1
35	в первую очередь	2	1
36	с тем что	1	1
37	является с одной	1	1
38	еще один пример	1	1
39	мы имеем в	1	1
40	на то что	2	1
41	язык в его	1	1
42	но что такое	1	1
43	в которых слово	1	1
44	которые могли бы	1	1
45	как раз обратное	1	1
46	только одним из	1	1
47	не только в	1	1
48	на своем месте	1	1
49	с одной стороны	1	1
