N	2gram	Nazirov_Tv_1	Komedia
1	и в	21	22
2	и не	7	21
3	т е	1	16
4	том что	11	13
5	таким образом	5	12
6	в том	7	12
7	так как	3	11
8	в комедии	1	10
9	ни в	1	10
10	потому что	5	10
11	в самом	3	9
12	до сих	1	9
13	вместе с	2	9
14	сих пор	1	9
15	в этом	6	8
16	его в	1	8
17	в глазах	1	8
18	в своем	4	8
19	к ней	2	8
20	о том	6	8
21	в его	13	8
22	что и	2	8
23	что он	6	8
24	то же	13	7
25	при этом	7	7
26	не по	3	7
27	об этом	2	7
28	в конце	1	7
29	о чем	1	7
30	только что	2	7
31	а в	6	7
32	в свою	7	7
33	того же	2	6
34	самом деле	2	6
35	еще не	1	6
36	так что	2	6
37	тому же	1	6
38	в то	15	6
39	и его	6	6
40	к тому	2	6
41	свою очередь	1	6
42	и что	1	6
43	может быть	5	6
44	как раз	1	6
45	во время	1	6
46	к этому	2	6
47	что его	2	5
48	но в	7	5
49	не только	7	5
50	а по	2	5
51	он не	8	5
52	в своей	4	5
53	то это	1	5
54	не менее	6	5
55	же время	12	5
56	связи с	1	5
57	к себе	1	5
58	из дома	1	5
59	и сам	1	5
60	хотя и	3	5
61	с ним	3	5
62	к нему	1	5
63	что в	12	5
64	по отношению	1	5
65	из них	2	5
66	тем что	1	5
67	прежде всего	4	5
68	как это	1	5
69	все это	10	5
70	и т	3	4
71	на себя	1	4
72	в ней	2	4
73	он был	1	4
74	с другой	3	4
75	отнюдь не	5	4
76	все же	5	4
77	когда он	2	4
78	то что	8	4
79	в себе	2	4
80	что она	2	4
81	но все	1	4
82	и с	3	4
83	должен был	1	4
84	с тем	1	4
85	не в	2	4
86	однако в	2	4
87	в отношении	1	4
88	самого начала	3	4
89	на него	1	4
90	у него	7	4
91	и здесь	1	4
92	с самого	3	4
93	так и	2	4
94	здесь нет	2	4
95	между собой	1	4
96	с помощью	1	4
97	т п	2	4
98	вовсе не	5	4
99	само собой	1	4
100	но и	3	4
101	до конца	2	4
102	а не	5	4
103	в связи	1	4
104	тем более	1	4
105	хотя бы	5	4
106	так же	3	4
107	который в	3	3
108	говорить о	1	3
109	столь же	1	3
110	с его	11	3
111	в ее	1	3
112	с этим	1	3
113	и к	1	3
114	в которой	3	3
115	представляет собой	3	3
116	в этой	5	3
117	как он	1	3
118	в нем	3	3
119	приводит к	2	3
120	то ни	1	3
121	дома и	1	3
122	было бы	1	3
123	в них	1	3
124	все равно	1	3
125	далеко не	3	3
126	как и	12	3
127	чем в	1	3
128	но если	3	3
129	на месте	1	3
130	тем не	2	3
131	к ним	1	3
132	не имеет	1	3
133	никогда не	3	3
134	же самое	1	3
135	обращается к	1	3
136	в глаза	2	3
137	одного из	2	3
138	в двух	2	3
139	одной из	4	3
140	с одной	1	3
141	что не	2	3
142	не так	3	3
143	отношению к	1	3
144	в других	1	3
145	и даже	3	3
146	на этот	1	3
147	один из	4	3
148	в частности	2	3
149	не может	4	3
150	по своему	1	3
151	одной стороны	1	3
152	как бы	17	3
153	с этой	1	3
154	в целом	4	3
155	из себя	2	3
156	бы он	1	3
157	теперь же	1	3
158	не знает	2	3
159	в какой	1	3
160	человека и	4	2
161	даже если	1	2
162	его не	1	2
163	г в	1	2
164	человеческой натуры	1	2
165	не слишком	1	2
166	в сущности	1	2
167	время как	1	2
168	представление о	3	2
169	не совсем	1	2
170	и он	2	2
