N	2gram	Potebnia_M_4	Formalny
1	и в	23	38
2	в этом	23	27
3	может быть	26	23
4	и его	2	21
5	таким образом	24	20
6	и не	18	20
7	в самом	3	16
8	не в	11	15
9	прежде всего	1	15
10	и т	7	14
11	не может	11	14
12	в нем	7	13
13	связи с	3	13
14	но и	11	13
15	в пределах	1	12
16	языка и	3	12
17	в поэзии	3	12
18	с тем	7	11
19	в том	23	11
20	языка как	1	11
21	вовсе не	7	11
22	с другими	4	10
23	в его	5	10
24	в связи	1	10
25	не только	10	9
26	при этом	15	9
27	и с	4	9
28	как и	14	9
29	языка в	2	9
30	т п	4	9
31	в процессе	3	9
32	самом деле	3	8
33	все же	1	8
34	точки зрения	4	8
35	поэтического произведения	5	8
36	так и	6	8
37	что и	7	8
38	тем что	10	8
39	в первом	3	7
40	как мы	2	7
41	лишь в	3	7
42	по себе	11	7
43	для него	5	7
44	в своей	1	7
45	с точки	3	7
46	во втором	1	7
47	в поэтическом	1	7
48	уже не	3	7
49	этом отношении	1	7
50	в других	2	7
51	самом языке	1	7
52	не могут	2	7
53	слова и	5	7
54	что в	17	7
55	художественного произведения	1	6
56	в ней	2	6
57	в истории	4	6
58	все эти	3	6
59	в этой	1	6
60	то же	14	6
61	было бы	8	6
62	он не	2	6
63	в их	1	6
64	могут быть	7	6
65	для понимания	2	6
66	в языке	16	6
67	только в	15	6
68	то что	29	6
69	не было	12	6
70	вместе с	6	6
71	а не	12	6
72	хотя бы	4	6
73	а в	5	6
74	должна быть	1	5
75	в первый	2	5
76	говорить о	5	5
77	во всех	1	5
78	звука и	1	5
79	т д	3	5
80	в слове	22	5
81	в то	4	5
82	же время	3	5
83	если бы	13	5
84	и только	3	5
85	что он	4	5
86	всяком случае	3	5
87	если мы	2	5
88	и речи	1	5
89	именно в	3	5
90	с этим	7	5
91	что же	5	5
92	и для	2	5
93	бы в	2	5
94	еще более	2	5
95	во всяком	5	5
96	все остальное	1	4
97	в сущности	2	4
98	независимо от	6	4
99	как в	7	4
100	и к	6	4
101	не следует	2	4
102	не как	2	4
103	от нее	1	4
104	входит в	1	4
105	мы видели	1	4
106	восприятия и	1	4
107	о языке	2	4
108	как о	1	4
109	ничего не	1	4
110	к тому	3	4
111	в теории	1	4
112	но в	8	4
113	в большинстве	2	4
114	что не	6	4
115	из них	1	4
116	так как	14	4
117	даже и	3	4
118	и даже	2	4
119	другой стороны	1	4
120	там где	3	4
121	мы говорим	7	4
122	как бы	5	4
123	известной степени	3	4
124	лишь как	1	4
125	оно не	2	4
126	например в	3	3
127	и отчасти	1	3
128	сам по	4	3
129	тем же	1	3
130	и до	3	3
131	а как	2	3
132	мы не	8	3
133	между этими	1	3
134	то это	8	3
135	зависимости от	1	3
136	и на	3	3
137	значение и	2	3
138	однако не	1	3
139	хотя и	5	3
140	и как	2	3
141	что это	7	3
142	из этих	2	3
143	роль в	1	3
144	только на	4	3
145	так сказать	5	3
146	время и	1	3
147	значительной степени	2	3
148	главным образом	1	3
149	и может	4	3
150	его в	4	3
151	это было	2	3
152	следует что	1	3
153	к предмету	1	3
154	до известной	2	3
155	поэтическое произведение	1	3
156	в области	2	3
157	но все	1	3
158	его с	1	3
159	не есть	9	3
160	того чтобы	4	3
161	так в	3	3
162	для поэтического	1	3
163	и здесь	2	3
164	к действительности	1	3
165	к нему	5	3
166	того что	14	3
167	и значением	4	3
168	именно на	2	3
169	то и	4	3
170	большинстве случаев	2	3
171	и их	3	3
172	слова в	3	3
173	для того	6	3
174	с другой	2	3
175	а о	1	3
176	и прежде	2	3
177	и др	2	3
178	не то	5	3
179	том смысле	2	3
180	быть и	2	3
181	все это	5	3
182	на самом	3	3
183	или в	1	3
184	поэзии в	1	3
185	и все	4	3
186	была бы	1	3
187	жизни и	1	3
188	вряд ли	1	2
189	можно говорить	1	2
190	относится и	1	2
191	в такой	1	2
192	и то	5	2
193	науки о	1	2
194	идет о	1	2
195	явления и	2	2
196	к другому	1	2
197	было и	2	2
198	его не	1	2
199	не была	1	2
200	другой язык	1	2
201	это время	1	2
202	в последних	1	2
203	столь же	2	2
204	было говорить	2	2
205	но не	1	2
206	но как	1	2
207	очевидно что	7	2
208	отношение к	2	2
209	отличие от	1	2
210	языка при	1	2
211	для создания	3	2
212	перед нами	1	2
213	кроме того	3	2
214	то в	3	2
215	та же	1	2
216	в которой	6	2
217	но отсюда	1	2
218	уже в	5	2
219	понятие языка	1	2
220	он в	1	2
221	в единстве	1	2
222	своем развитии	2	2
223	же это	1	2
224	состоит в	2	2
225	и более	4	2
226	языком и	3	2
227	из него	2	2
228	приходим к	1	2
229	и по	3	2
230	на этом	1	2
231	том случае	3	2
232	разница между	1	2
