N	4gram	Propp_Morf_1	Myshleni
1	в собственном смысле слова	3	3
2	состоит в том что	2	3
3	или во всяком случае	1	2
4	в коем случае не	1	1
5	сомневаться в том что	1	1
6	дело не в количестве	2	1
7	друг к другу и	2	1
8	можно сомневаться в том	1	1
9	ли можно сомневаться в	1	1
10	бы то ни было	2	1
11	мы видим таким образом	1	1
12	в том что он	1	1
13	ни в коем случае	1	1
14	какого бы то ни	1	1
15	все более и более	1	1
16	указанием на то что	1	1
17	в том случае если	1	1
18	лишь постольку поскольку это	1	1
19	в связи с этим	4	1
