N	3gram	Berdyaev_V_1	formyVre
1	в этом мире	1	6
2	но и в	2	3
3	и в этом	1	3
4	в том что	2	3
5	и т д	2	3
6	никогда не было	1	1
7	от бога и	1	1
8	другой стороны в	1	1
9	есть прежде всего	1	1
10	том что он	2	1
11	находится в состоянии	1	1
12	в конце концов	1	1
13	все это мы	1	1
14	вместе с тем	1	1
15	у нас это	1	1
16	как и в	1	1
17	по сравнению с	1	1
18	ни для чего	1	1
19	с другой стороны	1	1
20	вместо того чтобы	2	1
21	и вечной жизни	1	1
22	на земле то	1	1
23	и вместе с	1	1
24	в них и	1	1
25	но все же	1	1
26	к тому что	3	1
27	как бы в	1	1
28	вот почему в	1	1
