N	2gram	Bakhtin_Pr_5	EvropaiE
1	и в	35	37
2	в отношении	9	32
3	в пределах	11	25
4	точки зрения	7	23
5	что в	6	21
6	не только	10	18
7	с точки	2	17
8	в то	11	16
9	то же	15	15
10	хотя бы	2	15
11	отношении к	7	15
12	в своем	2	14
13	но в	19	14
14	же время	10	14
15	в качестве	1	14
16	но и	14	14
17	и не	27	14
18	в этом	14	12
19	в их	1	11
20	в том	5	11
21	так и	8	10
22	отнюдь не	1	9
23	в себе	5	9
24	только в	6	9
25	прежде всего	12	9
26	все более	1	9
27	не может	18	9
28	так же	7	9
29	в ее	3	8
30	было бы	3	8
31	в своей	4	8
32	к тому	6	8
33	между тем	4	8
34	с одной	1	8
35	нам кажется	1	7
36	того что	3	7
37	так как	4	7
38	с другой	4	7
39	как и	18	7
40	по своему	4	7
41	может быть	14	6
42	и на	6	6
43	во всех	3	6
44	то есть	16	6
45	том что	3	6
46	того чтобы	1	6
47	вовсе не	7	6
48	для того	1	6
49	и даже	5	6
50	как бы	31	6
51	с этой	2	6
52	то что	10	6
53	которую мы	1	5
54	столь же	2	5
55	но не	6	5
56	не в	10	5
57	и по	2	5
58	как мы	8	5
59	одной из	2	5
60	в виде	7	5
61	и потому	1	5
62	в той	4	5
63	как нам	1	5
64	то в	2	4
65	мы не	1	4
66	вопрос о	2	4
67	но даже	1	4
68	в ней	2	4
69	независимо от	1	4
70	в самом	6	4
71	во многих	1	4
72	то ни	3	4
73	того или	1	4
74	даже в	5	4
75	в процессе	1	4
76	к ней	2	4
77	той или	4	4
78	бы то	3	4
79	по себе	4	4
80	можно сказать	1	4
81	тем более	1	4
82	на всем	1	4
83	ни было	3	4
84	или иной	4	4
85	не на	1	4
86	сказать что	3	4
87	в применении	1	3
88	бы и	2	3
89	и со	3	3
90	того же	1	3
91	в общем	3	3
92	как в	5	3
93	когда он	3	3
94	и к	12	3
95	себе не	1	3
96	но на	4	3
97	вообще не	2	3
98	мы можем	2	3
99	большинстве случаев	2	3
100	и мы	1	3
101	этом смысле	3	3
102	в них	4	3
103	с тем	3	3
104	мы видели	2	3
105	и некоторые	1	3
106	она в	2	3
107	в которых	2	3
108	дело в	1	3
109	нельзя ли	1	3
110	никогда не	4	3
111	отчасти к	1	3
112	потому что	8	3
113	заключает в	1	3
114	уже и	2	3
115	ли это	2	3
116	с другом	4	3
117	бы ни	1	3
118	можно было	2	3
119	приближается к	1	3
120	о том	2	3
121	от них	1	3
122	что и	3	3
123	отметить что	1	3
124	и только	1	3
125	в стороне	1	3
126	всяком случае	4	3
127	из них	3	3
128	себе в	1	3
129	тем что	4	3
130	этом отношении	1	3
131	по своим	1	3
132	и прежде	4	3
133	в свою	1	3
134	примкнуть к	1	3
135	говорит о	2	3
136	там где	7	3
137	ни на	2	3
138	в данном	1	3
139	друг с	4	3
140	не является	1	3
141	и для	8	3
142	и от	3	3
143	в результате	1	3
144	x в	1	3
145	как на	1	3
146	во всяком	4	3
147	и отчасти	2	2
148	и то	5	2
149	по преимуществу	1	2
150	что эти	1	2
151	ведь и	4	2
152	и этот	2	2
153	есть не	1	2
154	меньшей степени	1	2
155	на них	7	2
156	он сам	6	2
157	но как	4	2
158	в сторону	2	2
159	друг от	1	2
160	с этим	3	2
161	хотя и	2	2
162	и как	2	2
163	что это	4	2
164	в этой	1	2
165	этот процесс	2	2
166	и если	1	2
167	главным образом	1	2
168	но именно	2	2
169	он не	13	2
170	таким образом	7	2
171	в мире	4	2
172	и с	12	2
173	с другими	2	2
174	далеко не	1	2
175	дело идет	3	2
176	нас к	1	2
177	в своих	1	2
178	одна и	2	2
179	такой же	3	2
180	и того	2	2
181	в эту	4	2
182	в этих	2	2
183	или точнее	1	2
184	в котором	3	2
185	и более	1	2
186	тому чтобы	2	2
187	можем сказать	2	2
188	в идеологическом	1	2
189	она не	1	2
190	ними и	1	2
191	по своей	2	2
192	как будто	4	2
193	именно потому	2	2
194	что на	2	2
195	к той	1	2
196	не могут	1	2
197	случаях когда	1	2
198	или поздно	1	2
199	всего в	1	2
200	только одно	1	2
201	но по	1	2
202	которого мы	1	2
203	от друга	1	2
204	как не	1	2
205	свою очередь	1	2
206	данном случае	1	2
207	мог бы	2	2
208	во многом	1	2
209	по сравнению	1	2
210	если бы	1	2
211	в содержании	1	2
212	и поэтому	1	2
213	и та	2	2
214	и что	6	2
215	кажется что	2	2
216	в значительной	1	2
217	и во	3	2
218	к нему	13	2
219	во втором	1	2
220	в его	21	2
221	во всей	1	2
222	мы должны	3	2
223	эти последние	1	2
224	но с	1	2
225	этот вопрос	1	2
226	есть в	1	2
227	в большинстве	2	2
228	рано или	1	2
229	и других	1	2
230	участие в	1	2
231	в одном	6	2
232	в других	1	2
233	другой и	1	2
234	а именно	1	2
235	в некоторых	1	2
236	на этот	2	2
237	пожалуй и	1	2
238	а не	4	2
239	и тут	2	2
240	что все	2	2
241	следовало бы	1	2
242	вместе с	2	2
243	что же	7	2
244	ко всему	1	2
245	или хотя	1	2
246	происходит в	1	2
247	или в	2	2
248	и все	15	2
249	бы в	4	2
250	еще более	1	2
251	и наконец	7	2
252	же в	1	2
253	в другой	1	2
254	а в	7	2
255	между ними	1	2
256	другой стороны	3	2
257	и эта	1	2
258	себя как	3	1
259	ту же	1	1
260	ко всем	1	1
261	например в	2	1
262	мы здесь	1	1
263	некоторые из	1	1
264	и это	5	1
265	тех же	1	1
266	но тем	1	1
267	и до	1	1
268	с таким	2	1
269	той же	2	1
270	или наоборот	1	1
271	чтобы не	2	1
272	почти все	1	1
273	есть нечто	1	1
274	время как	2	1
275	говорить о	3	1
276	развернуть в	1	1
277	которое не	1	1
278	то это	1	1
279	когда мы	1	1
280	не способен	1	1
281	почти на	3	1
282	в каждой	2	1
283	другим в	1	1
284	оценок и	1	1
285	быть в	2	1
286	что его	2	1
287	с его	7	1
288	бы она	1	1
289	видели что	1	1
290	ибо то	1	1
291	к которой	1	1
292	заключают в	1	1
293	его построения	1	1
294	по отношению	6	1
295	с совершенно	1	1
296	отличие от	2	1
297	жена моя	1	1
298	теперь не	2	1
299	за пределы	3	1
300	можно представить	1	1
301	в центре	1	1
302	в одной	3	1
303	для оценки	1	1
304	как последняя	1	1
305	ней в	1	1
306	все же	8	1
307	судьбу свою	1	1
308	кроме того	1	1
309	конечно но	1	1
310	смысле этого	2	1
311	могли бы	1	1
312	что по	1	1
313	его к	3	1
314	увидим что	2	1
315	в этот	2	1
316	та же	4	1
317	бы с	2	1
318	все так	1	1
319	он в	4	1
320	еще далеко	1	1
321	которые в	1	1
322	близости к	1	1
323	может найти	1	1
324	нами в	1	1
325	бы только	1	1
326	тому же	3	1
327	на его	4	1
328	кажется не	1	1
329	при этом	2	1
330	говорили в	1	1
331	пределах одного	5	1
332	не как	3	1
333	чтобы на	1	1
334	на этом	2	1
335	его можно	1	1
336	но все	4	1
337	значительной степени	1	1
338	бы они	2	1
339	тем с	1	1
340	а затем	2	1
341	в нем	16	1
342	значение в	1	1
343	же касается	1	1
344	в глубине	1	1
345	о выборе	2	1
346	лишь в	7	1
347	входит в	1	1
348	как тот	1	1
349	мире как	1	1
350	но нам	1	1
351	мы сказали	1	1
352	отражение в	1	1
353	в жизни	2	1
354	в ином	1	1
355	рядом с	4	1
356	она и	1	1
357	фигурирует в	1	1
358	здесь можно	1	1
359	звучать как	1	1
360	и было	1	1
361	как таковой	1	1
362	их на	1	1
363	и всей	1	1
364	перед собой	1	1
365	может лишь	1	1
366	момент во	1	1
367	в такой	4	1
368	сам и	3	1
369	и признать	1	1
370	мы говорили	2	1
371	в отличие	2	1
372	от себя	5	1
373	признать что	1	1
374	что имеет	1	1
375	другую сторону	1	1
376	в другие	1	1
377	конечно то	1	1
378	друг другу	4	1
379	много раз	2	1
380	войти в	2	1
381	с такими	1	1
382	том же	1	1
383	для этого	2	1
384	для нее	1	1
385	освободиться от	1	1
386	тому что	2	1
387	народом в	1	1
388	если и	2	1
389	все эти	3	1
390	не менее	2	1
391	почти никогда	1	1
392	но они	1	1
393	что с	2	1
394	с теми	1	1
395	для каждого	1	1
396	считает что	1	1
397	правда в	1	1
398	одна из	1	1
399	чтобы в	1	1
400	из их	2	1
401	он мог	1	1
402	для всего	1	1
403	в самой	1	1
404	именно с	1	1
405	бы сказали	1	1
406	находятся в	1	1
407	в форму	1	1
408	к концу	3	1
409	такая же	2	1
410	на себе	1	1
411	за исключением	2	1
412	во всем	4	1
413	мире и	2	1
414	и его	14	1
415	связи с	1	1
416	мы бы	1	1
417	доказать что	1	1
418	в основе	1	1
419	строй его	1	1
420	но из	1	1
421	мы привели	1	1
422	для себя	7	1
423	оно может	1	1
424	приходит к	1	1
425	обращенный к	2	1
426	он определяет	1	1
427	мысль о	1	1
428	и видимо	1	1
429	жизни только	1	1
430	то время	1	1
431	на свой	1	1
432	а другие	1	1
433	котором мы	1	1
434	в собственных	1	1
435	и сам	7	1
436	что может	1	1
437	с собой	2	1
438	те же	2	1
439	которыми мы	1	1
440	об этом	1	1
441	и происходит	2	1
442	еще в	4	1
443	является в	1	1
444	поэтому в	1	1
445	другие же	1	1
446	был не	1	1
447	которая в	1	1
448	и вообще	2	1
449	к другу	3	1
450	с ним	7	1
451	при том	1	1
452	в построении	2	1
453	в положении	1	1
454	сводится к	3	1
455	силы и	1	1
456	только бы	1	1
457	тех кто	1	1
458	его при	1	1
459	на вопрос	2	1
460	не перед	1	1
461	или на	1	1
462	это потому	1	1
463	любви к	1	1
464	нас в	1	1
465	нельзя ни	1	1
466	такими же	1	1
467	не выходит	1	1
468	связь между	1	1
469	это может	1	1
470	а у	1	1
471	его мысль	4	1
472	того в	1	1
473	глаза на	1	1
474	всего этого	3	1
475	нем и	1	1
476	в ту	1	1
477	друг к	3	1
478	большей или	1	1
479	быть и	2	1
480	но так	3	1
481	один из	1	1
482	ибо в	3	1
483	же все	1	1
484	iv в	2	1
485	в двух	1	1
486	тот же	4	1
487	с ними	5	1
488	будь то	1	1
489	всех этих	2	1
490	мы увидим	2	1
491	иной степени	2	1
492	на которые	1	1
493	мыслей о	1	1
494	и ее	1	1
495	с которыми	2	1
496	со своим	2	1
497	переходит в	2	1
498	конечно не	2	1
499	уже не	3	1
500	уже в	3	1
501	то и	1	1
502	всем его	1	1
503	в начале	3	1
504	что не	4	1
505	этот раз	2	1
506	для него	14	1
507	и их	1	1
508	у других	1	1
509	не о	4	1
510	как его	3	1
511	обращены к	1	1
512	к которому	1	1
513	или меньшей	1	1
514	другому благодаря	1	1
515	одних и	1	1
516	обратиться к	1	1
517	их можно	1	1
518	выше и	1	1
519	власти и	1	1
520	с которым	4	1
521	свое собственное	1	1
522	него не	1	1
523	что из	1	1
524	этот принцип	1	1
525	мы знаем	2	1
526	если не	1	1
527	именно поэтому	1	1
528	нет ничего	1	1
529	но кроме	1	1
530	если так	1	1
531	не принесет	1	1
532	для всех	1	1
533	есть только	2	1
534	некоторое время	1	1
