N	3gram	Bakhtin_Pr_3	Otkroven
1	о великом инквизиторе	1	6
2	записок из подполья	3	5
3	от него и	1	4
4	из подполья и	1	3
5	в записках из	2	3
6	в нем нет	1	3
7	в романах достоевского	3	3
8	для того чтобы	1	3
9	записках из подполья	2	3
10	что же это	1	2
11	и в этом	2	2
12	а не в	2	2
13	легенда о великом	1	2
14	не может быть	6	2
15	как и все	2	2
16	я уверен что	2	1
17	смысле этого слова	2	1
18	в обычном смысле	2	1
19	и к чему	1	1
20	как будто бы	1	1
21	хотя и не	1	1
22	в строгом смысле	1	1
23	и он был	1	1
24	потому что в	1	1
25	а вовсе не	2	1
26	прежде всего в	1	1
27	это потому что	1	1
28	друг к другу	1	1
29	кто бы он	2	1
30	что и это	1	1
31	самое главное и	1	1
32	в самом деле	3	1
33	все это было	3	1
34	как бы в	1	1
35	и в том	1	1
36	строгом смысле этого	1	1
37	и все эти	1	1
38	так и не	1	1
39	к чему бы	1	1
40	да и то	1	1
41	записки из подполья	1	1
42	не было и	1	1
43	между этими двумя	1	1
44	всех героев достоевского	1	1
45	у достоевского нет	2	1
46	и не может	2	1
47	во всяком случае	5	1
48	действующих лиц в	1	1
49	потому что у	1	1
50	не в силах	2	1
51	он и не	2	1
52	о том что	2	1
53	в этом отношении	1	1
54	то что в	1	1
55	и все это	3	1
56	и в самом	3	1
57	да ведь это	1	1
58	заключает в себе	1	1
59	смирись гордый человек	1	1
60	и прежде всего	4	1
61	в том что	1	1
62	он ни был	3	1
63	на то что	1	1
64	бы он ни	3	1
65	и не в	3	1
66	в других романах	1	1
67	и то что	1	1
68	вы скажете что	2	1
69	из подполья но	1	1
70	друг с другом	2	1
71	в братьях карамазовых	3	1
72	мышкиным и рогожиным	1	1
73	у достоевского есть	1	1
74	с его собственным	1	1
75	как и в	1	1
76	человека к человеку	1	1
77	в противоречии с	1	1
78	что в центре	1	1
79	может быть что	1	1
80	героя из подполья	3	1
