N	2gram	Nazirov_Tv_1	NovoeSre
1	а не	5	17
2	и в	21	16
3	не может	4	16
4	во имя	2	15
5	совсем не	1	12
6	и не	7	11
7	и есть	1	10
8	в эпоху	1	9
9	что в	12	9
10	в том	7	8
11	жизни и	3	8
12	он не	8	8
13	культуры и	1	7
14	в этом	6	7
15	может быть	5	7
16	не будет	2	7
17	как и	12	7
18	это есть	1	7
19	с его	11	6
20	не в	2	6
21	ни в	1	6
22	никогда не	3	6
23	но это	5	6
24	не знает	2	6
25	с ее	3	5
26	в ней	2	5
27	и к	1	5
28	не только	7	5
29	в жизни	2	5
30	xix века	6	5
31	все это	10	5
32	в нем	3	5
33	и общественной	1	5
34	не во	2	4
35	быть может	2	4
36	о том	6	4
37	государства и	1	4
38	наше время	2	4
39	эпохи и	1	4
40	перестает быть	1	4
41	в них	1	4
42	то что	8	4
43	это не	4	4
44	прежде всего	4	4
45	не было	1	4
46	есть лишь	1	4
47	по своему	1	4
48	значит что	2	4
49	не менее	6	4
50	не имеет	1	4
51	и все	6	4
52	потому что	5	4
53	с другой	3	3
54	в ее	1	3
55	волю к	1	3
56	человека и	4	3
57	исторической эпохи	1	3
58	еще не	1	3
59	во всех	1	3
60	в истории	1	3
61	наряду с	1	3
62	как в	8	3
63	не значит	1	3
64	к ним	1	3
65	в мире	4	3
66	но и	3	3
67	это было	1	3
68	не есть	1	3
69	стремится к	3	3
70	не означает	2	3
71	с тем	1	3
72	бога и	2	3
73	в своей	4	3
74	к жизни	2	3
75	в россии	3	3
76	она не	1	3
77	что такое	1	3
78	в наше	2	3
79	не существует	3	3
80	жизни не	1	3
81	в основе	2	3
82	жизни в	6	3
83	в духе	2	3
84	к тому	2	3
85	дня и	1	3
86	сказать что	2	3
87	и это	1	2
88	вкус к	1	2
89	же как	1	2
90	более не	2	2
91	связана с	1	2
92	должно стать	1	2
93	это и	3	2
94	время как	1	2
95	роль в	1	2
96	не имеют	4	2
97	так и	2	2
98	природе и	1	2
99	времени и	4	2
100	и с	3	2
101	для этого	1	2
102	стремление к	2	2
103	но она	2	2
104	я не	3	2
105	и должно	1	2
106	вот почему	3	2
107	и что	1	2
108	они считают	1	2
109	и на	7	2
110	времени в	13	2
