N	4gram	Losev_Dial_1	Vladivir
1	дело в том что	1	3
2	в то же время	4	3
3	или по крайней мере	2	2
4	и тем не менее	1	1
5	вплоть до последних дней	1	1
6	нуждаясь ни в каких	1	1
7	что же это за	1	1
8	не нуждаясь ни в	1	1
9	по крайней мере в	1	1
10	ни тем более о	1	1
11	и в то же	2	1
12	до сих пор не	1	1
13	не что иное как	1	1
14	как это мы находим	1	1
15	в то время как	1	1
16	само по себе не	1	1
17	имеет никакого отношения к	1	1
18	не имеет никакого отношения	1	1
19	все больше и больше	1	1
20	но в то же	1	1
21	в связи с этим	1	1
22	отчет в том что	1	1
