N	3gram	Ircho_Kome_3	VLabPisa
1	и т д	1	15
2	в этом отношении	2	13
3	и т п	3	9
4	с другой стороны	2	8
5	по отношению к	3	7
6	по этому поводу	1	7
7	более или менее	1	6
8	в зависимости от	1	5
9	то же время	4	5
10	в конечном счете	2	5
11	в то же	4	5
12	в связи с	3	4
13	можно сказать что	1	4
14	равно как и	1	4
15	в том что	9	4
16	в силу этого	1	3
17	о том как	3	3
18	и в то	1	3
19	вместе с тем	3	3
20	о том что	4	3
21	к тому что	1	3
22	одной стороны и	1	2
23	следует понимать как	1	2
24	чуть ли не	1	2
25	подобно тому как	1	2
26	в том числе	1	2
27	до сих пор	9	2
28	и не может	1	2
29	по крайней мере	1	2
30	в том чтобы	1	2
31	с одной стороны	3	2
32	в конце концов	2	2
33	из них не	1	2
34	во всяком случае	3	2
35	этой точки зрения	1	2
36	во сне не	1	2
37	том числе и	1	2
38	для того чтобы	6	2
39	если бы он	3	1
40	хотя и не	2	1
41	лицом к лицу	1	1
42	бы он был	1	1
43	к этому же	1	1
44	в какой мере	2	1
45	то время как	2	1
46	в самом деле	6	1
47	в соответствии с	1	1
48	в том же	1	1
49	три с половиной	1	1
50	с этой точки	1	1
51	как это было	1	1
52	приходится признать что	1	1
53	говоря уже о	1	1
54	оказывается перед необходимостью	1	1
55	что он не	2	1
56	он и не	2	1
57	речи о каком-либо	1	1
58	так или иначе	2	1
59	далеко не всегда	1	1
60	один из них	1	1
61	таким образом и	1	1
62	т е чисто	1	1
63	то же самое	3	1
64	имеет ничего общего	1	1
65	таким образом для	1	1
66	по сравнению с	2	1
67	как это явствует	1	1
68	в этом однако	1	1
69	первая из них	1	1
70	но вместе с	1	1
71	об этом свидетельствует	1	1
72	и речи о	3	1
73	как раз с	1	1
74	за это время	1	1
75	не имеет ничего	1	1
76	это явствует из	1	1
77	дошедших до нас	2	1
78	нет ни одного	1	1
79	сих пор не	1	1
80	имеем в виду	1	1
81	в то время	2	1
82	не говоря уже	1	1
83	т е из	1	1
84	в свою очередь	6	1
85	и никогда не	1	1
86	что его можно	1	1
87	ничего общего с	1	1
88	и без того	1	1
89	вопрос о том	1	1
90	после того как	1	1
91	на предыдущих страницах	1	1
92	его т е	1	1
93	к тому же	4	1
94	как мы знаем	1	1
95	т е в	2	1
