N	3gram	Berdyaev_M_2	EvropaiC
1	в том что	2	16
2	до сих пор	3	12
3	по отношению к	2	10
4	с точки зрения	1	8
5	а между тем	1	7
6	на самом деле	1	7
7	на то что	1	7
8	для того чтобы	4	6
9	по сравнению с	1	5
10	сих пор не	1	4
11	может быть и	2	4
12	не может быть	8	4
13	о том что	2	4
14	в конце концов	1	4
15	никогда не будет	1	3
16	так же как	3	3
17	но так как	1	2
18	том что он	1	2
19	они должны быть	1	2
20	как и все	1	2
21	именно потому что	1	2
22	друг к другу	5	2
23	как и в	2	2
24	том что все	1	2
25	а следовательно и	1	1
26	никогда не было	3	1
27	а не в	2	1
28	тот путь который	1	1
29	все та же	1	1
30	народом в мире	1	1
31	между тем в	1	1
32	друг на друга	1	1
33	для этого нужно	1	1
34	между тем как	1	1
35	а может быть	1	1
36	но для этого	2	1
37	на классы и	1	1
38	и социальной среды	1	1
39	в себе и	1	1
40	в мире не	1	1
41	не будет уже	1	1
42	только в этом	1	1
43	но и его	1	1
44	в высшей степени	3	1
45	связи с культурой	1	1
46	и в нашем	1	1
47	лишь те которые	1	1
48	что он сам	1	1
49	хотя бы это	1	1
50	и сам он	1	1
51	в народе в	1	1
52	что у него	1	1
53	я не могу	1	1
54	может быть оправдан	1	1
55	и потому они	1	1
56	и той же	2	1
57	и самого себя	2	1
58	вопрос можно ли	1	1
59	на наших глазах	1	1
60	может не быть	1	1
61	та или иная	1	1
62	хотя бы в	1	1
63	смысле этого слова	1	1
64	к которой он	1	1
65	в его собственной	1	1
66	народ в мире	1	1
67	к тому что	3	1
68	одной и той	2	1
69	и в нем	1	1
70	только тогда когда	1	1
71	для этого необходимо	3	1
