N	4gram	Tiupa_Vved_1	formyVre
1	в то же время	3	6
2	одного и того же	1	5
3	и в то же	1	4
4	с одной стороны и	1	2
5	в том числе и	1	2
6	было бы не о	1	1
7	движение времени сюжета истории	1	1
8	в той или иной	1	1
9	имеет место слияние пространственных	1	1
10	сгущается уплотняется становится художественно-зримым	1	1
11	становится художественно-зримым пространство же	1	1
12	в осмысленном и конкретном	1	1
13	было и не могло	1	1
14	и конкретном целом время	1	1
15	и временных примет в	1	1
16	пространство же интенсифицируется втягивается	1	1
17	пространственных и временных примет	1	1
18	интенсифицируется втягивается в движение	1	1
19	в движение времени сюжета	1	1
20	той или иной степени	1	1
21	художественно-зримым пространство же интенсифицируется	1	1
22	примет в осмысленном и	1	1
23	здесь как и в	1	1
24	осмысленном и конкретном целом	1	1
25	временных примет в осмысленном	1	1
26	время здесь сгущается уплотняется	1	1
27	во времени и пространстве	1	1
28	слияние пространственных и временных	1	1
29	конкретном целом время здесь	1	1
30	бы не о чем	1	1
31	место слияние пространственных и	1	1
32	не было и не	1	1
33	уплотняется становится художественно-зримым пространство	1	1
34	здесь сгущается уплотняется становится	1	1
35	же интенсифицируется втягивается в	1	1
36	и не могло быть	1	1
37	втягивается в движение времени	1	1
38	целом время здесь сгущается	1	1
