N	2gram	Tiupa_Narr_1	NovoeSre
1	а не	12	17
2	и в	19	16
3	не может	10	16
4	совсем не	1	12
5	нового времени	2	12
6	и не	20	11
7	и есть	1	10
8	истории и	2	9
9	что в	3	9
10	как не	1	8
11	в том	18	8
12	жизни и	3	8
13	он не	3	8
14	в этом	17	7
15	может быть	25	7
16	не будет	3	7
17	как и	7	7
18	с его	6	6
19	не в	14	6
20	ни в	3	6
21	никогда не	3	6
22	лишь в	1	6
23	но это	1	6
24	не знает	1	6
25	с ее	3	5
26	в ней	3	5
27	истории в	3	5
28	культуры в	1	5
29	и к	1	5
30	не только	32	5
31	в нем	4	5
32	быть может	2	4
33	о том	6	4
34	в них	1	4
35	то что	11	4
36	это не	2	4
37	прежде всего	4	4
38	не было	2	4
39	и потому	2	4
40	по своему	1	4
41	не менее	3	4
42	и для	2	4
43	не имеет	2	4
44	и все	2	4
45	потому что	1	4
46	с другой	8	3
47	в ее	3	3
48	должна быть	2	3
49	на власть	1	3
50	еще не	7	3
51	во всех	1	3
52	наряду с	2	3
53	как в	7	3
54	подобно тому	2	3
55	в мире	9	3
56	но и	23	3
57	это было	1	3
58	не есть	3	3
59	и пр	1	3
60	стремится к	1	3
61	до мировой	1	3
62	к жизни	1	3
63	тому как	2	3
64	в россии	1	3
65	к реальному	1	3
66	в прошлом	3	3
67	она не	2	3
68	не существует	3	3
69	жизни не	1	3
70	в основе	5	3
71	к ее	1	3
72	жизни в	3	3
73	истории не	1	3
74	к тому	7	3
75	сказать что	4	3
76	же как	3	2
77	более не	2	2
78	это и	3	2
79	роль в	2	2
80	можно было	2	2
81	так и	9	2
82	времени и	7	2
83	мы не	1	2
84	мира и	2	2
85	и с	4	2
86	но она	1	2
87	к вечности	1	2
88	жизни как	3	2
89	и на	3	2
90	времени в	2	2
91	на протяжении	6	2
92	но не	5	2
93	в новом	1	2
94	все время	1	2
95	живого бога	1	2
96	хотя и	3	2
97	но в	6	2
98	который в	2	2
99	все эти	2	2
100	с одной	7	2
101	себя в	5	2
102	есть в	2	2
103	в себе	8	2
104	уже не	5	2
105	в религиозном	1	2
106	не могла	1	2
107	том чтобы	1	2
108	у него	4	2
109	что все	1	2
110	нет и	2	2
111	и даже	3	2
112	и т.п	8	2
113	связаны с	1	2
114	этом смысле	1	2
115	бытия в	3	2
116	зависит от	2	2
117	и было	1	2
118	том что	14	2
119	так же	2	2
120	место в	1	2
121	к содержанию	3	2
122	мысли и	1	2
123	одной стороны	7	2
124	такого рода	7	2
125	другой стороны	4	2
126	по существу	2	2
127	не могли	1	2
128	ни одна	1	2
129	как будто	3	2
130	и формы	1	2
131	как это	6	2
132	в смысле	1	2
133	в то	3	2
134	одна из	3	2
135	и от	1	2
136	хотя бы	4	2
137	а в	11	2
138	в будущем	2	2
139	ли это	1	2
140	когда мы	2	2
141	могут быть	3	2
142	можно назвать	1	2
143	оно может	2	1
144	и через	1	1
145	становится в	1	1
146	для себя	1	1
147	он может	1	1
148	только потому	1	1
149	переход от	4	1
150	приводит к	2	1
151	как результат	1	1
152	и до	2	1
153	и про	2	1
154	слова а	1	1
155	может идти	1	1
156	мы уже	1	1
157	не с	3	1
158	христианской культуры	1	1
159	мир не	1	1
160	героя но	1	1
161	с ним	1	1
162	можно сказать	5	1
163	говорить о	2	1
164	оно есть	1	1
165	на себя	3	1
166	в виду	1	1
167	на них	1	1
168	веры не	1	1
169	в чем	1	1
170	без обращения	1	1
171	и во	1	1
172	нет у	2	1
173	не могут	1	1
174	своего рода	12	1
175	жили в	1	1
176	к нему	5	1
177	нем не	1	1
178	в его	9	1
179	это предполагает	1	1
180	отличие от	5	1
181	и только	2	1
182	есть нарушение	1	1
183	в значительной	2	1
184	к которому	2	1
185	в своем	2	1
186	известном смысле	2	1
187	что нет	2	1
188	человека в	2	1
189	и старые	1	1
190	что он	6	1
191	особое место	1	1
192	только в	4	1
193	по своей	3	1
194	вступление в	1	1
195	от этого	1	1
196	в самом	1	1
197	а во-вторых	1	1
198	из этих	3	1
199	тоже не	1	1
200	в известном	2	1
201	этой системе	1	1
202	но во	1	1
203	и у	1	1
204	мира но	1	1
205	уже в	3	1
206	человек не	1	1
207	свидетельствует о	1	1
208	от других	1	1
209	что вообще	1	1
210	из них	3	1
