N	3gram	Tiupa_Lite_3	RusskieA
1	в том что	4	15
2	состоит в том	2	8
3	вместе с тем	1	6
4	о том что	4	4
5	к тому что	1	4
6	в связи с	1	4
7	с точки зрения	3	3
8	тем не менее	1	3
9	не только по	1	2
10	но это не	1	2
11	не что иное	1	2
12	в свою очередь	1	2
13	сближает его с	1	2
14	что иное как	1	2
15	в е годы	8	2
16	и у нас	1	2
17	не только для	1	1
18	подобно тому как	2	1
19	в своем дневнике	1	1
20	в одном из	2	1
21	вопрос о том	1	1
22	во второй половине	1	1
23	при этом не	1	1
24	в первой половине	2	1
25	и в том	1	1
26	и т п	1	1
27	одном из своих	1	1
28	на то что	2	1
29	в целом ряде	1	1
30	встречаются и в	1	1
31	в г было	1	1
32	тогда как в	3	1
33	ничего общего с	1	1
34	только по отношению	1	1
35	и не только	1	1
36	на самом деле	1	1
37	по отношению к	4	1
38	в отличие от	5	1
39	то есть когда	1	1
40	не только в	2	1
41	как будто бы	1	1
42	в этом отношении	5	1
43	то что ему	2	1
44	некоторые из них	1	1
45	целом ряде других	1	1
46	в себе и	1	1
47	и наконец в	1	1
48	быть не может	1	1
49	одно из них	1	1
50	в данном случае	4	1
51	хотя и не	1	1
52	в своего рода	2	1
