N	2gram	Tiupa_Disk_2	Narrotol
1	не только	10	32
2	может быть	16	25
3	но и	11	23
4	в качестве	16	21
5	и не	15	20
6	то есть	12	19
7	и в	16	19
8	в том	8	18
9	в этом	16	17
10	в тексте	3	16
11	не в	3	14
12	в частности	12	14
13	том что	10	14
14	состоит в	16	13
15	представляет собой	11	12
16	тогда как	11	12
17	в рамках	7	12
18	своего рода	10	12
19	коммуникативного события	5	12
20	а не	14	12
21	то что	5	11
22	а в	2	11
23	точки зрения	4	10
24	не может	9	10
25	при этом	17	9
26	нарративного дискурса	1	9
27	в мире	11	9
28	так и	9	9
29	в его	3	9
30	со стороны	10	9
31	в себе	19	8
32	и т.п	12	8
33	с другой	5	8
34	не является	4	8
35	героя в	5	8
36	еще не	6	7
37	по отношению	4	7
38	как в	8	7
39	все же	6	7
40	в случае	1	7
41	времени и	2	7
42	как и	16	7
43	к тому	1	7
44	и т.д	1	7
45	а также	8	7
46	с одной	4	7
47	одной стороны	4	7
48	такого рода	9	7
49	ни для	4	7
50	высказывания в	1	6
51	с его	6	6
52	но не	7	6
53	точка зрения	1	6
54	в той	2	6
55	то в	1	6
56	тем самым	6	6
57	в себя	2	6
58	о том	4	6
59	что он	2	6
60	именно в	2	6
61	как это	1	6
62	отношению к	4	6
63	иначе говоря	3	6
64	том числе	1	6
65	но в	11	6
66	нарративного высказывания	1	6
67	отличие от	12	5
68	отнюдь не	6	5
69	и как	3	5
70	уже не	3	5
71	в этой	4	5
72	картины мира	7	5
73	далеко не	2	5
74	события рассказывания	1	5
75	в отличие	12	5
76	в основе	4	5
77	речевая маска	2	5
78	и его	3	5
79	к себе	1	5
80	картина мира	4	5
81	в форме	1	5
82	себя в	6	5
83	или иной	3	5
84	мира в	3	5
85	в данном	7	5
86	можно сказать	3	5
87	событийного ряда	2	5
88	речь идет	1	4
89	переход от	1	4
90	данном случае	6	4
91	то же	6	4
92	из которых	1	4
93	здесь не	2	4
94	как правило	1	4
95	в противовес	5	4
96	перед нами	3	4
97	в нем	7	4
98	в принципе	2	4
99	в силу	1	4
100	но все	1	4
101	и с	2	4
102	пока еще	2	4
103	жизненной позиции	3	4
104	числе и	1	4
105	той или	3	4
106	имеет место	1	4
107	не столько	3	4
108	о нем	1	4
109	одного из	4	4
110	основе своей	2	4
111	же время	5	4
112	во втором	1	4
113	или напротив	2	4
114	только в	3	4
115	при всей	7	4
116	в особенности	1	4
117	прежде всего	7	4
118	в рассказе	4	4
119	речевых жанров	3	4
120	сказания или	2	4
121	как бы	4	4
122	да и	1	4
123	отличается от	1	4
124	н.д тамарченко	2	4
125	же в	1	4
126	одной из	1	4
127	сказать что	1	4
128	другой стороны	2	4
129	это и	1	3
130	в первом	1	3
131	же как	2	3
132	в сущности	1	3
133	жизни как	2	3
134	в ней	2	3
135	и на	5	3
136	может не	1	3
137	бы то	1	3
138	в ее	1	3
139	значении этого	2	3
140	если в	1	3
141	хотя и	1	3
142	когда он	1	3
143	из этих	3	3
144	в притче	2	3
145	не есть	1	3
146	высказывания состоит	2	3
147	он не	3	3
148	то ни	1	3
149	в третьем	1	3
150	который по	2	3
151	ни в	7	3
152	двуголосого слова	1	3
153	тем не	1	3
154	бытия в	1	3
155	не менее	7	3
156	коммуникативное событие	3	3
157	в то	5	3
158	тем что	1	3
159	одна из	1	3
160	на него	1	3
161	построение интриги	1	3
162	никогда не	2	3
163	по своей	6	3
164	этом отношении	4	3
165	могут быть	3	3
166	с ее	2	3
167	сводится к	2	3
168	не с	2	3
169	о ней	1	3
170	столь же	3	3
171	как было	1	3
172	в конечном	1	3
173	восходит к	3	3
174	или притчи	1	3
175	между тем	2	3
176	текста на	1	3
177	один из	1	3
178	по мысли	6	3
179	из них	3	3
180	коммуникативной стратегии	1	3
181	не о	2	3
182	присутствия в	3	3
183	из двух	3	3
184	и даже	1	3
185	а с	5	3
186	истории в	1	3
187	о.м фрейденберг	2	3
188	как будто	3	3
189	высказывания и	1	3
190	что в	5	3
191	или анекдота	2	3
192	будто бы	1	3
193	ни было	1	3
194	жизни в	3	3
195	жизни и	3	3
196	одним из	1	2
197	например в	3	2
198	жизнеописания как	2	2
199	самом деле	1	2
200	в чужой	1	2
201	идет о	2	2
202	к другому	1	2
203	и до	1	2
204	должна быть	2	2
205	и возможность	2	2
206	анекдот не	1	2
207	мы имеем	2	2
208	говорить о	2	2
209	ему в	1	2
210	он сам	1	2
211	один голос	1	2
212	время в	2	2
213	события в	1	2
214	действующее лицо	1	2
215	возможность иного	3	2
216	во внешнем	1	2
217	не то	1	2
218	отношение к	2	2
219	до которого	1	2
220	вследствие чего	1	2
221	первый взгляд	2	2
222	форма авторства	1	2
223	в своем	5	2
224	что касается	1	2
225	в полном	2	2
226	или субъектом	2	2
227	адресата в	3	2
228	в противоположность	5	2
229	все эти	3	2
230	бы не	1	2
231	всей своей	3	2
232	из анекдота	2	2
233	коммуникативной ситуации	1	2
234	роль в	4	2
235	жизнью и	2	2
236	в классическом	2	2
237	себя и	1	2
238	не как	1	2
239	художественного высказывания	1	2
240	подобно тому	2	2
241	именно это	1	2
242	человека в	4	2
243	значительной степени	1	2
244	но без	1	2
245	подход к	3	2
246	различие между	1	2
247	его в	3	2
248	того или	1	2
249	коммуникативную стратегию	1	2
250	это не	3	2
251	несмотря на	1	2
252	рассказ в	2	2
253	жизни но	3	2
254	его событийной	1	2
255	чеховский рассказ	1	2
256	на первый	2	2
257	несобственно-прямая речь	1	2
258	рассказа о	1	2
259	с точки	2	2
260	при всех	1	2
261	в памяти	1	2
262	от героя	1	2
263	даже в	1	2
264	вплоть до	1	2
265	она не	1	2
266	в обоих	2	2
267	некоторого рода	2	2
268	события как	1	2
269	которого он	1	2
270	коммуникативным событием	2	2
271	ситуации рассказывания	2	2
272	чтобы стать	1	2
273	себе самом	1	2
274	ничего не	1	2
275	имеем дело	1	2
276	при всем	1	2
277	году как	1	2
278	позиции и	1	2
279	страны мертвых	1	2
280	их внутреннюю	1	2
281	что на	2	2
282	и судии	1	2
283	этического выбора	2	2
284	личности в	2	2
285	дискурса в	1	2
286	следует признать	3	2
287	оно не	1	2
288	утверждать что	1	2
289	приходит к	1	2
290	более не	1	2
291	в анекдоте	3	2
292	языка и	1	2
293	в собственном	1	2
294	по сути	2	2
295	сказание или	1	2
296	в пределах	4	2
297	приводит к	3	2
298	на свой	1	2
299	читателя в	1	2
300	другом и	1	2
301	было в	3	2
302	компетенция анекдота	1	2
303	где слово	1	2
304	во второй	1	2
305	один человек	1	2
306	с человеком	1	2
307	нарушение запрета	1	2
308	восходящей к	2	2
309	в значительной	1	2
310	времени в	4	2
311	организации текста	1	2
312	складывается из	1	2
313	лица и	1	2
314	очевидным образом	3	2
315	и только	1	2
316	не сводится	4	2
317	к сообщаемому	1	2
318	и одновременно	2	2
319	может оказаться	1	2
320	рассказывания в	1	2
321	являет собой	2	2
322	и ее	3	2
323	в сказании	3	2
324	есть в	2	2
325	каждый из	1	2
326	этого понятия	1	2
327	героя с	1	2
328	по выражению	1	2
329	конечном счете	1	2
330	быть прочитан	1	2
331	одно из	4	2
332	для него	5	2
333	речевой акт	1	2
334	начала жизни	2	2
335	не случайно	1	2
336	представляют собой	1	2
337	сюжета в	1	2
338	и др	1	2
339	события но	1	2
340	нового времени	5	2
341	не было	3	2
342	поведения в	3	2
343	анекдота и	6	2
344	не на	2	2
345	его как	1	2
346	точек зрения	1	2
347	о чем	2	2
