N	3gram	Tiupa_Anal_1	RusskieA
1	в том что	9	15
2	состоит в том	3	8
3	вместе с тем	1	6
4	как мы увидим	1	5
5	а н веселовский	1	4
6	в связи с	1	4
7	о том что	3	4
8	к тому что	1	4
9	с точки зрения	4	3
10	что иное как	5	2
11	в е годы	1	2
12	в равной степени	2	2
13	все же не	1	2
14	в свою очередь	1	2
15	не что иное	4	2
16	на себя внимание	1	1
17	и того же	2	1
18	в противном случае	1	1
19	это означает что	2	1
20	по отношению к	5	1
21	по меньшей мере	1	1
22	как будто не	1	1
23	подобно тому как	3	1
24	дело не только	1	1
25	точки зрения в	1	1
26	а в случае	1	1
27	на тех же	1	1
28	или по меньшей	1	1
29	в таком случае	3	1
30	себя и не	1	1
31	и та же	1	1
32	на самом же	1	1
33	в этом отношении	2	1
34	в собственном смысле	1	1
35	и т п	3	1
36	еще не означает	1	1
37	но и как	1	1
38	ничего нам не	1	1
39	обращает на себя	1	1
40	в особенности же	1	1
41	не только в	1	1
42	как будто бы	1	1
43	в отличие от	6	1
44	еще в е	1	1
45	и как бы	1	1
46	значении этого слова	6	1
47	самом деле как	1	1
48	одни и те	1	1
49	во всяком случае	1	1
50	одна и та	1	1
51	самом же деле	1	1
52	в тексте и	1	1
53	здесь мы имеем	1	1
54	в частности изучение	1	1
55	существует независимо от	1	1
56	себя но и	1	1
57	в этом ряду	2	1
58	одного и того	2	1
59	и те же	1	1
60	собой не что	1	1
61	друг с другом	1	1
62	приводит нас к	1	1
63	быть не может	3	1
64	как и в	1	1
65	только тогда когда	1	1
66	в данном случае	2	1
67	этого слова в	1	1
