N	4gram	Tiupa_Disk_1	SlovoVZh
1	дело в том что	1	4
2	с одной стороны и	2	2
3	одно и то же	1	2
4	мы имеем дело с	1	1
5	не может быть ни	1	1
6	взаимодействия трех говорящего автора	1	1
7	продукт социального взаимодействия трех	1	1
8	ком или о чем	1	1
9	и не может быть	1	1
10	социального взаимодействия трех говорящего	1	1
11	в то же время	3	1
12	о чем говорят героя	1	1
13	и того о ком	1	1
14	того о ком или	1	1
15	о ком или о	1	1
16	в том что в	2	1
17	читателя и того о	1	1
18	или о чем говорят	1	1
19	одному и тому же	1	1
20	одним и тем же	1	1
21	в науке о литературе	2	1
22	говорит о том что	1	1
